round,mean,std,n
0,2.2952223999999997,0.026328621598936817,5
1,2.2039565999999997,0.021817527181144953,5
2,2.1555622,0.0312900110530501,5
3,2.1221014,0.03476601790973481,5
4,2.0824118,0.016105200408563693,5
5,2.0481628,0.029065794651101408,5
6,2.034364,0.018310448178567362,5
7,2.0368204,0.017373804413541683,5
8,2.0104355999999997,0.011031165319221697,5
9,2.0165824,0.032540543408185504,5
10,1.9626568,0.023340789226159415,5
11,1.9548463999999999,0.022869516617104124,5
12,1.9472628,0.026493933884948053,5
13,1.9292707999999998,0.012519425893386667,5
14,1.9281524,0.041211992736338236,5
15,1.9076304,0.031450010982509956,5
16,1.8865708,0.02714896109798684,5
17,1.8888355999999997,0.02403778824684168,5
18,1.8687426000000003,0.02895801626147754,5
19,1.8792278,0.03743818643711253,5
20,1.8541096000000004,0.03777957900506574,5
21,1.831553,0.01555571089664498,5
22,1.8279737999999999,0.03462437923920078,5
23,1.8115718,0.024202087940919464,5
24,1.8137084,0.04264616561661786,5
25,1.7912835999999999,0.03136096740854783,5
26,1.7824616000000002,0.023676321067682776,5
27,1.7615881999999998,0.013334763803682408,5
28,1.7396214,0.016343097512405643,5
29,1.7361337999999997,0.01653483939141835,5
30,1.7277732000000001,0.01885623927775629,5
31,1.7225148000000001,0.020022264799467625,5
32,1.7299938000000001,0.02017558606831529,5
33,1.7127864,0.02537284941231473,5
34,1.7108148,0.03177313222205208,5
35,1.696339,0.03630579603176332,5
36,1.6817053999999998,0.03476263841108731,5
37,1.6753408,0.031720311847458244,5
38,1.6758630000000003,0.03497905142367358,5
39,1.6799726,0.01670102051672298,5
40,1.6476602,0.006865701471808977,5
41,1.6653479999999998,0.03751397548247852,5
42,1.6471609999999999,0.028728603490249954,5
43,1.6499614,0.037671864020778136,5
44,1.6310090000000002,0.006788263806010997,5
45,1.6423349999999999,0.019473942127879486,5
46,1.6190576,0.024110669656813778,5
47,1.6147588,0.025728604464680897,5
48,1.6109704,0.022032030451140903,5
49,1.6086772,0.025168194863756068,5
50,1.6004486,0.03085265351310966,5
51,1.5960914000000002,0.02173998692041927,5
52,1.5758025999999998,0.006111212342898895,5
53,1.5829434,0.022672224544583168,5
54,1.5832860000000002,0.030603398904370083,5
55,1.579301,0.027766635680254798,5
56,1.5619722,0.01699330058287678,5
57,1.5628769999999998,0.03222266957438503,5
58,1.5590525999999998,0.028036555580170656,5
59,1.5916802,0.025167776733354894,5
60,1.5528748,0.01946121445850693,5
61,1.5382278,0.011844182230107667,5
62,1.5487544,0.026150935753811992,5
63,1.5473148,0.03285852939801174,5
64,1.54141,0.012628864141323248,5
65,1.5280236,0.024080843928317802,5
66,1.5240924,0.016573246779071366,5
67,1.5060023999999999,0.03240288750713435,5
68,1.4929362000000002,0.02848253326514342,5
69,1.4997102,0.013511997454114676,5
70,1.5129408,0.020365167080090462,5
71,1.4845242,0.014444444371452963,5
72,1.4892004,0.023609800534947385,5
73,1.4724182000000001,0.0162605353294411,5
74,1.4848976,0.019344126403123017,5
75,1.4848266,0.03424981416445934,5
76,1.4588595999999998,0.007943311891144623,5
77,1.4570771999999999,0.02006183228670806,5
78,1.4645632000000002,0.023776260149569402,5
79,1.4704688,0.02115079127834231,5
80,1.4551596,0.024282757469035576,5
81,1.455412,0.022605316553855205,5
82,1.4575772,0.037651609297611736,5
83,1.475878,0.0329301099147877,5
84,1.4346050000000001,0.02473129083772213,5
85,1.4384896,0.012708428789586876,5
86,1.4406165999999998,0.028815365220659608,5
87,1.4383274,0.017602262206886963,5
88,1.4120388,0.01868681692263291,5
89,1.4311422,0.033640857133848456,5
90,1.398672,0.021621518471189774,5
91,1.4199366000000002,0.011869368761648659,5
92,1.4157,0.016118824972683306,5
93,1.407871,0.024458787214414402,5
94,1.4255862000000001,0.0200015956538472,5
95,1.4064646,0.03046720456983219,5
96,1.3843012000000001,0.01939090606959875,5
97,1.3984288,0.023829498047588042,5
98,1.4191816,0.03272982389656264,5
99,1.4076664,0.01581297961486064,5
100,1.3738112,0.019140329600087914,5
101,1.3913090000000001,0.02489218095105364,5
102,1.3761664,0.015325043141864208,5
103,1.387486,0.02804683155901928,5
104,1.3988542,0.03613683031479101,5
105,1.3837336,0.02891827123636545,5
106,1.3661778,0.034306267549822377,5
107,1.3696068,0.026381598562255405,5
108,1.3594534,0.02400767708046741,5
109,1.3660226,0.012220067197032902,5
110,1.342153,0.007793961957823494,5
111,1.3461648,0.037003797220015115,5
