round,value
0,2.282538
1,2.162193
2,2.105269
3,2.058571
4,2.086607
5,2.157012
6,2.020457
7,2.126993
8,2.040515
9,2.076524
10,2.064965
11,1.921633
12,2.020085
13,2.066271
14,1.985112
15,1.931402
16,2.073824
17,2.053653
18,1.883879
19,2.127055
20,1.87464
21,1.781917
22,2.000984
23,1.863151
24,1.809196
25,1.894378
26,1.755264
27,1.701446
28,1.663108
29,1.767209
30,1.658496
31,1.740517
32,1.810095
33,1.733821
34,1.888102
35,1.860626
36,1.665138
37,1.758393
38,1.752525
39,1.672926
40,1.577968
41,1.755059
42,1.689869
43,1.651826
44,1.585512
45,1.591213
46,1.728226
47,1.650754
48,1.62141
49,1.608437
50,1.827487
51,1.697052
52,1.582675
53,1.704574
54,1.733302
55,1.73039
56,1.562
57,1.614822
58,1.537906
59,1.51009
60,1.608102
61,1.476949
62,1.444886
63,1.764411
64,1.564699
65,1.582984
66,1.652405
67,1.72666
68,1.4281
69,1.483275
70,1.54744
71,1.380677
72,1.380971
73,1.493581
74,1.611764
75,1.39533
76,1.346174
77,1.444295
78,1.391138
79,1.592067
80,1.439394
81,1.403829
82,1.489576
83,1.442734
84,1.286176
85,1.415147
86,1.34424
87,1.37485
88,1.269908
89,1.448243
90,1.234542
91,1.368303
92,1.33304
93,1.267192
94,1.347059
95,1.323585
96,1.222116
97,1.250561
98,1.500506
99,1.330005
100,1.227585
101,1.376917
102,1.273603
103,1.224312
104,1.227797
105,1.377233
106,1.514514
107,1.219834
108,1.233695
109,1.282978
110,1.211028
111,1.322612
112,1.130828
113,1.163727
114,1.124658
115,1.186761
116,1.174194
117,1.271002
118,1.356667
119,1.244051
120,1.19229
121,1.240714
122,1.35748
123,1.078245
124,1.180995
125,1.311652
126,1.105839
127,1.138344
128,1.166876
129,1.116724
130,1.106656
131,1.273513
132,1.076463
133,1.176023
134,1.175987
135,1.101532
136,1.124606
137,1.214358
138,1.330158
139,1.082622
140,1.047627
141,1.073822
142,1.103817
143,0.989314
144,1.057334
145,1.118633
146,1.035724
147,1.257672
148,1.172737
149,1.028897
150,1.163868
151,1.045336
152,1.002196
153,1.085508
154,1.055575
155,0.987936
156,0.974918
157,1.017696
158,1.076404
159,1.09203
160,1.056219
161,0.999154
162,0.998044
163,1.007049
164,0.966294
165,1.006322
166,0.987716
167,1.074105
168,1.004681
169,1.213553
170,1.046538
171,0.984209
172,1.034835
173,0.973194
