round,value
0,2.271908
1,2.170291
2,2.127215
3,2.073426
4,2.060025
5,2.161946
6,2.010181
7,2.070689
8,1.985815
9,1.981565
10,1.97852
11,1.921085
12,1.982753
13,1.935865
14,1.96089
15,1.873172
16,1.969922
17,1.912985
18,1.849755
19,1.932244
20,1.88036
21,1.822477
22,1.839665
23,1.800943
24,1.764927
25,1.762199
26,1.731789
27,1.687651
28,1.655422
29,1.703137
30,1.640412
31,1.683145
32,1.712006
33,1.665991
34,1.796494
35,1.71563
36,1.617065
37,1.677136
38,1.63655
39,1.624013
40,1.55674
41,1.637489
42,1.607961
43,1.654715
44,1.568907
45,1.548262
46,1.600391
47,1.562199
48,1.550787
49,1.55014
50,1.664341
51,1.598213
52,1.502533
53,1.601859
54,1.64923
55,1.641467
56,1.52544
57,1.501035
58,1.502484
59,1.510921
60,1.532249
61,1.488848
62,1.461183
63,1.601795
64,1.545241
65,1.463752
66,1.557187
67,1.626373
68,1.433102
69,1.412392
70,1.496086
71,1.420097
72,1.39316
73,1.42927
74,1.475394
75,1.441495
76,1.381768
77,1.40451
78,1.401912
79,1.432301
80,1.446182
81,1.383709
82,1.453318
83,1.379199
84,1.344694
85,1.384053
86,1.374696
87,1.380538
88,1.310426
89,1.413471
90,1.289007
91,1.344195
92,1.371362
93,1.315204
94,1.383857
95,1.315483
96,1.26325
97,1.288567
98,1.416191
99,1.355013
100,1.278712
101,1.314261
102,1.276539
103,1.26731
104,1.258225
105,1.334678
106,1.421494
107,1.253779
108,1.24444
109,1.286097
110,1.244341
111,1.378432
112,1.199554
113,1.234848
114,1.173341
115,1.237496
116,1.207842
117,1.366796
118,1.388503
119,1.269658
120,1.212019
121,1.225265
122,1.304415
123,1.143375
124,1.231165
125,1.254023
126,1.148564
127,1.210429
128,1.207729
129,1.179085
130,1.170037
131,1.214772
132,1.129276
133,1.172951
134,1.16434
135,1.167893
136,1.145277
137,1.187621
138,1.321589
139,1.148349
140,1.080921
141,1.102394
142,1.135887
143,1.071615
144,1.118165
145,1.116587
146,1.093971
147,1.194581
148,1.198416
149,1.067285
150,1.143721
151,1.084869
152,1.06289
153,1.107598
154,1.110608
155,1.069584
156,1.028439
157,1.051316
158,1.100008
159,1.091538
160,1.038018
161,1.050753
162,1.030879
163,1.051156
164,1.033525
165,1.046655
166,1.02745
167,1.110147
168,1.042267
169,1.134362
170,1.070815
171,1.034007
172,1.111751
173,1.032638
174,1.041161
175,1.072006
176,1.072096
