round,value
0,2.370582
1,2.255632
2,2.202147
3,2.20017
4,2.143588
5,2.106875
6,2.070861
7,2.053585
8,2.026128
9,2.013812
10,2.013432
11,1.994166
12,2.012202
13,1.999501
14,1.965274
15,1.960801
16,1.95259
17,1.958357
18,1.920146
19,1.931479
20,1.905755
21,1.913799
22,1.922535
23,1.916614
24,1.877194
25,1.888414
26,1.853559
27,1.880119
28,1.839935
29,1.824861
30,1.824321
31,1.806287
32,1.796031
33,1.804649
34,1.806896
35,1.797729
36,1.775569
37,1.807094
38,1.819678
39,1.80888
40,1.797569
41,1.762021
42,1.804392
43,1.777673
44,1.813318
45,1.809138
46,1.823587
47,1.825991
48,1.961164
49,1.932828
50,1.8999
51,1.852774
52,1.822723
53,1.854535
54,1.839642
55,1.792405
56,1.806643
57,1.79628
58,1.743163
59,1.769935
60,1.749379
61,1.800008
62,1.807585
63,1.876712
64,1.814186
65,1.820461
66,1.754505
67,1.802353
68,1.787957
69,1.76092
70,1.726738
71,1.806512
72,1.716374
73,1.732569
74,1.757266
75,1.759859
76,1.77533
77,1.767743
78,1.669561
79,1.808254
80,1.743436
81,1.813356
82,1.796488
83,1.844139
84,1.816189
85,1.791196
86,1.751842
87,1.743276
88,1.747765
89,1.739626
90,1.757067
91,1.824209
92,1.792484
93,1.774901
94,1.703991
95,1.754769
96,1.713839
97,1.751139
98,1.740814
99,1.672183
100,1.703003
101,1.73975
102,1.724492
103,1.6818
104,1.669857
105,1.701158
106,1.66104
107,1.698401
108,1.651618
109,1.727984
110,1.656473
111,1.780806
112,1.701825
113,1.653949
114,1.571433
115,1.617938
116,1.645984
117,1.711035
118,1.653096
119,1.634984
120,1.606841
121,1.535875
122,1.549799
123,1.529156
124,1.583702
125,1.599685
126,1.575048
127,1.678127
128,1.657862
129,1.565587
130,1.479869
131,1.733689
132,1.736737
133,1.600525
134,1.576567
135,1.565045
136,1.474277
137,1.578161
138,1.572278
139,1.545259
140,1.579528
141,1.58635
142,1.590579
143,1.504116
144,1.465994
145,1.491214
146,1.512919
147,1.57662
148,1.596695
149,1.445816
150,1.469785
151,1.417798
152,1.388095
153,1.585944
154,1.459271
155,1.395506
156,1.383304
157,1.455198
158,1.386523
159,1.329767
160,1.32317
161,1.435122
162,1.517218
163,1.311703
164,1.25553
165,1.469744
166,1.578508
167,1.612761
168,1.469211
169,1.303775
170,1.403232
171,1.333324
172,1.245077
173,1.463917
174,1.434856
175,1.435433
176,1.433033
177,1.282905
178,1.224925
179,1.370308
180,1.380923
181,1.430643
182,1.39298
183,1.452294
184,1.36918
185,1.276606
186,1.197502
187,1.244639
188,1.25428
189,1.234849
190,1.244321
191,1.226796
192,1.228078
193,1.237259
194,1.159023
195,1.23631
196,1.27877
197,1.082638
198,1.02024
199,1.152241
200,1.108636
201,1.262175
202,1.457335
203,1.02933
204,0.994642
205,1.021808
206,1.009223
207,1.195331
208,1.226525
209,1.268483
210,1.288913
211,1.171738
212,1.076457
213,1.098195
214,1.087083
215,1.140612
216,1.088473
217,1.174035
218,1.049661
219,1.098057
220,1.033979
221,1.134198
222,1.160973
223,0.919239
224,0.878392
225,1.164686
226,1.249381
227,1.046125
228,1.106277
229,0.99407
230,0.892827
231,1.145304
232,1.210519
233,0.937656
234,0.857153
235,0.961747
236,0.934187
237,1.160498
238,1.251886
239,0.96995
240,0.805369
241,0.97999
242,1.05636
243,1.102234
244,1.081532
245,0.877416
246,0.799715
247,0.990895
248,1.090155
249,0.882631
250,0.905382
251,0.867723
252,0.77127
253,0.922115
254,0.925516
255,1.009962
256,0.973345
257,0.898941
258,0.789587
259,0.959843
260,0.901614
261,0.928034
262,0.924439
263,0.898517
264,0.874706
265,0.9192
266,0.866398
267,0.805508
268,0.742747
269,0.896524
270,0.899183
271,0.754298
272,0.735236
273,0.86772
274,0.883596
275,0.958565
276,1.001951
277,0.720635
278,0.650847
279,0.794787
280,0.899122
281,0.740537
282,0.651207
283,0.74076
284,0.704
285,0.790029
286,0.719066
287,0.832085
288,0.765769
289,0.905621
290,0.809456
291,0.876003
292,0.794315
293,0.751442
294,0.70135
295,0.705021
296,0.640245
297,0.734062
298,0.751361
299,0.656178
300,0.620914
301,0.925301
302,0.962957
303,0.62101
304,0.615638
305,0.795414
306,0.903357
307,0.686167
308,0.716332
309,0.867803
310,0.774278
311,0.572593
312,0.537732
313,0.596894
314,0.66925
315,0.802931
316,0.664892
317,0.671723
318,0.554097
319,0.725495
320,0.73511
321,0.685545
322,0.663592
323,0.871741
324,1.082145
325,0.652654
326,0.595458
327,0.629969
328,0.59677
329,0.720976
330,0.664386
331,0.684058
332,0.558647
333,0.668643
334,0.704701
335,0.645977
336,0.562349
337,0.772752
338,0.645937
339,0.639526
340,0.560629
341,0.915012
342,0.907994
343,0.597118
344,0.535737
345,0.617263
346,0.77945
347,0.527639
348,0.474353
349,0.620578
350,0.729295
351,0.616433
352,0.583697
353,0.594957
354,0.491821
355,0.602421
356,0.663459
357,0.538075
358,0.462312
359,0.645664
360,0.614611
361,0.57263
362,0.526833
363,0.683812
364,0.741499
365,0.5066
366,0.450099
367,0.559259
368,0.568306
369,0.744581
370,0.67755
371,0.502288
372,0.411736
373,0.578707
374,0.524806
375,0.667619
376,0.614526
377,0.709729
378,0.461258
379,0.529899
380,0.446421
381,0.498673
382,0.491144
383,0.510861
384,0.480368
385,0.52831
386,0.592213
387,0.687858
388,0.540397
389,0.611334
390,0.631436
391,0.450293
392,0.391709
393,0.563025
394,0.526918
395,0.630058
396,0.509874
397,0.487314
398,0.479795
399,0.548384
400,0.429588
401,0.522346
402,0.454969
403,0.523073
404,0.416047
405,0.563726
406,0.533188
407,0.452958
408,0.442604
409,0.479846
410,0.394319
411,0.547218
412,0.584514
413,0.485872
414,0.399705
415,0.449837
416,0.40088
417,0.512799
418,0.524785
419,0.522998
420,0.416154
421,0.498133
422,0.452804
423,0.478223
424,0.422162
425,0.580305
426,0.407221
427,0.501877
428,0.500005
429,0.485089
430,0.414022
431,0.390673
432,0.379002
433,0.513747
434,0.405315
435,0.462757
436,0.413214
437,0.426456
438,0.389663
439,0.42592
440,0.368043
441,0.436477
442,0.382006
443,0.474138
444,0.37437
445,0.405108
446,0.444001
447,0.475927
448,0.578189
449,0.385781
450,0.305231
451,0.421215
452,0.392811
453,0.537496
454,0.637872
455,0.492787
456,0.355329
457,0.474982
458,0.367533
459,0.40807
460,0.367674
461,0.417418
462,0.32586
463,0.388988
464,0.328048
465,0.368008
466,0.316645
467,0.378064
468,0.293957
469,0.33939
470,0.296694
471,0.269127
472,0.286833
473,0.273583
474,0.265102
475,0.274009
476,0.257842
477,0.254328
478,0.301692
479,0.257403
480,0.269754
481,0.266194
482,0.405578
483,0.402537
484,0.515189
485,0.399346
486,0.434346
487,0.290698
488,0.352793
489,0.278734
490,0.371472
491,0.27578
492,0.265916
493,0.261276
494,0.262385
495,0.245174
496,0.264199
497,0.245608
498,0.231124
499,0.245311
500,0.249573
501,0.246695
502,0.24391
503,0.23295
504,0.227308
505,0.303575
506,0.257451
507,0.271752
508,0.256482
509,0.352073
510,0.287097
511,0.382307
512,0.290751
513,0.339703
514,0.297366
515,0.2983
516,0.270175
517,0.280492
518,0.254715
519,0.263609
520,0.248141
521,0.248257
522,0.217188
523,0.267211
524,0.264499
525,0.249659
526,0.20657
527,0.220787
528,0.212829
529,0.205983
530,0.222684
531,0.206865
532,0.215277
533,0.213872
534,0.25285
535,0.239685
536,0.293629
537,0.209025
538,0.210125
539,0.259294
540,0.228029
541,0.213673
542,0.21878
543,0.217872
544,0.21296
545,0.196925
546,0.212996
547,0.207635
548,0.196919
549,0.215483
550,0.200303
551,0.223664
552,0.205207
553,0.225234
554,0.207857
555,0.260044
556,0.202976
557,0.230126
558,0.196091
559,0.235397
560,0.219545
561,0.194395
562,0.178518
563,0.18017
564,0.185527
565,0.198856
566,0.178199
567,0.180959
568,0.184868
569,0.179242
570,0.195515
571,0.199849
572,0.174682
573,0.180741
574,0.187193
575,0.20249
576,0.187648
577,0.175826
578,0.181594
