time_sec,value
14.3247,2.298751
28.6039,2.199396
42.9663,2.125218
56.6182,2.103964
70.9475,2.074328
84.6147,2.020365
98.9275,2.014628
113.3689,2.044543
127.8439,1.999448
141.091,1.987446
154.345,1.956977
167.7203,1.936273
181.0369,1.927791
194.4597,1.909004
208.036,1.899002
221.4236,1.962689
235.0569,1.862302
249.4673,1.855699
263.0002,1.86627
276.5187,1.870883
289.9592,1.863775
303.4185,1.823861
316.9912,1.824784
330.495,1.801107
344.0823,1.865411
357.7079,1.774988
371.2192,1.78833
384.7816,1.763917
398.4647,1.747154
412.1725,1.725959
426.1283,1.717816
440.7692,1.709112
455.1681,1.734865
469.5935,1.745902
484.0733,1.709087
498.4818,1.70161
513.111,1.720096
527.8992,1.692561
542.5218,1.677818
557.3125,1.667163
571.9382,1.657871
586.3878,1.713629
601.1494,1.677993
615.649,1.696369
630.179,1.631762
644.6801,1.651624
659.1031,1.640316
673.5015,1.603198
688.0673,1.619911
702.6003,1.621213
717.0392,1.612838
731.6802,1.629939
746.1434,1.58669
760.5643,1.583118
775.0463,1.608762
789.4428,1.594106
803.8422,1.556496
818.2949,1.575605
832.6944,1.568422
847.1625,1.550985
861.7367,1.539634
876.213,1.552717
890.7143,1.575493
904.9038,1.584193
919.4054,1.561558
934.019,1.53115
948.3397,1.516729
962.3163,1.503574
976.5636,1.498228
990.6411,1.483777
1004.186,1.520813
1018.1022,1.488759
1032.587,1.502888
1047.0026,1.470422
1061.4683,1.487484
1075.8849,1.506824
1090.3119,1.46113
1104.0263,1.45993
1117.6166,1.486004
1131.1267,1.452032
1144.7268,1.473634
1158.2405,1.47467
1171.7398,1.480552
1185.2621,1.475802
1199.4811,1.46269
1213.9189,1.431563
1228.3774,1.46991
1242.7219,1.451786
1256.472,1.43321
1270.6652,1.440607
1285.1952,1.403459
1299.6783,1.417084
1314.2022,1.438216
1328.5746,1.425644
1342.9316,1.413459
1356.9965,1.433143
1371.6856,1.399345
1385.803,1.411836
1399.4041,1.400232
1412.9316,1.430872
1426.4353,1.398171
1439.9583,1.370684
1453.595,1.385772
1467.1033,1.380789
1480.762,1.424414
1494.6224,1.423434
1508.6174,1.351701
1522.7135,1.403903
1537.1802,1.383352
1551.4309,1.376581
1565.9622,1.34955
1580.4275,1.349565
1594.8421,1.361552
1609.2576,1.331059
1623.7434,1.371142
1638.2189,1.322767
1652.7682,1.317776
1667.2583,1.316905
1681.7203,1.347749
1696.2021,1.330287
1710.7571,1.345058
1725.2423,1.303958
1739.818,1.301601
1754.3082,1.318671
1768.7932,1.305345
1783.2838,1.323388
1797.84,1.289156
1812.3287,1.307743
1826.8614,1.340647
1841.3385,1.286543
1855.8168,1.318215
1870.3056,1.307252
1884.8704,1.293355
1899.3556,1.289265
1913.9046,1.30501
1928.4061,1.310008
1942.8973,1.296478
1957.3659,1.289674
1971.8891,1.270979
1986.3646,1.256634
2000.8958,1.267101
2015.3797,1.246619
2029.8782,1.251049
2044.3773,1.273615
2058.9352,1.248306
2073.4181,1.245688
2087.9679,1.236393
2102.4737,1.255461
2116.9783,1.247748
2131.4723,1.230277
2145.5839,1.25832
2160.0922,1.220724
2174.6238,1.274114
2189.1222,1.206022
2203.6548,1.242262
2218.1604,1.23061
2232.7024,1.228174
2247.1074,1.222641
2261.5773,1.232486
2275.979,1.241624
2290.3836,1.23492
2304.4613,1.194124
2318.9251,1.209047
2333.3268,1.195226
2347.7598,1.205818
2362.1582,1.207221
2376.5792,1.198994
2390.989,1.18923
2405.4487,1.189285
2419.8314,1.187058
2434.2858,1.217026
2448.6803,1.200538
2463.082,1.172583
2477.4878,1.175645
2491.9708,1.1912
2506.3887,1.151036
2520.8362,1.163123
2535.2466,1.174437
2549.6458,1.153693
2564.0517,1.159787
2578.5132,1.14751
2592.919,1.147506
2607.388,1.166468
2621.7763,1.152166
2636.1711,1.186198
2650.5644,1.131151
2665.0131,1.122908
2679.412,1.133978
2693.8635,1.133346
2708.278,1.125737
2722.6683,1.135148
2736.9124,1.128596
2751.3788,1.157528
2765.7819,1.197996
2780.2486,1.131893
2794.6347,1.128625
2809.1266,1.109606
2822.6831,1.117071
2836.2597,1.09007
2849.7561,1.104786
2863.3287,1.130357
2876.8487,1.094622
2891.1733,1.082913
2905.6366,1.108823
2920.2474,1.100054
2934.6183,1.079504
2949.0773,1.092204
2963.5562,1.09397
2978.0887,1.068545
2992.5582,1.077223
3006.8475,1.0844
3021.2852,1.059988
3035.7752,1.043035
3050.211,1.088406
3064.6553,1.058947
3079.0838,1.064352
3093.554,1.037499
3107.9485,1.074453
3122.4134,1.036888
3136.8325,1.044017
3151.1851,1.030605
3165.5991,1.028925
3179.7206,1.054172
3194.0483,1.041366
3208.5229,1.051878
3222.8289,1.044569
3237.2688,1.05544
3251.7215,1.035191
3266.2129,1.036395
3280.6618,1.034432
3294.8877,1.0194
3309.0787,1.031514
3323.5089,1.035067
3337.9946,1.021068
3352.5306,1.012668
3367.0095,1.038776
3381.5479,1.02597
3396.0369,0.99401
3410.5097,1.010541
3424.9991,1.042662
3439.5412,1.013237
3454.0221,1.000064
3468.5573,0.996991
3483.0312,0.983817
3497.4823,0.997924
3511.9059,0.976341
3526.3305,0.996576
3540.7541,0.991132
3555.2152,0.965989
3569.6572,1.005965
3584.0791,0.984893
3598.5025,0.987765
3612.9768,0.99499
3627.3904,0.958539
3641.717,0.98118
3655.3512,0.953449
3669.391,1.001795
3683.8322,0.971306
3698.2972,0.965899
3712.8342,0.964156
3727.3162,0.943998
3741.7108,0.941725
3755.3453,0.968531
3769.7723,0.938568
3784.2706,0.95332
3798.5032,0.940085
3812.9884,0.930566
3827.4406,0.935992
3841.8553,0.956535
3856.2772,0.946275
3870.7887,0.935326
3885.2064,0.931886
3899.6793,0.934633
3914.0969,0.938039
3928.5086,0.92235
3942.7663,0.912038
3957.2827,0.916924
3971.7097,0.911797
3986.1104,0.901302
4000.0446,0.895544
4014.4519,0.940455
4028.8571,0.909477
4043.333,0.921897
4057.7465,0.886359
4072.2141,0.892891
4086.6218,0.902342
4101.0261,0.904829
4115.5171,0.895558
4129.9831,0.921399
4144.3909,0.899712
4158.856,0.914242
4173.2862,0.866506
4187.6917,0.897779
4202.1047,0.88204
4216.5621,0.885201
4230.9657,0.901329
4245.4578,0.902496
4259.8898,0.878291
4274.2755,0.897024
4288.6901,0.864421
4303.1496,0.882723
4317.548,0.857068
4332.0005,0.861977
4346.4013,0.858984
4360.7932,0.851514
4375.187,0.850082
4389.6542,0.858078
4404.0493,0.847046
4418.5042,0.872771
4432.9111,0.845711
4447.3104,0.840939
4461.7468,0.865499
4476.208,0.851345
4490.6083,0.844787
4505.0799,0.867567
4519.4978,0.835591
4533.9117,0.833507
4548.3286,0.848988
4562.8863,0.849396
4577.3774,0.840747
4591.9631,0.825661
4606.3767,0.843261
4620.7309,0.84282
4634.2455,0.848423
