time_sec,value
21.1694,2.282538
38.2112,2.162193
60.8947,2.105269
83.5396,2.058571
104.6705,2.086607
124.7333,2.157012
141.8016,2.020457
158.8073,2.126993
175.7298,2.040515
192.771,2.076524
209.6687,2.064965
230.2417,1.921633
253.1885,2.020085
276.3767,2.066271
299.1861,1.985112
322.1312,1.931402
340.8663,2.073824
363.7975,2.053653
386.8261,1.883879
404.8643,2.127055
421.7492,1.87464
440.4307,1.781917
463.4403,2.000984
486.3833,1.863151
509.4147,1.809196
528.4155,1.894378
551.4871,1.755264
574.6098,1.701446
597.6906,1.663108
620.6946,1.767209
643.7422,1.658496
666.856,1.740517
690.0883,1.810095
712.8539,1.733821
736.0648,1.888102
759.0411,1.860626
781.915,1.665138
804.9535,1.758393
827.6489,1.752525
850.528,1.672926
873.4787,1.577968
896.489,1.755059
919.2964,1.689869
942.2049,1.651826
965.112,1.585512
987.8766,1.591213
1010.8667,1.728226
1029.0919,1.650754
1049.0389,1.62141
1071.2489,1.608437
1094.21,1.827487
1117.214,1.697052
1140.3922,1.582675
1163.4934,1.704574
1180.4901,1.733302
1198.9255,1.73039
1215.8065,1.562
1232.6319,1.614822
1254.7622,1.537906
1272.7984,1.51009
1295.7733,1.608102
1316.7526,1.476949
1339.211,1.444886
1360.2682,1.764411
1383.3721,1.564699
1406.4791,1.582984
1424.3985,1.652405
1441.3142,1.72666
1458.296,1.4281
1475.2237,1.483275
1492.0898,1.54744
1509.0626,1.380677
1525.9661,1.380971
1546.992,1.493581
1566.8932,1.611764
1583.6544,1.39533
1606.7141,1.346174
1629.6809,1.444295
1652.6579,1.391138
1675.6348,1.592067
1698.6511,1.439394
1721.6724,1.403829
1744.6907,1.489576
1767.6696,1.442734
1790.5604,1.286176
1811.7051,1.415147
1831.8181,1.34424
1854.9829,1.37485
1878.3258,1.269908
1899.7174,1.448243
1922.8007,1.234542
1945.8155,1.368303
1967.0684,1.33304
1990.1742,1.267192
2013.2946,1.347059
2035.7312,1.323585
2054.8644,1.222116
2077.8595,1.250561
2100.7801,1.500506
2123.3408,1.330005
2146.3909,1.227585
2169.4085,1.376917
2192.4659,1.273603
2210.6868,1.224312
2232.9589,1.227797
2252.806,1.377233
2275.8034,1.514514
2298.6934,1.219834
2321.0845,1.233695
2344.0661,1.282978
2367.0299,1.211028
2389.9734,1.322612
2413.019,1.130828
2431.7608,1.163727
2449.297,1.124658
2472.3332,1.186761
2495.6603,1.174194
2517.0464,1.271002
2540.1352,1.356667
2562.7005,1.244051
2585.5781,1.19229
2608.9269,1.240714
2631.9963,1.35748
2650.4704,1.078245
2667.4072,1.180995
2690.04,1.311652
2713.0787,1.105839
2736.1525,1.138344
2759.2329,1.166876
2782.2379,1.116724
2801.2316,1.106656
2823.1926,1.273513
2846.2256,1.076463
2869.1318,1.176023
2891.6667,1.175987
2914.7721,1.101532
2937.6423,1.124606
2960.6703,1.214358
2977.7918,1.330158
2996.4385,1.082622
3019.4636,1.047627
3042.4896,1.073822
3065.5719,1.103817
3088.381,0.989314
3111.3865,1.057334
3134.3139,1.118633
3156.6606,1.035724
3179.582,1.257672
3201.0992,1.172737
3223.7277,1.028897
3246.6523,1.163868
3269.4249,1.045336
3292.3238,1.002196
3311.6247,1.085508
3330.4416,1.055575
3349.737,0.987936
3369.0371,0.974918
3386.5349,1.017696
3403.3664,1.076404
3425.2509,1.09203
3443.9708,1.056219
3464.0433,0.999154
3483.1101,0.998044
3501.9247,1.007049
3524.9544,0.966294
3547.9857,1.006322
3570.9894,0.987716
3593.7962,1.074105
3616.7693,1.004681
3639.706,1.213553
3662.8206,1.046538
3684.2124,0.984209
3704.5549,1.034835
3721.791,0.973194
3740.1817,0.995116
3763.1181,1.039435
3785.7987,1.182005
3808.6268,0.924113
3830.896,0.922265
3853.727,1.0959
3875.51,0.953766
3898.4784,1.030427
3921.5699,0.890221
3943.9258,1.176878
3966.856,0.963952
3989.8575,0.937362
4012.5954,1.044241
4035.5122,0.937153
4058.4294,0.993662
4081.1685,0.909807
4104.0708,0.941139
4125.7739,1.047462
4148.6933,0.984803
4171.6322,0.893956
4194.4833,0.902465
4215.3535,0.956947
4231.9979,0.964962
4254.9543,1.00276
4277.3491,0.916294
4295.9897,0.910036
4312.734,0.945759
4329.3944,0.892504
4351.4225,0.937888
4374.2776,0.886983
4397.6863,1.119457
4416.0273,0.937896
4437.5735,0.843869
4460.6924,0.901709
4481.6713,0.975603
4504.7452,0.890082
4527.7091,0.834239
4550.6583,0.852662
4572.5716,0.889797
4595.6375,0.87066
4618.7178,0.935187
4641.6112,0.877425
4664.5194,0.899716
4687.8232,0.848799
4710.9633,0.871264
4734.0072,0.950191
4757.0004,0.903017
4780.0224,0.85219
4803.045,0.835978
4825.9721,0.882168
4849.1355,0.930082
4871.9489,0.975091
4894.5696,0.870178
4917.405,0.881325
4941.055,0.842545
4964.3743,0.798242
4987.5552,0.853643
5010.2742,0.850946
5032.1552,0.857594
5054.8499,0.850216
5077.6189,0.800801
5100.6311,0.801417
5123.209,0.938103
5145.7614,0.840024
5165.3307,0.852882
5187.9586,0.887337
5210.8181,0.820578
5233.6713,0.844801
5256.4674,0.986439
5279.2483,0.812394
5302.4013,0.8021
5325.3621,0.780366
5348.1767,0.846292
5368.4345,0.786832
5387.3411,0.857433
5410.4211,0.800957
5431.8762,0.810059
5454.7888,0.850895
5475.1837,0.818535
5497.6337,0.844134
5519.8554,0.926525
5542.6122,0.781535
5561.2092,0.792935
5584.1441,0.788784
5605.3943,0.752849
5627.9232,0.8049
5649.1252,0.729208
5671.6783,0.79599
5694.5601,0.831136
5717.4594,0.758862
5740.3732,0.824953
5763.1624,0.787251
5785.494,0.800323
5803.6985,0.755926
5820.3183,0.796379
5843.1453,0.755863
5866.0318,0.809056
5888.9034,0.761564
5911.7978,0.761281
5934.7523,0.858996
5957.7575,0.808284
5980.753,1.029419
6000.4704,0.735557
6022.5145,0.779887
6045.532,0.834616
6068.4186,0.751957
6090.7406,0.760127
6107.3695,0.758377
6130.1943,0.870696
6152.4821,0.851556
6173.2088,0.803675
6194.4157,0.76633
6217.5731,0.762358
6240.5577,0.728102
6263.5965,0.74709
6286.6228,0.726455
6309.698,0.712936
6332.7275,0.739251
6355.7617,0.687203
6378.9143,0.745037
6401.9452,0.726652
6424.6094,0.689267
6447.4813,0.678512
6470.4993,0.71136
6493.5273,0.784186
6516.4286,0.840949
6539.4508,0.758504
6562.4947,0.738302
6585.4732,0.732066
6608.1234,0.790773
6631.0888,0.700192
6654.1113,0.795235
6677.2164,0.757104
6700.1265,0.714778
6723.1709,0.698962
6745.975,0.702781
6769.2012,0.760125
6792.0501,0.780063
6812.8433,0.733648
6835.8953,0.679946
6858.9655,0.704103
6882.0821,0.711747
6905.2679,0.702277
6924.9515,0.760741
6941.7739,0.874473
6961.3885,0.721039
6981.6603,0.715103
7004.6539,0.758074
7027.7291,0.72173
7049.3145,0.656378
7065.9162,0.76246
7083.2348,0.715692
7101.4172,0.857382
7118.4033,0.711999
7138.0408,0.824606
7160.723,0.754152
7183.2525,0.739455
7205.4667,0.670948
7222.1433,0.688337
7243.6694,0.683532
7266.626,0.673426
7283.8878,0.633382
7300.58,0.712434
7317.2571,0.65766
7335.2324,0.727164
7356.7075,0.694641
7379.6773,0.70512
7402.4321,0.690847
7425.3276,0.692042
7448.361,0.700799
7471.3767,0.670302
7494.3629,0.774809
7513.2299,0.798301
7535.7047,0.77554
7552.7875,0.683051
7570.7218,0.710996
7589.4342,0.670748
7612.3174,0.703432
7635.1851,0.666356
7658.1422,0.69278
7681.1115,0.691217
7701.8534,0.71284
7724.8455,0.67693
7747.6857,0.71785
7770.5552,0.681549
7787.4795,0.670136
7810.3987,0.696968
7833.3337,0.764282
7853.6683,0.716394
7872.678,0.657888
7895.66,0.749862
7918.4518,0.697838
7941.5408,0.689863
7959.9063,0.759378
7982.9673,0.716471
8005.9071,0.693225
8028.6939,0.657328
8051.6277,0.686847
8074.5774,0.892884
8096.5139,0.760839
8117.1852,0.661985
8140.2005,0.699482
8163.2456,0.638027
8186.0642,0.667012
8206.511,0.818786
8228.1627,0.850157
8244.8616,0.684028
8267.666,0.708987
8290.5967,0.752279
8313.3555,0.654458
8333.1607,0.695143
8354.6996,0.72101
8377.8059,0.629618
8400.9441,0.748955
8423.345,0.712808
8446.5334,0.701913
8469.6381,0.74719
8492.6132,0.726156
8515.6702,0.696566
8535.5619,0.688103
8555.8131,0.960892
8578.1708,0.645693
8601.4258,0.68482
8624.029,0.758946
8645.9311,0.730714
8668.9421,0.645244
8691.9119,0.715719
8714.9223,0.722867
8738.0268,0.681039
8761.1542,0.758128
8784.5329,0.701399
8807.9465,0.679292
8828.3266,0.743763
8847.4704,0.68477
8870.5,0.760694
8892.3159,0.745318
8915.5561,0.735457
8938.739,0.685513
8961.9204,0.646865
8984.8544,0.641724
9007.785,0.712722
9030.6954,0.687964
9053.753,0.700711
9076.8674,0.717131
9097.5429,0.670742
9120.538,0.867641
9143.82,0.675077
9166.9375,0.688037
9185.4901,0.709722
9208.4935,0.724881
9230.5979,0.700546
9253.4938,0.799002
9276.1315,0.672764
9298.9658,0.73138
9320.6965,0.642606
9343.5401,0.652829
9366.5402,0.647372
9388.9369,0.661605
9411.7998,0.638675
9435.0027,0.68522
9458.2817,0.677751
9481.2338,0.652028
9504.3175,0.921981
9527.1716,0.688159
9550.0,0.716564
9568.5091,0.678434
9588.591,0.620927
9611.5328,0.619711
9634.3421,0.68543
9657.146,0.705205
9678.3884,0.658252
9701.2795,0.630233
9724.5323,0.75944
9746.5612,0.769758
9769.8118,0.724245
9792.9133,0.72409
9816.14,0.696137
9839.0574,0.772293
9859.0213,0.666328
9877.6161,0.660379
9900.4568,0.692291
9923.4219,0.644352
9946.6048,0.642324
9968.0802,0.75845
9987.0745,0.698323
10006.4652,0.660844
10029.4413,0.608389
10052.4218,0.728192
10075.6101,0.738583
10092.6013,0.664766
10115.1466,0.577324
10134.6274,0.714846
10153.9948,0.602737
10176.8923,0.617817
10196.8967,0.629674
10218.8396,0.62339
10242.1382,0.721808
10265.4942,0.651671
10288.851,0.599114
10311.9676,0.684826
10335.1763,0.656251
10357.8658,0.599405
10379.3913,0.580395
10402.8799,0.567318
10425.884,0.609473
10449.0595,0.608698
10472.1459,0.653095
10489.7673,0.605697
10511.3885,0.61762
