time_sec,value
23.9695,2.271908
46.2998,2.170291
66.8617,2.127215
87.7723,2.073426
109.7429,2.060025
131.374,2.161946
152.4778,2.010181
175.3431,2.070689
197.9037,1.985815
218.5738,1.981565
240.7941,1.97852
263.0072,1.921085
284.5205,1.982753
306.0635,1.935865
327.9209,1.96089
346.6797,1.873172
366.8666,1.969922
388.4289,1.912985
410.6611,1.849755
431.3559,1.932244
452.248,1.88036
474.5985,1.822477
495.3043,1.839665
515.8792,1.800943
538.4545,1.764927
559.9869,1.762199
581.0972,1.731789
603.819,1.687651
627.2357,1.655422
648.3091,1.703137
670.2997,1.640412
691.7779,1.683145
713.6417,1.712006
734.1432,1.665991
754.9191,1.796494
774.4011,1.71563
796.3922,1.617065
817.9203,1.677136
838.1849,1.63655
860.564,1.624013
883.086,1.55674
903.7534,1.637489
925.3906,1.607961
947.0897,1.654715
967.4511,1.568907
989.4709,1.548262
1011.7114,1.600391
1032.6429,1.562199
1055.4209,1.550787
1076.4724,1.55014
1099.0535,1.664341
1119.6487,1.598213
1141.8557,1.502533
1163.2462,1.601859
1184.0106,1.64923
1204.9123,1.641467
1226.8254,1.52544
1248.2432,1.501035
1268.5623,1.502484
1290.657,1.510921
1311.6748,1.532249
1332.967,1.488848
1354.7117,1.461183
1377.915,1.601795
1401.0848,1.545241
1423.4958,1.463752
1444.8024,1.557187
1466.4357,1.626373
1487.8864,1.433102
1509.647,1.412392
1530.2817,1.496086
1552.7995,1.420097
1575.262,1.39316
1596.8807,1.42927
1617.7508,1.475394
1638.2936,1.441495
1659.5041,1.381768
1681.52,1.40451
1696.6365,1.401912
1718.2716,1.432301
1740.127,1.446182
1761.9113,1.383709
1783.238,1.453318
1802.7613,1.379199
1823.767,1.344694
1846.4041,1.384053
1867.8062,1.374696
1889.4895,1.380538
1911.8377,1.310426
1932.9075,1.413471
1955.2012,1.289007
1977.1422,1.344195
1999.1486,1.371362
2020.8067,1.315204
2041.9486,1.383857
2062.6406,1.315483
2083.6409,1.26325
2104.8,1.288567
2126.3905,1.416191
2147.17,1.355013
2168.1576,1.278712
2188.5664,1.314261
2211.1959,1.276539
2232.853,1.26731
2254.5209,1.258225
2275.225,1.334678
2297.2136,1.421494
2318.6904,1.253779
2340.327,1.24444
2360.1921,1.286097
2381.8112,1.244341
2403.3714,1.378432
2425.4755,1.199554
2446.7699,1.234848
2469.0438,1.173341
2489.0025,1.237496
2510.2885,1.207842
2532.2219,1.366796
2553.9395,1.388503
2576.3475,1.269658
2598.0774,1.212019
2618.9044,1.225265
2640.2915,1.304415
2662.8774,1.143375
2683.7466,1.231165
2705.3906,1.254023
2726.9969,1.148564
2747.8848,1.210429
2769.1662,1.207729
2790.6584,1.179085
2811.4279,1.170037
2831.6474,1.214772
2852.6239,1.129276
2874.1831,1.172951
2895.4728,1.16434
2918.1282,1.167893
2939.3546,1.145277
2960.6559,1.187621
2981.0502,1.321589
3001.3015,1.148349
3023.0503,1.080921
3043.4183,1.102394
3064.6396,1.135887
3086.7109,1.071615
3108.3499,1.118165
3130.0699,1.116587
3151.1443,1.093971
3171.8052,1.194581
3190.873,1.198416
3212.5585,1.067285
3229.5535,1.143721
3247.6119,1.084869
3266.4271,1.06289
3288.0622,1.107598
3308.8341,1.110608
3330.72,1.069584
3352.8061,1.028439
3374.088,1.051316
3395.8625,1.100008
3417.1951,1.091538
3437.8571,1.038018
3460.0372,1.050753
3479.6669,1.030879
3500.1986,1.051156
3520.189,1.033525
3540.8504,1.046655
3562.2829,1.02745
3584.314,1.110147
3607.2778,1.042267
3628.4465,1.134362
3649.799,1.070815
3671.6248,1.034007
3691.1753,1.111751
3712.734,1.032638
3731.9508,1.041161
3753.3505,1.072006
3774.3637,1.072096
3794.4512,0.994919
3816.9137,0.973129
3839.0951,1.063238
