time_sec,value
13.9488,2.257418
27.1468,2.189157
39.0976,2.126411
52.2283,2.095673
65.8682,2.077675
78.2329,2.063481
91.9004,2.032431
105.0031,2.018587
117.3015,2.022447
130.2446,1.998905
142.4048,1.94589
155.7789,1.933769
168.8794,1.934332
182.7819,1.918702
196.5544,1.933527
210.2786,1.905369
223.2608,1.888976
237.0187,1.900459
251.0406,1.887658
265.2163,1.87015
279.2304,1.849879
293.2115,1.837589
307.0185,1.856296
319.0597,1.818121
331.1163,1.810236
343.2796,1.810786
355.3396,1.804705
367.4224,1.761221
379.569,1.732049
391.6308,1.719562
403.6862,1.710192
416.4094,1.709086
428.4424,1.714005
440.4885,1.686716
452.6104,1.682757
464.9104,1.692588
477.1256,1.672336
491.1117,1.664382
504.9731,1.675782
518.8998,1.647134
532.7695,1.62673
546.6267,1.609531
560.449,1.63647
572.4523,1.627321
584.4685,1.593834
596.575,1.575641
608.6033,1.574099
620.6715,1.591753
634.6175,1.562791
648.4205,1.563578
662.1857,1.563331
675.9888,1.550555
689.7036,1.528574
703.4674,1.529523
717.1847,1.545844
730.8394,1.546817
744.4987,1.50191
757.4359,1.512381
771.0283,1.534516
784.7018,1.542278
797.9264,1.513388
811.3314,1.495066
824.6174,1.480545
838.4892,1.490365
852.0488,1.48581
866.0442,1.506009
880.1547,1.440066
894.0976,1.44045
908.0857,1.478353
921.9941,1.456022
935.8717,1.452525
949.7706,1.427459
963.6317,1.41423
976.8154,1.41985
990.2235,1.437757
1004.0135,1.400345
1016.5349,1.397838
1028.5944,1.41134
1040.7452,1.393426
1052.8256,1.391918
1064.9943,1.389695
1077.0681,1.38827
1089.1437,1.367944
1101.2139,1.426791
1114.4363,1.375726
1128.2129,1.358015
1142.0606,1.357812
1155.8423,1.364882
1169.6253,1.338074
1183.0326,1.35212
1196.9327,1.341679
1210.5896,1.328873
1223.9915,1.329691
1236.0586,1.33606
1249.8337,1.314395
1263.6415,1.338759
1277.4862,1.292448
1291.1154,1.306888
1303.2028,1.351291
1316.5924,1.30534
1330.5916,1.28098
1344.6072,1.307048
1358.6069,1.273624
1372.6062,1.265339
1384.745,1.2915
1397.1083,1.259059
1411.0263,1.286349
1424.9609,1.274957
1438.8647,1.250461
1451.2389,1.262205
1465.1019,1.222907
1478.9505,1.235352
1492.7214,1.247913
1506.4924,1.217895
1519.3212,1.20957
1531.9251,1.204283
1545.7555,1.197674
1559.4835,1.212917
1573.181,1.212248
1586.937,1.188604
1600.7593,1.193438
1614.4257,1.198673
1626.8801,1.220141
1638.9247,1.17869
1651.0694,1.159906
1663.845,1.200596
1677.6569,1.147247
1691.3983,1.1602
1704.7688,1.158258
1716.8198,1.153768
1728.8832,1.148086
1740.9626,1.173203
1753.1277,1.136115
1765.2544,1.130127
1777.4447,1.153487
1789.5528,1.134184
1802.7913,1.101737
1815.0573,1.100575
1828.0398,1.093427
1840.8675,1.100895
1854.6722,1.078073
1868.4867,1.079584
1882.0166,1.108941
1895.7078,1.08054
1909.5322,1.066454
1922.3607,1.058092
1934.4839,1.054697
1947.4453,1.107492
1959.492,1.066721
1971.532,1.038665
1984.2468,1.07069
1997.1765,1.057366
2010.9771,1.019702
2023.8054,1.032187
2035.8237,1.042006
2047.8697,1.018605
2059.983,1.010521
2072.5759,1.017103
2086.3039,1.006699
2099.8741,1.043128
2112.4934,0.984077
2126.2452,0.998136
2140.0284,0.990401
2153.0141,0.976654
2165.0944,0.978942
2177.4423,0.965053
2191.3711,0.970951
2205.3169,0.993988
2219.3433,0.990366
2233.3097,0.955529
2247.1477,0.952651
2260.9189,0.952563
2274.6883,0.95914
