time_sec,value
32.3954,2.333991
59.2458,2.353085
87.6548,2.26769
115.7672,2.164991
143.5931,2.157041
170.446,2.088869
196.2995,2.09032
221.8609,2.077553
247.3015,2.072836
273.2998,2.055274
297.5229,2.037939
321.6455,2.023295
345.7016,1.971042
369.8265,1.977212
396.9872,1.9535
423.9922,1.949993
451.0734,2.035365
478.0756,1.942152
504.8332,1.96566
528.9464,1.953184
553.9647,1.970929
580.7817,1.962652
607.5214,1.934835
633.9307,2.022492
660.5207,1.907905
687.1005,1.868274
713.9087,1.911229
740.5053,1.848639
766.9461,1.852764
793.5149,1.888687
819.8917,1.876121
846.3644,1.816046
872.8238,1.815858
899.2172,1.801391
925.7533,1.785826
952.0454,1.812468
978.404,1.80177
1002.2344,1.795733
1025.2412,1.808411
1048.2878,1.759031
1073.3194,1.757124
1099.3351,1.779974
1125.5521,1.7553
1151.6909,1.822938
1177.6496,1.743214
1203.7678,1.75359
1228.2965,1.730652
1253.6813,1.736372
1279.6873,1.758482
1305.675,1.739154
1329.1118,1.724497
1353.6494,1.702637
1379.5498,1.696339
1402.4172,1.69867
1425.079,1.687231
1449.7115,1.696954
1473.651,1.727929
1498.4443,1.670875
1521.6526,1.684768
1547.4476,1.68246
1573.1242,1.682899
1598.9969,1.638312
1624.5646,1.638971
1647.2728,1.649141
1669.8333,1.61601
1693.3662,1.63311
1717.4997,1.632208
1742.7775,1.646131
1767.1617,1.625964
1790.3967,1.629418
1815.9507,1.629274
1841.5917,1.643898
1867.1997,1.63316
1892.9582,1.613346
1918.8684,1.606591
1943.2872,1.593539
1967.9498,1.595847
1993.0457,1.568957
2018.4031,1.579574
2043.6908,1.588131
2069.3356,1.57712
2094.8262,1.584355
2120.0879,1.562022
2143.9386,1.562726
2166.1241,1.55488
2188.389,1.531921
2210.5215,1.546934
2232.6694,1.55806
2254.8806,1.55045
2280.3295,1.568494
2305.6107,1.551608
2331.0066,1.592379
2356.296,1.552672
2380.1445,1.59899
2405.2507,1.524009
2427.4496,1.506633
2451.6439,1.549406
2475.9688,1.528295
2501.2506,1.527757
2526.6665,1.513075
2551.8389,1.534171
2576.8948,1.524822
2602.1066,1.519789
2627.2791,1.517428
2652.1478,1.50249
2677.6749,1.518662
2702.9947,1.50251
