round,value
0,4.633392
1,4.610677
2,4.567642
3,4.525844
4,4.424955
5,4.390308
6,4.332667
7,4.253227
8,4.24202
9,4.205378
10,4.179811
11,4.138157
12,4.143937
13,4.139994
14,4.065227
15,4.031611
16,4.031124
17,4.042035
18,3.97594
19,3.984572
20,3.945184
21,3.916841
22,3.903188
23,3.88326
24,3.868228
25,3.840161
26,3.833899
27,3.764187
28,3.774458
29,3.781703
30,3.721108
31,3.65449
32,3.621586
33,3.603123
34,3.569708
35,3.556099
36,3.548509
37,3.522624
38,3.461316
39,3.456907
40,3.428844
41,3.405203
42,3.395037
43,3.338864
44,3.340195
45,3.377738
46,3.330398
47,3.260516
48,3.265853
49,3.248592
50,3.232328
51,3.239299
52,3.150748
53,3.136135
54,3.173907
55,3.17705
56,3.127822
57,3.119135
58,3.060812
59,3.034263
60,3.037329
61,3.052804
62,3.028925
63,3.020138
64,2.960691
65,2.938075
66,2.963213
67,2.907631
68,2.906669
69,2.877556
70,2.825686
71,2.81426
72,2.814852
73,2.813319
74,2.764542
75,2.784652
76,2.777018
77,2.703547
78,2.734751
79,2.717778
80,2.680284
81,2.686955
82,2.653769
83,2.642091
84,2.685664
85,2.62999
86,2.658834
87,2.625627
88,2.521057
89,2.594748
90,2.624138
91,2.512409
92,2.529725
93,2.522694
94,2.488552
95,2.472809
96,2.467613
97,2.432557
98,2.451965
99,2.405646
100,2.411391
101,2.410512
102,2.399315
103,2.411334
104,2.410531
105,2.372488
106,2.396157
107,2.355605
108,2.331716
109,2.310079
110,2.290402
111,2.319754
112,2.297199
113,2.243299
114,2.292589
115,2.26335
116,2.244304
117,2.235448
118,2.203646
119,2.168058
120,2.115441
121,2.161077
122,2.155707
123,2.133204
124,2.119331
125,2.128857
126,2.096535
127,2.042466
128,2.087677
129,2.051559
130,2.009692
131,2.062366
132,2.059262
133,1.986072
134,2.008067
135,2.014209
136,1.985177
137,1.970032
138,1.95894
139,1.930997
140,1.944157
141,1.910719
142,1.911291
143,1.930415
144,1.933705
145,1.93801
146,1.871144
147,1.91045
148,1.974594
149,1.901743
150,1.96667
151,1.931587
152,1.876844
153,1.905583
154,1.913713
155,1.864527
156,1.823738
157,1.825627
158,1.803228
159,1.803518
160,1.808729
161,1.746396
162,1.786925
163,1.759085
164,1.719087
165,1.75846
166,1.765595
167,1.710601
168,1.698384
169,1.708102
170,1.683104
171,1.702922
172,1.677079
173,1.689301
174,1.709568
175,1.668827
176,1.709661
177,1.676394
178,1.673081
179,1.633994
180,1.563586
181,1.575486
182,1.602519
183,1.543278
184,1.596256
185,1.622818
186,1.481119
187,1.563796
188,1.591854
189,1.579227
190,1.570239
191,1.548801
192,1.560828
193,1.542002
194,1.542537
195,1.510072
196,1.510849
197,1.52461
198,1.476957
199,1.46088
200,1.429528
201,1.439661
202,1.433222
203,1.439337
204,1.404851
205,1.418794
206,1.444283
207,1.399645
208,1.372318
209,1.386698
210,1.353382
211,1.403468
212,1.430451
213,1.327283
214,1.380556
215,1.36563
216,1.326756
217,1.365592
218,1.374514
219,1.278847
220,1.352937
221,1.334708
222,1.259114
223,1.342478
224,1.347866
225,1.245963
226,1.291602
227,1.28461
228,1.219547
229,1.32228
230,1.331378
231,1.229798
232,1.265655
233,1.324578
234,1.189285
235,1.221915
236,1.374015
237,1.243094
238,1.154175
239,1.264959
240,1.195735
241,1.18082
242,1.227992
243,1.162909
244,1.185929
245,1.192417
246,1.114688
247,1.146974
248,1.163978
249,1.163632
250,1.144983
251,1.17025
252,1.137664
253,1.113769
254,1.209182
255,1.089566
256,1.080683
257,1.166792
258,1.113613
259,1.078527
260,1.134646
261,1.064798
262,1.053367
263,1.058537
264,1.026593
265,1.010691
266,1.010092
267,1.009206
268,1.009206
269,1.037706
270,1.017372
271,0.975072
272,1.004497
273,0.975795
274,1.011826
275,1.028304
276,0.979439
277,0.967818
278,0.947596
279,0.952311
280,0.950627
281,0.936285
282,1.004079
283,0.976012
284,0.959475
285,0.947903
286,0.968913
287,0.958185
288,0.941351
289,0.975664
290,0.928462
291,0.911786
292,0.972218
293,0.956758
294,0.952166
295,0.99793
296,0.940108
297,0.925468
298,0.950546
299,0.981117
300,0.948761
301,0.922669
302,0.929848
303,0.908383
304,0.898033
305,0.879717
306,0.879291
307,0.92542
308,0.900629
309,0.910264
310,0.867777
311,0.818221
312,0.88615
313,0.84751
314,0.767224
315,0.839814
316,0.830743
317,0.81732
318,0.819254
319,0.770522
320,0.785221
321,0.769203
322,0.80866
323,0.830377
324,0.747232
325,0.810131
326,0.84617
327,0.749451
328,0.724887
329,0.804771
330,0.759916
331,0.731464
332,0.748224
333,0.738156
334,0.706181
335,0.714369
336,0.7525
337,0.712736
338,0.668448
339,0.751774
340,0.715443
341,0.679046
342,0.724946
343,0.693394
344,0.652581
345,0.687642
346,0.709233
347,0.657341
348,0.6673
349,0.712298
350,0.671919
351,0.636233
352,0.688795
353,0.659983
354,0.617984
355,0.642964
356,0.682345
357,0.655964
358,0.637961
359,0.666031
360,0.698181
361,0.613838
362,0.600198
363,0.638404
364,0.641134
365,0.607147
366,0.636719
367,0.669106
368,0.596374
369,0.630877
370,0.655914
371,0.627647
372,0.600751
373,0.58192
374,0.594594
375,0.587961
376,0.603435
377,0.635049
378,0.589809
379,0.582102
380,0.586272
381,0.546457
382,0.561182
383,0.607402
384,0.534618
385,0.55288
386,0.56868
387,0.507796
388,0.578289
389,0.57286
390,0.530471
391,0.554492
392,0.530928
393,0.500498
394,0.525296
395,0.523048
396,0.516267
397,0.526626
398,0.472877
399,0.502167
400,0.531288
401,0.453449
402,0.479454
403,0.511391
404,0.467101
405,0.480585
406,0.519964
407,0.463033
408,0.457779
409,0.512801
410,0.47761
411,0.475651
412,0.467282
413,0.435604
414,0.466272
415,0.500293
416,0.480081
417,0.450666
418,0.456777
419,0.465134
420,0.455642
421,0.470031
422,0.444426
423,0.432339
424,0.44964
425,0.438501
426,0.412078
427,0.481691
428,0.485812
429,0.441244
430,0.425241
431,0.440594
432,0.433757
433,0.47148
434,0.454791
435,0.439025
436,0.441982
437,0.394387
438,0.427762
439,0.403233
440,0.394363
441,0.419735
442,0.448384
443,0.418496
444,0.387546
445,0.403076
446,0.405605
447,0.410023
448,0.421422
449,0.424862
450,0.401608
451,0.406088
452,0.408556
453,0.419172
454,0.406503
455,0.438315
456,0.41916
457,0.378102
458,0.407297
459,0.424732
460,0.405432
461,0.365038
462,0.399686
463,0.404484
464,0.346941
465,0.382133
466,0.38553
467,0.346092
468,0.362999
469,0.35904
470,0.345618
471,0.330942
472,0.369449
473,0.373771
474,0.365076
475,0.379545
476,0.398151
477,0.347249
478,0.349964
479,0.370965
480,0.357722
481,0.348193
482,0.329342
483,0.328372
484,0.328841
485,0.33961
486,0.319911
487,0.329556
488,0.331202
489,0.314668
490,0.299016
491,0.341511
492,0.309896
493,0.292031
494,0.307016
495,0.3062
496,0.282463
497,0.305641
498,0.31326
499,0.29707
500,0.335171
501,0.31943
502,0.305069
503,0.315919
504,0.347315
505,0.315829
506,0.289418
507,0.323863
508,0.309327
509,0.28322
510,0.332054
511,0.329942
512,0.293211
513,0.28018
514,0.305645
515,0.28843
516,0.268761
517,0.260804
518,0.268856
519,0.251573
520,0.252838
521,0.261271
522,0.25212
523,0.260162
524,0.27761
525,0.261001
526,0.261448
527,0.27692
528,0.262614
529,0.278913
530,0.274772
531,0.261987
532,0.286757
533,0.278829
534,0.263258
535,0.292856
536,0.258679
537,0.242565
538,0.270727
539,0.287906
540,0.251896
541,0.256046
542,0.265113
543,0.247935
544,0.274174
545,0.271986
546,0.263806
547,0.267853
548,0.26358
549,0.266681
550,0.250028
551,0.243888
552,0.230576
553,0.255241
554,0.247905
555,0.241053
556,0.24049
557,0.23913
558,0.22994
559,0.228091
560,0.261532
561,0.236645
562,0.248687
563,0.23971
564,0.2146
565,0.260115
566,0.269014
567,0.231754
568,0.233276
569,0.238651
570,0.215684
571,0.216463
572,0.215168
573,0.213637
574,0.224828
575,0.197026
576,0.228535
577,0.257886
578,0.197293
579,0.227211
580,0.245309
581,0.209351
582,0.210327
583,0.221142
584,0.234581
585,0.24781
586,0.206322
587,0.211258
588,0.23637
589,0.211926
590,0.203871
591,0.21472
592,0.206235
593,0.204325
594,0.212962
595,0.195353
596,0.186847
597,0.192311
598,0.192031
599,0.17645
600,0.183631
601,0.21683
602,0.211933
603,0.196568
604,0.191816
605,0.184723
606,0.2109
607,0.217316
608,0.174861
609,0.205628
610,0.203197
611,0.19647
612,0.214273
613,0.227171
614,0.201522
615,0.208497
616,0.221911
617,0.204767
618,0.209445
619,0.204342
620,0.194647
621,0.19711
622,0.199535
623,0.193867
624,0.209471
625,0.183702
626,0.19618
627,0.183146
628,0.179012
629,0.189576
630,0.186498
631,0.159213
632,0.17406
633,0.185107
634,0.166298
635,0.157686
636,0.172939
637,0.17505
638,0.153687
639,0.167649
640,0.174738
641,0.174702
642,0.156773
643,0.156482
644,0.163335
645,0.158632
646,0.154998
647,0.174399
648,0.173617
649,0.165099
650,0.180975
651,0.155747
652,0.158122
653,0.192882
654,0.154302
655,0.15466
656,0.165466
657,0.150783
658,0.154715
659,0.1692
660,0.158261
661,0.151507
662,0.193426
663,0.16857
664,0.159315
665,0.172797
666,0.174802
667,0.168737
668,0.176535
669,0.167718
670,0.163899
671,0.158723
672,0.158394
673,0.161305
674,0.156354
675,0.152295
676,0.150829
677,0.150031
678,0.139406
679,0.139006
680,0.138036
681,0.139282
682,0.146637
683,0.149998
684,0.146157
685,0.154979
686,0.15063
687,0.162475
688,0.168555
689,0.162261
690,0.132704
691,0.144434
692,0.139704
693,0.131706
694,0.138242
695,0.140005
696,0.128706
697,0.130912
698,0.129164
699,0.127811
700,0.123732
701,0.146343
702,0.12365
703,0.131245
704,0.155035
705,0.138014
706,0.120827
707,0.137775
708,0.133175
709,0.114371
710,0.122127
711,0.117978
712,0.117364
713,0.120112
714,0.115822
715,0.112595
716,0.117524
717,0.123883
718,0.125889
719,0.117037
720,0.105243
721,0.121198
722,0.131435
723,0.114336
724,0.120973
725,0.127764
726,0.131046
727,0.117648
728,0.134173
729,0.121825
730,0.121835
731,0.120312
732,0.133867
733,0.125402
734,0.127971
735,0.156117
736,0.135194
737,0.117051
738,0.118358
739,0.119081
740,0.121105
741,0.122854
742,0.123006
743,0.102636
744,0.118153
745,0.109494
746,0.098055
747,0.111585
748,0.106159
749,0.098325
750,0.111391
751,0.106434
752,0.105488
753,0.106417
754,0.109677
755,0.109166
756,0.099401
757,0.094723
758,0.101171
759,0.107721
760,0.115704
761,0.107055
762,0.103488
763,0.113777
764,0.112109
765,0.114844
766,0.115595
767,0.11082
768,0.112148
769,0.112027
770,0.105596
771,0.100021
772,0.109887
773,0.099468
774,0.094146
775,0.115219
776,0.098156
777,0.098352
778,0.111075
779,0.111155
780,0.090879
781,0.107108
782,0.111623
783,0.100786
784,0.09967
785,0.108022
