round,value
0,4.633392
1,4.584941
2,4.529007
3,4.4732
4,4.41802
5,4.352132
6,4.304003
7,4.261212
8,4.222995
9,4.188464
10,4.165582
11,4.139912
12,4.127605
13,4.113711
14,4.088111
15,4.05785
16,4.050914
17,4.054878
18,4.015768
19,4.010471
20,3.983701
21,3.968135
22,3.952815
23,3.93971
24,3.925205
25,3.920336
26,3.906531
27,3.884134
28,3.877942
29,3.860651
30,3.846564
31,3.827998
32,3.815298
33,3.791803
34,3.789548
35,3.779904
36,3.749118
37,3.747924
38,3.73834
39,3.732931
40,3.723139
41,3.701826
42,3.683415
43,3.672486
44,3.657174
45,3.648238
46,3.635709
47,3.636569
48,3.625527
49,3.6158
50,3.585104
51,3.565183
52,3.572152
53,3.558658
54,3.552729
55,3.535105
56,3.524401
57,3.498188
58,3.507182
59,3.495769
60,3.469251
61,3.476286
62,3.477417
63,3.452676
64,3.443709
65,3.444165
66,3.429435
67,3.417575
68,3.40938
69,3.393955
70,3.402713
71,3.371981
72,3.37608
73,3.371968
74,3.352913
75,3.339723
76,3.335536
77,3.342499
78,3.324633
79,3.316469
80,3.31727
81,3.302725
82,3.282882
83,3.289153
84,3.289374
85,3.283331
86,3.27624
87,3.262014
88,3.253472
89,3.245499
90,3.253789
91,3.250452
92,3.234005
93,3.225281
94,3.210702
95,3.204815
96,3.200774
97,3.189252
98,3.18156
99,3.188681
100,3.179734
101,3.163481
102,3.151439
103,3.154953
104,3.155198
105,3.143724
106,3.141848
107,3.140647
108,3.121604
109,3.135726
110,3.105467
111,3.123063
112,3.125569
113,3.109674
114,3.102944
115,3.090327
116,3.094146
117,3.072802
118,3.072468
119,3.059353
120,3.057303
121,3.063328
122,3.0613
123,3.070255
124,3.047057
125,3.065926
126,3.047636
127,3.037
128,3.02384
129,3.024581
130,3.037317
131,3.008392
132,3.002907
133,3.008223
134,2.991151
135,3.002371
136,2.987002
137,2.976751
138,2.969079
139,2.968007
140,2.967902
141,2.964506
142,2.960745
143,2.948468
144,2.94384
145,2.949068
146,2.936615
147,2.953669
148,2.951803
149,2.935818
150,2.956614
151,2.917037
152,2.921011
153,2.905677
154,2.914309
155,2.911809
156,2.91781
157,2.907751
158,2.906105
159,2.884594
160,2.886668
161,2.894629
162,2.867373
163,2.874237
164,2.858729
165,2.863779
166,2.87126
167,2.854114
168,2.861964
169,2.854659
170,2.85938
171,2.830284
172,2.84681
173,2.835332
174,2.844119
175,2.835616
176,2.827263
177,2.829294
178,2.824242
179,2.801086
180,2.795138
181,2.805286
182,2.800995
183,2.802974
184,2.795606
185,2.793205
186,2.79647
187,2.781939
188,2.779252
189,2.807811
190,2.779954
191,2.771932
192,2.777426
193,2.758394
194,2.75304
195,2.76039
196,2.756189
197,2.73567
198,2.746356
199,2.73727
200,2.724842
201,2.72838
202,2.729754
203,2.740249
204,2.733267
205,2.720918
206,2.718871
207,2.711607
208,2.693005
209,2.696347
210,2.720276
211,2.719626
212,2.693229
213,2.703403
214,2.685576
215,2.673125
216,2.697147
217,2.676827
218,2.678501
219,2.682258
220,2.660572
221,2.669129
222,2.650091
223,2.651199
224,2.662671
225,2.659332
226,2.642062
227,2.64051
228,2.636695
229,2.627029
230,2.64147
231,2.643937
232,2.639781
233,2.632728
234,2.624283
235,2.605336
236,2.621796
237,2.603429
238,2.595112
239,2.619576
240,2.600571
241,2.600977
242,2.59907
243,2.60204
244,2.605505
245,2.601852
246,2.584011
247,2.586582
248,2.585736
249,2.583205
250,2.57736
251,2.568863
252,2.589055
253,2.574342
254,2.557324
255,2.559845
256,2.547659
257,2.563229
258,2.567638
259,2.556835
260,2.5545
261,2.555917
262,2.556715
263,2.550423
264,2.52267
265,2.529475
266,2.526495
267,2.522161
268,2.519096
269,2.522336
270,2.522184
271,2.513217
272,2.512565
273,2.49781
274,2.510686
275,2.517622
276,2.505191
277,2.500287
278,2.498749
279,2.487194
280,2.495669
281,2.476698
282,2.491302
283,2.481932
284,2.48718
285,2.469529
286,2.491657
287,2.459554
288,2.468363
289,2.458119
290,2.457222
291,2.471601
292,2.482069
293,2.47445
294,2.48195
295,2.464943
296,2.454969
297,2.448755
298,2.440014
299,2.44756
300,2.436885
301,2.432753
302,2.428813
303,2.428764
304,2.422441
305,2.417502
306,2.414598
307,2.427212
308,2.424185
309,2.420824
310,2.414967
311,2.395822
312,2.426492
313,2.403505
314,2.401705
315,2.416238
316,2.40281
317,2.396574
318,2.393351
319,2.388303
320,2.371513
321,2.380941
322,2.385676
323,2.387852
324,2.369201
325,2.368597
326,2.382921
327,2.376489
328,2.372855
329,2.358387
330,2.362115
331,2.35386
332,2.345561
333,2.353016
334,2.35354
335,2.34154
336,2.341517
337,2.336731
338,2.346774
339,2.332034
340,2.335231
341,2.328955
342,2.326836
343,2.326206
344,2.330234
345,2.329083
346,2.319933
347,2.317361
348,2.317295
349,2.318924
350,2.310675
351,2.302585
352,2.297119
353,2.311494
354,2.317736
355,2.299754
356,2.297015
357,2.286241
358,2.288729
359,2.306629
360,2.285044
361,2.290334
362,2.269501
363,2.272274
364,2.267235
365,2.27938
366,2.277469
367,2.268175
368,2.269526
369,2.26985
370,2.26061
371,2.284127
372,2.264351
373,2.250018
374,2.254907
375,2.244522
376,2.245808
377,2.249668
378,2.240198
379,2.22319
380,2.234593
381,2.241431
382,2.227694
383,2.223587
384,2.225055
385,2.224401
386,2.227089
387,2.224851
388,2.230964
389,2.220274
390,2.21828
391,2.227234
392,2.202784
393,2.201966
394,2.206621
395,2.198255
396,2.206447
397,2.210826
398,2.196825
399,2.198124
400,2.190998
401,2.179924
402,2.192999
403,2.180218
404,2.185489
405,2.190077
406,2.17963
407,2.176975
408,2.170013
409,2.157169
410,2.174435
411,2.15602
412,2.153206
413,2.169016
414,2.169194
415,2.154278
416,2.170469
417,2.145279
418,2.145708
419,2.1427
420,2.150327
421,2.148469
422,2.137949
423,2.15552
424,2.135583
425,2.139884
426,2.1286
427,2.143861
428,2.131415
429,2.148401
430,2.117504
431,2.128849
432,2.112999
433,2.121762
434,2.119775
435,2.100341
436,2.113442
437,2.111365
438,2.104606
439,2.108374
440,2.108939
441,2.116636
442,2.106452
443,2.093776
444,2.085619
445,2.105086
446,2.086094
447,2.089231
448,2.106023
449,2.105016
450,2.089426
451,2.07638
452,2.075002
453,2.076392
454,2.071492
455,2.069303
456,2.071901
457,2.073932
458,2.07356
459,2.066733
460,2.061643
461,2.062349
462,2.061394
463,2.062291
464,2.045846
465,2.04716
466,2.046834
467,2.061858
468,2.032688
469,2.039699
470,2.036371
471,2.039812
472,2.046325
473,2.035447
474,2.027989
475,2.042203
476,2.026133
477,2.022054
478,2.050692
479,2.022554
480,2.017886
481,2.026141
482,2.005374
483,2.031679
484,2.010788
485,2.019626
486,2.013701
487,2.005991
488,2.004793
489,2.003555
490,2.000448
491,2.001623
492,1.994724
493,1.996524
494,2.010734
495,1.987616
496,1.994719
497,1.985181
498,1.996844
499,1.973496
500,1.983759
501,1.975922
502,1.979117
503,1.968644
504,1.962903
505,1.981872
506,1.965727
507,1.956857
508,1.962187
509,1.962611
510,1.954172
511,1.960209
512,1.950914
513,1.952772
514,1.953014
515,1.953882
516,1.957809
517,1.930559
518,1.951584
519,1.940925
520,1.935689
521,1.943558
522,1.924823
523,1.933859
524,1.933766
525,1.927575
526,1.93788
527,1.923917
528,1.924078
529,1.931692
530,1.919204
531,1.928109
532,1.917551
533,1.912964
534,1.911282
535,1.901995
536,1.905085
537,1.914947
538,1.897469
539,1.916451
540,1.905003
541,1.900932
542,1.901876
543,1.897626
544,1.888934
545,1.889622
546,1.888981
547,1.887366
548,1.890165
549,1.900419
550,1.881335
551,1.868757
552,1.881708
553,1.886374
554,1.887387
555,1.865963
556,1.869188
557,1.867655
558,1.872876
559,1.868526
560,1.853852
561,1.862351
562,1.851105
563,1.848807
564,1.853
565,1.869689
566,1.843011
567,1.862179
568,1.846038
569,1.846057
570,1.846676
571,1.841799
572,1.844634
573,1.83385
574,1.832886
575,1.845854
576,1.830868
577,1.830388
578,1.817303
579,1.826679
580,1.823615
581,1.825604
582,1.812274
583,1.838952
584,1.817974
585,1.807978
586,1.812588
587,1.825613
588,1.814679
589,1.822164
590,1.797154
591,1.821571
592,1.802368
593,1.813055
594,1.804675
595,1.79986
596,1.787064
597,1.792793
598,1.791577
599,1.796943
600,1.798306
601,1.806593
602,1.79409
603,1.783645
604,1.773237
605,1.776993
606,1.792496
607,1.764718
608,1.770774
609,1.768999
610,1.775017
611,1.773625
612,1.769561
613,1.760906
614,1.769021
615,1.761404
616,1.768129
617,1.753145
618,1.765435
619,1.76532
620,1.745099
621,1.748712
622,1.754976
623,1.74678
624,1.75497
625,1.732295
626,1.745648
627,1.742428
628,1.736231
629,1.741379
630,1.732124
631,1.735462
632,1.72749
633,1.738681
634,1.726847
635,1.732941
636,1.718377
637,1.729776
638,1.726513
639,1.721006
640,1.723708
641,1.717495
642,1.723827
643,1.731929
644,1.703427
645,1.710394
646,1.690757
647,1.70217
648,1.705232
649,1.699717
650,1.695083
651,1.700739
652,1.68529
653,1.705682
654,1.688058
655,1.68903
656,1.700538
657,1.706315
658,1.694597
659,1.675556
660,1.680918
661,1.686757
662,1.692824
663,1.676563
664,1.685941
665,1.686269
666,1.668433
667,1.694895
668,1.676158
669,1.668456
670,1.683439
671,1.667117
672,1.664397
673,1.677583
674,1.663849
675,1.659598
676,1.65689
677,1.666654
678,1.644739
679,1.661846
680,1.642481
681,1.644774
682,1.645248
683,1.653558
684,1.655522
685,1.658241
686,1.658553
687,1.643355
688,1.64001
689,1.632745
690,1.643953
691,1.646751
692,1.62467
693,1.630682
694,1.629908
695,1.635209
696,1.618637
697,1.622744
698,1.627901
699,1.635119
700,1.629236
701,1.614215
702,1.628188
703,1.628829
704,1.620607
705,1.621944
706,1.622525
707,1.620491
708,1.607524
709,1.608404
710,1.621968
711,1.612741
712,1.594655
713,1.598412
714,1.600346
715,1.604367
716,1.596419
717,1.595601
718,1.594539
719,1.584946
720,1.602209
721,1.589917
722,1.59303
723,1.586878
724,1.589203
725,1.579372
726,1.580053
727,1.584182
728,1.59153
729,1.578491
730,1.57272
731,1.560627
732,1.583508
733,1.573459
734,1.57131
735,1.565536
736,1.57892
737,1.578606
738,1.559425
739,1.571959
740,1.559693
741,1.584327
742,1.556068
743,1.558872
744,1.560976
745,1.547996
746,1.543242
747,1.541294
748,1.552005
749,1.54615
750,1.538797
751,1.538033
752,1.547357
753,1.539144
754,1.550003
755,1.534024
756,1.539249
757,1.526537
758,1.535553
759,1.534581
760,1.525589
761,1.530452
762,1.525747
763,1.529111
764,1.525083
765,1.518131
766,1.52392
767,1.529968
768,1.518753
769,1.51297
770,1.530775
771,1.506777
772,1.509211
773,1.50583
774,1.501763
775,1.500791
776,1.504842
777,1.504534
778,1.498969
779,1.50872
780,1.496557
781,1.493889
782,1.506523
783,1.500314
784,1.487309
785,1.496769
786,1.505364
787,1.494304
788,1.494304
789,1.492822
790,1.493525
791,1.487908
792,1.480751
793,1.483008
794,1.491748
795,1.496095
796,1.471408
797,1.470174
798,1.472334
799,1.482412
800,1.468168
801,1.465823
802,1.477519
803,1.483731
804,1.466167
805,1.470589
806,1.46956
807,1.456277
808,1.472927
809,1.467544
810,1.469631
811,1.4494
812,1.453948
813,1.444763
814,1.455962
815,1.458549
816,1.444901
817,1.453768
818,1.45213
819,1.458984
820,1.457414
821,1.447536
822,1.444719
823,1.454311
824,1.441972
825,1.446058
826,1.449208
827,1.449352
828,1.430279
829,1.434296
830,1.432132
831,1.423135
832,1.430965
833,1.43063
834,1.433109
835,1.417881
836,1.431924
837,1.422574
838,1.41966
839,1.425997
840,1.423911
841,1.418194
842,1.418352
843,1.422905
844,1.423955
845,1.411315
846,1.420328
847,1.413162
848,1.408637
849,1.418991
850,1.407442
851,1.39553
852,1.401986
853,1.401887
854,1.407115
855,1.391904
856,1.404258
857,1.393083
858,1.380766
859,1.396608
860,1.38619
