round,value
0,4.648117
1,4.574615
2,4.494004
3,4.399874
4,4.31902
5,4.255097
6,4.193022
7,4.144119
8,4.109232
9,4.072144
10,4.042834
11,4.020325
12,3.99343
13,3.977465
14,3.939052
15,3.899283
16,3.882879
17,3.89645
18,3.838341
19,3.820554
20,3.79952
21,3.766171
22,3.747684
23,3.726585
24,3.698478
25,3.683828
26,3.657631
27,3.624887
28,3.618555
29,3.594806
30,3.567855
31,3.550313
32,3.534529
33,3.500602
34,3.489085
35,3.471882
36,3.438754
37,3.423485
38,3.429928
39,3.398805
40,3.397947
41,3.363489
42,3.344194
43,3.330003
44,3.326577
45,3.3058
46,3.292632
47,3.291333
48,3.279931
49,3.267714
50,3.240031
51,3.209525
52,3.207511
53,3.188882
54,3.182456
55,3.194383
56,3.155123
57,3.14539
58,3.142531
59,3.134839
60,3.117045
61,3.111512
62,3.128648
63,3.07921
64,3.080863
65,3.079725
66,3.073408
67,3.04969
68,3.049796
69,3.033453
70,3.041899
71,3.006975
72,3.003608
73,3.00473
74,2.986561
75,2.981487
76,2.976826
77,2.978943
78,2.962667
79,2.951229
80,2.944423
81,2.932668
82,2.914958
83,2.926426
84,2.929872
85,2.902293
86,2.913683
87,2.876014
88,2.87412
89,2.862252
90,2.867961
91,2.862689
92,2.839287
93,2.845112
94,2.826859
95,2.828474
96,2.819941
97,2.802826
98,2.806584
99,2.797202
100,2.798469
101,2.766919
102,2.76934
103,2.775405
104,2.760803
105,2.753021
106,2.744135
107,2.744884
108,2.730759
109,2.747267
110,2.707295
111,2.72311
112,2.728
113,2.701887
114,2.705652
115,2.686401
116,2.69236
117,2.67737
118,2.655777
119,2.657992
120,2.651423
121,2.646252
122,2.661683
123,2.658671
124,2.628876
125,2.648105
126,2.63335
127,2.610462
128,2.611225
129,2.611857
130,2.607645
131,2.582523
132,2.583047
133,2.578565
134,2.579243
135,2.575667
136,2.555349
137,2.549773
138,2.556993
139,2.538904
140,2.541076
141,2.526098
142,2.535942
