round,value
0,4.700958
1,4.669231
2,4.633015
3,4.625819
4,4.591837
5,4.601114
6,4.569085
7,4.560688
8,4.541371
9,4.529161
10,4.503635
11,4.482928
12,4.468556
13,4.4546
14,4.448045
15,4.441687
16,4.424679
17,4.415357
18,4.392738
19,4.411351
20,4.38242
21,4.402203
22,4.382224
23,4.362913
24,4.38511
25,4.370149
26,4.353206
27,4.34256
28,4.330701
29,4.323132
30,4.329951
31,4.307432
32,4.308326
33,4.310116
34,4.260279
35,4.257662
36,4.244102
37,4.220439
38,4.21566
39,4.222441
40,4.195138
41,4.179487
42,4.166716
43,4.157075
44,4.15282
45,4.124343
46,4.130166
47,4.131965
48,4.087306
49,4.074958
50,4.072126
51,4.074777
52,4.07195
53,4.050957
54,4.032957
55,4.031554
56,4.016174
57,3.998521
58,3.998581
59,3.972936
60,3.962682
61,3.935162
62,3.935345
63,3.914256
64,3.925059
65,3.902123
66,3.904236
67,3.875941
68,3.87236
69,3.863536
70,3.848565
71,3.825628
72,3.8179
73,3.815458
74,3.806161
75,3.796192
76,3.792747
77,3.785508
78,3.761525
79,3.765067
80,3.742885
81,3.726022
82,3.72977
83,3.722015
84,3.724541
85,3.718939
86,3.69407
87,3.695522
88,3.679297
89,3.66981
90,3.651236
91,3.654101
92,3.647241
93,3.635016
94,3.627618
95,3.624345
96,3.613941
97,3.602362
98,3.603793
99,3.594507
100,3.580488
101,3.565258
102,3.564899
103,3.55202
104,3.552874
105,3.547696
106,3.529978
107,3.53008
108,3.539848
109,3.523644
110,3.508688
111,3.506607
112,3.497316
113,3.48602
114,3.477898
115,3.467946
116,3.45945
117,3.462215
118,3.453621
119,3.43847
120,3.439275
121,3.434864
122,3.429673
123,3.42
124,3.418526
125,3.392097
126,3.395243
127,3.385172
128,3.383201
129,3.376233
130,3.369619
131,3.362291
132,3.354603
133,3.353328
134,3.336965
135,3.327682
136,3.332164
137,3.32403
138,3.319019
139,3.305921
140,3.311892
141,3.279832
142,3.276917
143,3.275929
144,3.283863
145,3.277037
146,3.263183
147,3.246982
148,3.240971
149,3.239595
150,3.225771
151,3.225647
152,3.21745
153,3.207719
154,3.200097
155,3.195022
156,3.182438
157,3.184748
158,3.175163
159,3.155535
160,3.158079
161,3.158168
162,3.141252
163,3.132667
164,3.142515
165,3.121194
166,3.114897
167,3.115322
168,3.11785
169,3.096858
170,3.101867
171,3.077989
172,3.080381
173,3.060107
174,3.067399
175,3.055672
176,3.047259
177,3.03083
178,3.040496
179,3.020437
180,3.033607
181,3.013389
182,3.010678
183,3.001193
184,2.983662
185,2.989622
186,2.976963
187,2.991574
188,2.968489
189,2.969163
190,2.960089
191,2.95544
192,2.94733
193,2.932583
194,2.931193
195,2.940801
196,2.913748
197,2.914387
198,2.912976
199,2.900027
200,2.889388
201,2.904099
202,2.887394
203,2.880181
204,2.871328
205,2.865062
206,2.863563
207,2.862632
208,2.852422
209,2.844368
210,2.841054
211,2.829688
212,2.824009
213,2.830516
214,2.818175
215,2.81017
216,2.82586
217,2.795934
218,2.792871
219,2.781268
220,2.779085
221,2.779794
222,2.782865
223,2.778854
224,2.767279
225,2.756367
226,2.759107
227,2.737099
228,2.723079
229,2.72802
230,2.720756
231,2.717757
232,2.72297
233,2.715914
234,2.694963
235,2.695548
236,2.701891
237,2.683675
238,2.683265
239,2.673955
240,2.661503
241,2.672957
242,2.649935
243,2.660145
244,2.649686
245,2.654182
246,2.633814
247,2.619702
248,2.633419
249,2.626235
250,2.606207
251,2.615909
252,2.622003
253,2.616952
254,2.61203
255,2.605641
256,2.582507
257,2.583003
258,2.593225
259,2.570628
260,2.568197
261,2.560009
262,2.561541
263,2.545731
264,2.550849
265,2.550505
266,2.532349
267,2.52763
268,2.530945
269,2.532252
270,2.514751
271,2.512229
272,2.508026
273,2.487404
274,2.486068
275,2.475948
276,2.473719
277,2.468965
278,2.463919
279,2.476151
280,2.465249
281,2.45488
282,2.47896
283,2.442879
284,2.449236
285,2.435329
286,2.43661
287,2.420382
288,2.424741
289,2.409956
290,2.412264
291,2.412289
292,2.404737
293,2.396749
294,2.383984
295,2.380461
296,2.382768
297,2.399913
298,2.372658
299,2.365359
300,2.355244
301,2.358991
302,2.339976
303,2.340926
304,2.349884
305,2.347757
306,2.32915
307,2.331971
308,2.33056
309,2.315049
310,2.30732
311,2.291183
312,2.306671
313,2.285167
314,2.289348
315,2.292904
316,2.290494
317,2.270271
318,2.271416
319,2.268863
320,2.256297
321,2.255853
322,2.250583
323,2.256885
324,2.24346
325,2.235981
326,2.222028
327,2.243766
328,2.228702
329,2.215943
330,2.215354
331,2.207172
332,2.202198
333,2.215291
334,2.187264
335,2.174091
336,2.184774
337,2.185668
338,2.172828
339,2.175153
340,2.155113
341,2.172763
342,2.171016
343,2.155185
344,2.140547
345,2.129938
346,2.137267
347,2.134574
348,2.115627
349,2.124122
350,2.128369
351,2.106282
352,2.124466
353,2.116763
354,2.088027
355,2.098651
356,2.091479
357,2.076577
358,2.066593
359,2.081184
360,2.06388
361,2.081458
362,2.059387
363,2.065017
364,2.047088
365,2.051795
366,2.033783
367,2.04212
368,2.034756
369,2.013225
370,2.02593
371,2.02409
372,2.011152
373,1.994485
374,1.992419
375,2.00725
376,1.991033
377,1.979883
378,1.987711
379,1.97868
380,1.973454
381,1.959885
382,1.949717
383,1.95731
384,1.957633
385,1.94827
386,1.948144
387,1.930313
388,1.934595
389,1.932765
390,1.920035
391,1.907655
392,1.914932
393,1.91299
394,1.898184
395,1.905923
396,1.907867
397,1.886326
398,1.879086
399,1.884622
400,1.863749
401,1.866179
402,1.857376
403,1.851582
404,1.839361
405,1.844708
406,1.844619
407,1.83213
408,1.844107
409,1.824304
410,1.828317
411,1.826005
412,1.82216
413,1.7985
414,1.798684
415,1.789418
416,1.795903
417,1.794278
418,1.788536
419,1.772993
420,1.773006
421,1.773425
422,1.774852
423,1.779683
424,1.758553
425,1.736558
426,1.747374
427,1.735134
428,1.731702
429,1.733843
430,1.722478
431,1.722536
432,1.728811
433,1.713607
434,1.703468
435,1.696469
436,1.695921
437,1.69694
438,1.686136
439,1.667012
440,1.666723
441,1.660951
442,1.647123
443,1.6577
444,1.662051
445,1.652514
446,1.648376
447,1.638165
448,1.627737
449,1.624652
450,1.602969
451,1.610155
452,1.59967
453,1.607663
454,1.595386
455,1.589778
456,1.591601
457,1.592108
458,1.572007
459,1.57822
460,1.570242
461,1.571834
462,1.567842
463,1.557258
464,1.558453
465,1.538127
466,1.538428
467,1.536148
468,1.524813
469,1.519282
470,1.529618
471,1.524593
472,1.507763
473,1.507264
474,1.501595
475,1.499047
476,1.492131
477,1.485414
478,1.482243
479,1.463025
480,1.457845
481,1.466771
482,1.449627
483,1.451531
484,1.451654
485,1.443136
486,1.43105
487,1.43765
488,1.425874
489,1.416142
490,1.421814
491,1.402095
492,1.403533
493,1.391426
494,1.392529
495,1.3866
496,1.391654
497,1.383833
498,1.376241
499,1.374607
500,1.363347
501,1.367082
502,1.365252
503,1.356246
504,1.348268
505,1.343494
506,1.330224
507,1.335822
508,1.325224
509,1.323803
510,1.302489
511,1.309285
512,1.288784
513,1.287789
514,1.290501
515,1.282349
516,1.27475
517,1.277041
518,1.266625
519,1.265858
520,1.255867
521,1.259973
522,1.247696
523,1.241935
524,1.238914
525,1.222951
526,1.235626
527,1.222131
528,1.218596
529,1.214114
530,1.213725
531,1.199013
532,1.199351
533,1.200208
534,1.182119
535,1.187814
536,1.16735
537,1.165581
538,1.168673
539,1.155546
540,1.161973
541,1.150072
542,1.140097
543,1.13706
544,1.1319
545,1.116922
546,1.128401
547,1.131355
548,1.118998
549,1.118134
550,1.10684
551,1.102274
552,1.095955
553,1.079926
554,1.079548
555,1.070022
556,1.068247
557,1.065365
558,1.053975
559,1.057717
560,1.045129
561,1.044468
562,1.043718
563,1.052273
564,1.036368
565,1.043467
566,1.022284
567,1.012083
568,1.003289
569,1.012796
570,1.00578
571,1.007353
572,0.996628
573,0.991
574,0.981814
575,0.986504
576,0.975008
577,0.962977
578,0.963609
579,0.959989
580,0.95409
581,0.942574
582,0.940889
583,0.932976
584,0.928659
585,0.925012
586,0.917165
587,0.921713
588,0.914806
589,0.914254
590,0.894089
591,0.892755
592,0.891092
593,0.884494
594,0.892818
595,0.873315
596,0.861895
597,0.867578
598,0.871992
599,0.853008
600,0.857495
601,0.847056
602,0.848561
603,0.838724
604,0.837793
605,0.830859
606,0.828258
607,0.820334
608,0.815162
609,0.817567
610,0.823191
611,0.80634
612,0.807572
613,0.800506
614,0.807411
615,0.794358
616,0.788076
617,0.782905
618,0.783131
619,0.767945
620,0.768257
621,0.761134
622,0.761264
623,0.754843
624,0.762507
625,0.754586
626,0.750468
627,0.737565
628,0.737514
629,0.735002
630,0.731454
631,0.724418
632,0.720431
633,0.723728
634,0.720503
635,0.718172
636,0.719192
637,0.710895
638,0.70705
639,0.702251
640,0.701775
641,0.698684
642,0.690037
643,0.686444
644,0.688902
645,0.683923
646,0.676991
647,0.678866
648,0.672159
649,0.672209
650,0.667929
651,0.661903
652,0.661939
653,0.652949
654,0.653252
655,0.650465
656,0.645454
657,0.644691
658,0.644529
659,0.64212
660,0.634976
661,0.63533
662,0.635111
663,0.63879
664,0.628934
665,0.617375
666,0.622741
667,0.615447
668,0.614207
669,0.616941
670,0.606101
671,0.605549
672,0.612212
673,0.6028
674,0.600494
675,0.60109
676,0.600162
677,0.592634
678,0.583831
679,0.586116
680,0.585857
681,0.582525
682,0.579796
683,0.576896
684,0.574444
685,0.572651
686,0.566668
687,0.571736
688,0.566149
689,0.560764
690,0.565064
691,0.557172
692,0.556553
693,0.555551
694,0.55355
695,0.548617
696,0.550227
697,0.552102
698,0.543092
699,0.543816
700,0.538641
701,0.541685
702,0.545689
703,0.538204
704,0.535127
705,0.534417
706,0.532555
707,0.523499
708,0.519148
709,0.52317
710,0.519217
711,0.51445
712,0.518739
713,0.512921
714,0.51306
715,0.513036
716,0.506356
717,0.501915
718,0.506746
719,0.502081
720,0.503787
721,0.495684
722,0.500521
723,0.494127
724,0.496275
725,0.491231
726,0.490074
727,0.489141
728,0.493371
729,0.483695
730,0.492647
731,0.485391
732,0.483655
733,0.481288
734,0.475322
735,0.478472
736,0.481178
737,0.479915
738,0.472134
739,0.47048
740,0.46872
741,0.472393
742,0.470323
743,0.464982
744,0.461117
745,0.457679
746,0.458475
747,0.450267
748,0.452923
749,0.458249
750,0.457827
751,0.456875
752,0.456521
753,0.4532
754,0.449637
755,0.44059
756,0.438528
757,0.442975
758,0.442192
759,0.442284
760,0.442381
761,0.439996
762,0.436036
763,0.434921
764,0.441703
765,0.434199
766,0.430031
767,0.428916
768,0.426016
769,0.426032
770,0.42183
771,0.421993
772,0.418623
773,0.427171
774,0.419923
775,0.420458
776,0.414916
777,0.425733
778,0.416399
779,0.417872
780,0.410267
781,0.408458
782,0.41228
783,0.405599
784,0.408372
785,0.410746
786,0.408312
787,0.406313
788,0.407347
789,0.401524
790,0.404625
791,0.406482
792,0.402426
793,0.398507
794,0.396573
795,0.392052
796,0.39087
797,0.391186
798,0.394794
799,0.390232
800,0.389657
801,0.383028
802,0.384879
803,0.386016
804,0.383409
805,0.384476
806,0.382965
807,0.378521
808,0.377125
809,0.375223
810,0.378478
811,0.377773
812,0.377696
813,0.372907
814,0.372443
815,0.370741
816,0.370587
817,0.379211
818,0.375466
819,0.370817
820,0.370326
821,0.364084
822,0.362363
823,0.363675
824,0.368552
825,0.361436
826,0.363627
827,0.362632
828,0.361843
829,0.358702
830,0.357931
831,0.359339
832,0.359016
833,0.35647
834,0.356448
835,0.352222
836,0.354502
837,0.357468
838,0.352007
839,0.349228
840,0.344058
841,0.350849
842,0.347768
843,0.346578
844,0.346122
845,0.345885
846,0.343574
847,0.346895
848,0.338987
849,0.337214
850,0.341842
851,0.340112
852,0.342384
853,0.338777
854,0.337835
855,0.339226
856,0.338883
857,0.3356
858,0.331405
859,0.336365
860,0.331302
861,0.33014
862,0.330273
863,0.335369
864,0.328962
865,0.324901
866,0.330756
867,0.325837
868,0.325102
869,0.332494
870,0.328841
871,0.326437
872,0.322991
873,0.326253
874,0.325517
875,0.324816
876,0.31935
877,0.318224
878,0.319882
879,0.31854
880,0.315956
881,0.319429
882,0.314935
883,0.308104
884,0.309669
885,0.310371
886,0.311216
887,0.315576
888,0.308345
889,0.311588
890,0.312011
891,0.302746
892,0.308664
893,0.303353
894,0.302575
895,0.304677
896,0.305143
897,0.302925
898,0.305333
899,0.300412
900,0.306277
901,0.302345
902,0.302539
903,0.299231
904,0.30091
905,0.296279
906,0.299836
907,0.296374
908,0.299227
909,0.294243
910,0.295927
911,0.299646
912,0.299239
913,0.294251
914,0.293111
915,0.291814
916,0.29674
917,0.291004
918,0.294205
919,0.28622
920,0.285025
921,0.286023
922,0.287324
923,0.289123
924,0.287254
925,0.280934
926,0.288283
927,0.286162
928,0.282593
929,0.284287
930,0.277714
931,0.277578
932,0.282217
933,0.278787
934,0.288566
935,0.282895
936,0.276026
937,0.279167
938,0.272665
939,0.275751
940,0.273921
941,0.276768
942,0.273829
943,0.273288
944,0.270781
945,0.270335
946,0.270689
947,0.278891
948,0.273697
949,0.270024
950,0.271828
951,0.270912
952,0.265543
953,0.268148
954,0.26541
955,0.267768
956,0.27086
957,0.263485
958,0.26923
959,0.270725
960,0.265506
961,0.267046
962,0.260555
963,0.261778
964,0.263923
965,0.261914
966,0.259043
967,0.260317
968,0.259936
969,0.259952
970,0.261869
971,0.25615
972,0.261667
973,0.257119
974,0.255581
975,0.260716
976,0.25947
977,0.256113
978,0.254631
979,0.261859
980,0.255264
981,0.256265
982,0.255703
983,0.254459
984,0.252837
985,0.254993
986,0.253529
987,0.251945
988,0.248744
989,0.250356
990,0.252071
991,0.246814
992,0.247373
993,0.248476
994,0.244296
995,0.246525
996,0.248113
997,0.249374
998,0.245836
999,0.244411
