round,value
0,4.647026
1,4.578391
2,4.492453
3,4.421377
4,4.353043
5,4.295235
6,4.250658
7,4.202879
8,4.158504
9,4.135162
10,4.104483
11,4.083939
12,4.057463
13,4.037471
14,4.026755
15,4.011919
16,3.997431
17,3.977549
18,3.970867
19,3.949905
20,3.944134
21,3.931083
22,3.922775
23,3.90482
24,3.88799
25,3.876519
26,3.873448
27,3.855882
28,3.842959
29,3.836449
30,3.825082
31,3.798304
32,3.787953
33,3.776671
34,3.770624
35,3.766349
36,3.74561
37,3.745112
38,3.714189
39,3.708284
40,3.690217
41,3.687013
42,3.671781
43,3.653949
44,3.635575
45,3.627463
46,3.626857
47,3.615494
48,3.615585
49,3.595235
50,3.573932
51,3.566559
52,3.562652
53,3.538003
54,3.537327
55,3.525536
56,3.521664
57,3.511118
58,3.506498
59,3.505761
60,3.489493
61,3.493053
62,3.47042
63,3.465927
64,3.448858
65,3.455561
66,3.436281
67,3.437105
68,3.408699
69,3.416903
70,3.399376
71,3.416244
72,3.389365
73,3.384066
74,3.378889
75,3.368798
76,3.362248
77,3.362601
78,3.335191
79,3.338792
80,3.328024
81,3.320365
82,3.305805
83,3.311679
84,3.308716
85,3.298111
86,3.299408
87,3.306025
88,3.280629
89,3.274991
90,3.260595
91,3.255663
92,3.268977
93,3.24672
94,3.253498
95,3.24129
96,3.23761
97,3.238237
98,3.216917
99,3.213599
100,3.206629
101,3.202339
102,3.198152
103,3.198275
104,3.183479
105,3.178302
106,3.177875
107,3.166165
108,3.166121
109,3.162824
110,3.155386
111,3.1495
112,3.138416
113,3.133829
114,3.148678
115,3.114662
116,3.11422
117,3.10665
118,3.109419
119,3.098851
120,3.099568
121,3.086348
122,3.092831
123,3.07462
124,3.088313
125,3.07731
126,3.08104
127,3.074861
128,3.079648
129,3.05755
130,3.053246
131,3.047594
132,3.045277
133,3.054662
134,3.043118
135,3.030997
136,3.02862
137,3.023332
138,3.017983
139,3.024012
140,3.014332
141,3.002163
142,3.005823
143,2.989904
144,2.988012
145,2.99287
146,2.989692
147,2.988312
148,2.988336
149,2.967997
150,2.977164
151,2.968298
152,2.967853
153,2.976151
154,2.959538
155,2.960331
156,2.942309
157,2.937269
158,2.943648
159,2.92282
160,2.926674
161,2.924206
162,2.908639
163,2.913913
164,2.906268
165,2.902192
166,2.912423
167,2.89244
168,2.891171
169,2.886353
170,2.89324
171,2.899011
172,2.898737
173,2.891761
174,2.8883
175,2.87906
176,2.878607
177,2.873635
178,2.864102
179,2.862508
180,2.859579
181,2.84875
182,2.838666
183,2.851716
184,2.831188
185,2.832109
186,2.841841
187,2.828884
188,2.811563
189,2.80862
190,2.820108
191,2.830704
192,2.812044
193,2.805083
194,2.810582
195,2.799576
196,2.797181
197,2.798693
198,2.79845
199,2.807695
200,2.778017
201,2.78347
202,2.782806
203,2.787485
204,2.778857
205,2.769364
206,2.768718
207,2.773339
208,2.775263
209,2.76275
210,2.744934
211,2.744913
212,2.743294
213,2.738936
214,2.740356
215,2.73719
216,2.737817
217,2.719536
218,2.729424
219,2.734699
220,2.716794
221,2.719749
222,2.73012
223,2.726655
224,2.725391
225,2.705487
226,2.712755
227,2.695413
228,2.698494
229,2.686064
230,2.708535
231,2.698182
232,2.695497
233,2.712364
234,2.696614
235,2.677852
236,2.68401
237,2.671084
238,2.6578
239,2.667945
240,2.66496
241,2.652663
242,2.652706
243,2.661727
244,2.659985
245,2.654167
246,2.644557
247,2.636532
248,2.638596
249,2.631383
250,2.634644
251,2.633013
252,2.627608
253,2.619569
254,2.624947
255,2.60984
256,2.607498
257,2.615197
258,2.598719
259,2.608082
260,2.605614
261,2.606517
262,2.600322
263,2.60594
264,2.587989
265,2.608201
266,2.587148
267,2.578318
268,2.565812
269,2.562188
270,2.574016
271,2.569143
272,2.55578
273,2.559408
274,2.569133
275,2.561594
276,2.568477
277,2.564226
278,2.565305
279,2.548769
280,2.549629
281,2.536738
282,2.545356
283,2.550111
284,2.5465
285,2.537505
286,2.550107
287,2.540944
288,2.520828
289,2.534703
290,2.517718
291,2.516475
292,2.532808
293,2.523993
294,2.505256
295,2.502486
296,2.509712
297,2.497251
298,2.484795
299,2.506493
300,2.487759
301,2.49588
302,2.486555
303,2.495601
304,2.486704
305,2.491138
306,2.473433
307,2.493123
308,2.47118
309,2.481659
310,2.46523
311,2.465984
312,2.463712
313,2.455296
314,2.450878
315,2.444226
316,2.445466
317,2.447654
318,2.446846
319,2.447787
320,2.436985
321,2.452159
322,2.425625
323,2.41947
324,2.42814
325,2.422155
326,2.42801
327,2.421066
328,2.42434
329,2.422032
330,2.417451
331,2.408331
332,2.406356
333,2.393478
334,2.401697
335,2.401119
336,2.403718
337,2.391957
338,2.402068
339,2.385432
340,2.402382
341,2.387026
342,2.383784
343,2.383541
344,2.38103
345,2.37346
346,2.368201
347,2.36523
348,2.368647
349,2.362117
350,2.367022
351,2.39841
352,2.353804
353,2.371469
354,2.356992
355,2.350247
356,2.352743
357,2.357043
358,2.346667
359,2.345581
360,2.339612
361,2.340949
362,2.347069
363,2.334278
364,2.336649
365,2.336685
366,2.331708
367,2.321714
368,2.317343
369,2.321269
370,2.326413
371,2.308
372,2.309537
373,2.302296
374,2.295391
375,2.297553
376,2.2901
377,2.309332
378,2.29597
379,2.296612
380,2.29444
381,2.301624
382,2.27639
383,2.297121
384,2.28695
385,2.288764
386,2.273976
387,2.284978
388,2.288892
389,2.281528
390,2.274293
391,2.275368
392,2.278913
393,2.256086
394,2.251701
395,2.263633
396,2.249932
397,2.265546
398,2.243665
399,2.262201
400,2.233355
401,2.238744
402,2.260245
403,2.23443
404,2.23172
405,2.237148
406,2.22869
407,2.226375
408,2.217952
409,2.224972
410,2.223489
411,2.221473
412,2.228097
413,2.234052
414,2.216813
415,2.228175
416,2.213005
417,2.200653
418,2.199124
419,2.202887
420,2.195107
421,2.211445
422,2.19445
423,2.187838
424,2.18051
425,2.179856
426,2.175247
427,2.181715
428,2.18904
429,2.179152
430,2.174595
431,2.175596
432,2.166245
433,2.175312
434,2.15901
435,2.164992
436,2.164874
437,2.174332
438,2.159342
439,2.15157
440,2.155093
441,2.147364
442,2.153319
443,2.142599
444,2.150367
445,2.15261
446,2.152229
447,2.145466
448,2.138278
449,2.13129
450,2.1398
451,2.132136
452,2.119241
453,2.120277
454,2.121854
455,2.115444
456,2.124851
457,2.110811
458,2.116891
459,2.112947
460,2.122671
461,2.128595
462,2.117862
463,2.109096
464,2.102278
465,2.102612
466,2.101866
467,2.101046
468,2.103121
469,2.094229
470,2.115272
471,2.095212
472,2.093596
473,2.087707
474,2.090455
475,2.074167
476,2.080458
477,2.071645
478,2.064727
479,2.07922
480,2.072957
481,2.07885
482,2.076028
483,2.062383
484,2.070437
485,2.066173
486,2.05702
487,2.052842
488,2.043964
489,2.059065
490,2.049477
491,2.064297
492,2.047249
493,2.042884
494,2.038356
495,2.032379
496,2.052749
497,2.039744
498,2.026946
499,2.029389
500,2.023698
501,2.018069
502,2.007922
503,2.020544
504,2.030239
505,2.019824
506,2.020172
507,2.013258
508,2.014
509,2.016897
510,2.002246
511,2.013142
512,2.004008
513,2.014248
514,1.99805
515,2.019108
516,2.003856
517,2.008099
518,1.992806
519,1.995768
520,1.982861
521,1.993702
522,1.987713
523,1.985951
524,1.987151
525,1.978829
526,1.979321
527,1.966225
528,1.976359
529,1.963148
530,1.975589
531,1.959087
532,1.956135
533,1.963555
534,1.96241
535,1.956413
536,1.947147
537,1.954801
538,1.940956
539,1.945588
540,1.948498
541,1.951009
542,1.960195
543,1.9594
544,1.943212
545,1.951229
546,1.953615
547,1.950805
548,1.954412
549,1.945149
550,1.937245
551,1.952801
552,1.91163
553,1.927897
554,1.91099
555,1.924034
556,1.918841
557,1.921425
558,1.924919
559,1.904521
560,1.920131
561,1.909046
562,1.914635
563,1.907227
