time_sec,value
23.6517,4.633392
43.238,4.610677
64.7024,4.567642
86.2008,4.525844
107.4684,4.424955
127.7495,4.390308
142.6883,4.332667
157.4503,4.253227
176.75,4.24202
195.5952,4.205378
215.5718,4.179811
237.3145,4.138157
258.8863,4.143937
280.3114,4.139994
299.3403,4.065227
318.4834,4.031611
339.2958,4.031124
360.7301,4.042035
382.0041,3.97594
403.1498,3.984572
418.3324,3.945184
433.2093,3.916841
448.0037,3.903188
464.3493,3.88326
485.3737,3.868228
502.5211,3.840161
517.3704,3.833899
532.305,3.764187
547.0439,3.774458
567.0467,3.781703
587.3903,3.721108
607.6326,3.65449
629.0984,3.621586
650.4943,3.603123
671.493,3.569708
691.3784,3.556099
711.3239,3.548509
730.9369,3.522624
748.8673,3.461316
763.6237,3.456907
779.2363,3.428844
800.6401,3.405203
822.0197,3.395037
842.8961,3.338864
863.671,3.340195
884.0631,3.377738
904.1114,3.330398
925.1079,3.260516
945.3948,3.265853
960.1511,3.248592
975.8807,3.232328
990.823,3.239299
1007.2086,3.150748
1027.2675,3.136135
1047.686,3.173907
1068.9915,3.17705
1090.3506,3.127822
1111.2363,3.119135
1129.8167,3.060812
1149.7442,3.034263
1168.5051,3.037329
1189.921,3.052804
1211.3066,3.028925
1230.935,3.020138
1250.3788,2.960691
1270.386,2.938075
1290.2036,2.963213
1311.4783,2.907631
1332.865,2.906669
1352.8952,2.877556
1372.3965,2.825686
1391.501,2.81426
1412.9726,2.814852
1434.4897,2.813319
1455.931,2.764542
1476.03,2.784652
1495.775,2.777018
1514.5586,2.703547
1529.4091,2.734751
1544.255,2.717778
1559.1988,2.680284
1580.5561,2.686955
1600.9719,2.653769
1620.1978,2.642091
1639.5174,2.685664
1659.6037,2.62999
1680.9923,2.658834
1702.4456,2.625627
1723.696,2.521057
1743.0867,2.594748
1762.775,2.624138
1783.3894,2.512409
1804.7888,2.529725
1826.3782,2.522694
1847.5343,2.488552
1862.4569,2.472809
1883.9352,2.467613
1903.4226,2.432557
1924.8389,2.451965
1946.3888,2.405646
1966.0663,2.411391
1983.9212,2.410512
2000.1053,2.399315
2014.9046,2.411334
2030.7918,2.410531
2052.1916,2.372488
2073.569,2.396157
2094.9405,2.355605
2116.2662,2.331716
2136.1913,2.310079
2156.0728,2.290402
2176.161,2.319754
2197.4262,2.297199
2218.9215,2.243299
2240.2777,2.292589
2255.1348,2.26335
2270.021,2.244304
2284.8096,2.235448
2299.8851,2.203646
2314.7672,2.168058
2329.6172,2.115441
2344.5085,2.161077
2359.3009,2.155707
2374.2983,2.133204
2389.1898,2.119331
2409.9365,2.128857
2426.0314,2.096535
2445.8781,2.042466
2467.3756,2.087677
2488.6503,2.051559
2509.824,2.009692
2530.3816,2.062366
2549.9212,2.059262
2569.4465,1.986072
2584.4144,2.008067
2599.3333,2.014209
2614.4325,1.985177
2635.7359,1.970032
2656.7759,1.95894
2675.6557,1.930997
2694.7388,1.944157
2716.0201,1.910719
2737.4367,1.911291
2758.8351,1.930415
2780.1401,1.933705
2797.2394,1.93801
2816.4344,1.871144
2837.5564,1.91045
2858.9758,1.974594
2880.2965,1.901743
2901.5581,1.96667
2921.92,1.931587
2940.621,1.876844
2961.3098,1.905583
2982.7347,1.913713
3004.0234,1.864527
3024.947,1.823738
3043.9139,1.825627
3062.784,1.803228
3083.8079,1.803518
3105.19,1.808729
3126.9149,1.746396
3148.1838,1.786925
3169.0414,1.759085
3188.1327,1.719087
3208.7206,1.75846
3229.7209,1.765595
3251.306,1.710601
3272.851,1.698384
3294.3996,1.708102
3315.7788,1.683104
3335.5888,1.702922
3355.5817,1.677079
3374.8208,1.689301
3394.8867,1.709568
3416.3609,1.668827
3437.8019,1.709661
3459.1969,1.676394
3480.2367,1.673081
3497.9984,1.633994
3516.4288,1.563586
3531.3964,1.575486
3547.0265,1.602519
3561.9453,1.543278
3583.0075,1.596256
3604.4632,1.622818
3625.8809,1.481119
3640.7331,1.563796
3657.8286,1.591854
3679.2896,1.579227
3700.7799,1.570239
3721.4256,1.548801
3741.6112,1.560828
3761.5359,1.542002
3782.1896,1.542537
3802.774,1.510072
3824.137,1.510849
3843.6519,1.52461
3862.0969,1.476957
3882.1811,1.46088
3903.5773,1.429528
3925.1055,1.439661
3940.2573,1.433222
3960.1815,1.439337
3980.0975,1.404851
4001.4993,1.418794
4022.76,1.444283
4043.76,1.399645
4063.2816,1.372318
4081.3853,1.386698
4101.9222,1.353382
4123.1232,1.403468
4144.6086,1.430451
4165.75,1.327283
4181.0084,1.380556
4200.2254,1.36563
4215.0626,1.326756
4229.9684,1.365592
4244.9184,1.374514
4259.6671,1.278847
4274.6739,1.352937
4289.6022,1.334708
4304.4093,1.259114
4319.2894,1.342478
4338.1879,1.347866
4358.8585,1.245963
4378.7095,1.291602
4397.2762,1.28461
4418.5272,1.219547
4433.3284,1.32228
4451.7193,1.331378
4472.4771,1.229798
4493.3885,1.265655
4514.9465,1.324578
4536.4474,1.189285
4557.7772,1.221915
4578.3131,1.374015
4598.4049,1.243094
4618.8122,1.154175
4640.1724,1.264959
4661.521,1.195735
4682.8653,1.18082
4703.9589,1.227992
4723.8282,1.162909
4743.2303,1.185929
4763.0844,1.192417
4784.4302,1.114688
4805.6598,1.146974
4826.844,1.163978
4845.9363,1.163632
4863.2648,1.144983
4880.4555,1.17025
4899.8752,1.137664
4919.2577,1.113769
4938.0555,1.209182
4958.8541,1.089566
4980.3821,1.080683
4999.185,1.166792
5017.0067,1.113613
5034.113,1.078527
5049.1359,1.134646
5070.0721,1.064798
5090.6115,1.053367
5110.9154,1.058537
5130.6693,1.026593
5152.2001,1.010691
5173.0032,1.010092
5193.8125,1.009206
5213.3216,1.009206
5231.2726,1.037706
5246.1728,1.017372
5260.916,0.975072
5278.1112,1.004497
5298.4526,0.975795
5320.1017,1.011826
5339.2316,1.028304
5358.337,0.979439
5377.8364,0.967818
5397.7838,0.947596
5419.5132,0.952311
5440.9652,0.950627
5462.5203,0.936285
5480.5323,1.004079
5496.3896,0.976012
5512.1899,0.959475
5533.2338,0.947903
5551.9774,0.968913
5570.6548,0.958185
5591.9455,0.941351
5606.6635,0.975664
5623.0027,0.928462
5642.3663,0.911786
5657.2738,0.972218
5672.4035,0.956758
5687.7246,0.952166
5707.8588,0.99793
5727.8951,0.940108
5743.2551,0.925468
5763.0863,0.950546
5784.7478,0.981117
5806.3328,0.948761
5828.1108,0.922669
5849.3919,0.929848
5868.2855,0.908383
5885.4053,0.898033
5904.3097,0.879717
5923.0771,0.879291
5941.8612,0.92542
5960.7185,0.900629
5981.1158,0.910264
6000.2738,0.867777
6021.7326,0.818221
6041.83,0.88615
6062.6174,0.84751
6082.8393,0.767224
6102.5874,0.839814
6123.8586,0.830743
6142.9599,0.81732
6161.68,0.819254
6179.8149,0.770522
6198.3456,0.785221
6218.5443,0.769203
6237.3778,0.80866
6253.689,0.830377
6274.1559,0.747232
6295.7739,0.810131
6317.5061,0.84617
6338.9641,0.749451
6358.4823,0.724887
6377.2099,0.804771
6393.2531,0.759916
6414.8004,0.731464
6435.4273,0.748224
6451.8586,0.738156
6470.2737,0.706181
6492.1611,0.714369
6513.1136,0.7525
6532.8392,0.712736
6551.947,0.668448
6570.834,0.751774
6591.6634,0.715443
6610.1203,0.679046
6631.4504,0.724946
6653.5707,0.693394
6673.8291,0.652581
6693.291,0.687642
6711.4239,0.709233
6732.4533,0.657341
6754.0031,0.6673
6771.6992,0.712298
6787.3409,0.671919
6808.3798,0.636233
6823.2952,0.688795
6842.5974,0.659983
6861.2006,0.617984
6876.1554,0.642964
6890.952,0.682345
6906.1083,0.655964
6927.6431,0.637961
6949.2248,0.666031
6969.9986,0.698181
6985.6429,0.613838
7000.6411,0.600198
7016.6165,0.638404
7032.7467,0.641134
7053.4767,0.607147
7075.1201,0.636719
7096.738,0.669106
7117.9834,0.596374
7136.4516,0.630877
7153.5859,0.655914
7175.1437,0.627647
7196.8637,0.600751
7218.422,0.58192
7239.7723,0.594594
7257.2354,0.587961
7276.4211,0.603435
7297.6204,0.635049
7319.2148,0.589809
7336.6034,0.582102
7355.7606,0.586272
7370.5465,0.546457
7385.4304,0.561182
7406.0058,0.607402
7422.8703,0.534618
7438.3383,0.55288
7458.9697,0.56868
7480.4847,0.507796
7502.0828,0.578289
7522.2983,0.57286
7541.5242,0.530471
7562.0175,0.554492
7582.6761,0.530928
7601.5659,0.500498
7622.2424,0.525296
7643.8404,0.523048
7665.4115,0.516267
7686.2704,0.526626
7705.3597,0.472877
7723.6261,0.502167
7743.4125,0.531288
7765.0208,0.453449
7785.9555,0.479454
7805.023,0.511391
7823.694,0.467101
7844.0804,0.480585
7865.564,0.519964
7887.3781,0.463033
7909.0404,0.457779
7928.1419,0.512801
7948.5422,0.47761
7969.4689,0.475651
7989.6357,0.467282
8011.3965,0.435604
8030.4928,0.466272
8050.0049,0.500293
8068.9198,0.480081
8090.0674,0.450666
8110.668,0.456777
8129.4671,0.465134
8149.3893,0.455642
8164.292,0.470031
8180.0541,0.444426
8194.9848,0.432339
8209.7759,0.44964
8228.1931,0.438501
8246.7438,0.412078
8266.0593,0.481691
8286.8963,0.485812
8308.492,0.441244
8326.883,0.425241
8344.5384,0.440594
8359.5077,0.433757
8378.8423,0.47148
8400.6205,0.454791
8418.5109,0.439025
8437.59,0.441982
8458.8937,0.394387
8480.8255,0.427762
8502.8284,0.403233
8524.8812,0.394363
8545.8155,0.419735
8563.6924,0.448384
8579.0583,0.418496
8600.4827,0.387546
8616.4955,0.403076
8631.8818,0.405605
8651.5116,0.410023
8673.1779,0.421422
8694.9491,0.424862
8715.1461,0.401608
8733.8867,0.406088
8753.3679,0.408556
8773.9306,0.419172
8795.5672,0.406503
8816.0117,0.438315
8836.0285,0.41916
8856.7745,0.378102
8878.436,0.407297
8899.4942,0.424732
8920.2043,0.405432
8939.3824,0.365038
8959.7107,0.399686
8979.6358,0.404484
9000.3248,0.346941
9021.638,0.382133
9042.9551,0.38553
9057.7192,0.346092
9073.3641,0.362999
9088.6161,0.35904
9104.7781,0.345618
9124.5199,0.330942
9145.7841,0.369449
9167.613,0.373771
9189.5805,0.365076
9211.5054,0.379545
9231.162,0.398151
9248.9552,0.347249
9266.2228,0.349964
9287.5567,0.370965
9307.4139,0.357722
9327.8611,0.348193
9348.5717,0.329342
9369.2881,0.328372
9390.0008,0.328841
9410.709,0.33961
9430.995,0.319911
9452.5053,0.329556
9473.8954,0.331202
9491.3763,0.314668
9508.5747,0.299016
9528.3378,0.341511
9543.0632,0.309896
9558.0844,0.292031
9578.1413,0.307016
9597.494,0.3062
9612.4559,0.282463
9627.3394,0.305641
9642.1318,0.31326
9659.4459,0.29707
9674.3229,0.335171
9689.0981,0.31943
9704.3813,0.305069
9725.8311,0.315919
9747.3568,0.347315
9768.8596,0.315829
9786.4311,0.289418
9801.375,0.323863
9816.0973,0.309327
9831.3016,0.28322
9850.2471,0.332054
9871.7351,0.329942
9893.283,0.293211
9914.9602,0.28018
9935.3332,0.305645
9954.0556,0.28843
9975.0715,0.268761
9989.982,0.260804
10005.6941,0.268856
10026.4478,0.251573
10046.3964,0.252838
10066.8761,0.261271
10085.2965,0.25212
10104.6236,0.260162
10126.1612,0.27761
10147.7958,0.261001
10169.1117,0.261448
10183.8916,0.27692
10203.7872,0.262614
10222.221,0.278913
10243.1877,0.274772
10263.1864,0.261987
10284.6336,0.286757
10306.3158,0.278829
10327.8048,0.263258
10347.0994,0.292856
10367.7888,0.258679
10387.4386,0.242565
10407.051,0.270727
10428.4671,0.287906
10449.9901,0.251896
10471.4211,0.256046
10491.8324,0.265113
10510.8051,0.247935
10529.743,0.274174
10550.8336,0.271986
10572.4697,0.263806
10593.7842,0.267853
10614.5446,0.26358
10634.6867,0.266681
10652.9485,0.250028
10667.8483,0.243888
10682.6371,0.230576
10699.72,0.255241
10715.6018,0.247905
10734.7794,0.241053
10752.3784,0.24049
10767.4025,0.23913
10788.0978,0.22994
10808.6526,0.228091
10827.9627,0.261532
10848.6163,0.236645
10870.0931,0.248687
10887.0178,0.23971
10905.692,0.2146
10925.8331,0.260115
10947.1506,0.269014
10968.6456,0.231754
10990.1246,0.233276
11010.8987,0.238651
11029.7466,0.215684
11050.1137,0.216463
11068.1289,0.215168
11089.6179,0.213637
11111.0282,0.224828
11130.2664,0.197026
11149.3531,0.228535
11169.4045,0.257886
11190.7391,0.197293
11212.2357,0.227211
11233.1194,0.245309
11251.4697,0.209351
11270.4931,0.210327
11291.5043,0.221142
11306.2881,0.234581
11325.0052,0.24781
11344.7982,0.206322
11365.3059,0.211258
11387.1359,0.23637
11409.165,0.211926
11430.6869,0.203871
11450.143,0.21472
11469.2404,0.206235
11488.7729,0.204325
11510.6511,0.212962
11532.2205,0.195353
11553.2674,0.186847
11571.9628,0.192311
11591.4303,0.192031
11612.1187,0.17645
11633.8167,0.183631
11655.347,0.21683
11676.6841,0.211933
11691.6917,0.196568
