time_sec,value
20.3846,4.762617
40.9048,4.640289
60.1226,4.614062
79.076,4.559869
97.2864,4.607207
115.0614,4.574258
132.6938,4.58749
150.0313,4.542228
167.1877,4.605069
183.4892,4.563179
199.5753,4.577472
216.0336,4.565334
232.1511,4.504792
248.3489,4.450043
264.2736,4.395427
280.1007,4.338
296.2724,4.473663
311.8496,4.349832
327.2003,4.275532
342.6067,4.337491
358.3022,4.373562
373.7905,4.239907
389.4548,4.219957
404.9228,4.350137
420.3041,4.369253
435.7165,4.166659
451.2373,4.199342
466.4917,4.099168
482.0075,4.080947
497.4653,4.171888
512.9916,4.167974
528.6435,4.15898
543.9873,4.10239
559.4244,4.001198
574.7838,3.967215
589.8777,4.085722
605.3375,4.158389
620.6858,3.988711
635.9025,4.025799
651.1807,3.964154
666.2783,3.978343
681.6333,3.993503
697.0705,4.028892
712.5774,3.938611
727.9703,3.978609
743.4728,3.842894
758.8081,3.862562
774.1399,3.95965
789.7299,4.103562
805.0914,3.661077
820.4338,3.641098
835.8909,3.730866
851.0906,3.715941
866.4718,3.804138
881.8586,3.894835
897.0724,3.653187
912.3343,3.669576
927.7032,3.733534
943.0348,3.803592
958.4819,3.615154
973.7519,3.630721
989.1797,3.704854
1004.6472,3.828892
1019.8492,3.544952
1035.2075,3.513939
1050.7152,3.553315
1066.0365,3.577142
1081.2484,3.559399
1096.5848,3.589901
1111.9467,3.609679
1127.2919,3.861634
1142.6852,3.442169
1157.9669,3.404839
1173.1985,3.445694
1188.5913,3.51452
1203.7119,3.522468
1218.9295,3.511331
1234.2281,3.4689
1249.5835,3.432397
1264.9541,3.529886
1280.3988,3.628407
1295.716,3.290007
1311.0849,3.254057
1326.3587,3.308323
1341.5105,3.323626
1356.8223,3.378289
1372.4319,3.433307
1387.6083,3.477579
1403.0764,3.679443
1418.2091,3.12987
1433.2561,3.086532
1448.5154,3.257447
1463.9439,3.329653
1479.3197,3.245864
1494.5279,3.219835
1509.5187,3.251113
1524.672,3.252139
1539.7768,3.2911
1555.0705,3.343534
1569.3957,3.119588
1584.7588,3.085109
1599.8313,3.175174
1615.1043,3.187732
1630.3836,3.087401
1645.6396,3.076484
1660.9298,3.193278
1676.3193,3.125635
1691.5612,3.212448
1706.9937,3.231767
1722.2684,3.091126
1737.7317,3.093235
1753.0351,3.056641
1768.4494,3.004292
1783.6293,3.067971
1799.0768,3.154894
1814.2117,2.964454
1829.6772,2.854778
1844.909,2.982293
1859.9375,2.948162
1874.0947,3.254519
1889.5133,3.495306
1904.6385,2.948361
1919.9788,2.921613
1935.3068,2.954655
1950.6028,2.841679
1965.629,3.1032
1981.154,3.293428
1996.268,2.834885
2010.9884,2.727084
2025.9201,2.819489
2041.1369,2.801084
2056.0734,2.867083
2071.333,2.957435
2086.3206,2.798666
2101.4104,2.656018
2116.4378,2.809343
2132.0605,3.156085
2147.0132,2.631581
2162.0952,2.600886
2177.1987,2.776073
2192.2716,2.709956
2207.1693,3.059745
2222.6105,3.297266
2237.8849,2.637815
2253.2274,2.567345
2268.1957,2.721212
2283.4291,2.685767
2297.9432,2.724118
2312.5105,2.643693
2327.1724,2.743288
2342.414,2.691721
2357.3784,2.764802
2371.9957,2.613271
2386.1763,2.654095
2401.3735,2.490076
2416.6788,2.657732
2432.0417,2.686107
2447.3398,2.697286
2462.883,2.665071
2478.2308,2.819125
2493.7764,2.75953
2509.058,2.690404
2524.281,2.480665
2539.3786,2.711172
2555.0281,2.802196
2570.274,2.556464
2585.6932,2.449728
2601.0276,2.629246
2616.4029,2.565063
2631.6672,2.624481
2646.9507,2.487083
2662.1775,2.663262
2677.9116,2.708486
2692.9251,2.489371
2707.9409,2.403897
2723.2067,2.5264
2738.8174,2.472222
2754.2192,2.690726
2769.548,2.687786
2784.5947,2.40037
2799.9013,2.558484
2815.2648,2.370197
2830.8182,2.569261
2846.1882,2.387594
2861.5402,2.211534
2876.7678,2.523142
2892.214,2.539633
2907.3331,2.435512
2922.8035,2.225208
2938.1208,2.385773
2953.8302,2.389582
2969.0242,2.413159
2984.2608,2.386171
2999.5351,2.355169
3014.8888,2.13445
3030.0344,2.293621
3045.5479,2.166357
3060.8455,2.433922
3076.601,2.454272
3092.0069,2.322099
3107.3638,2.162161
3122.5678,2.406501
3138.2532,2.440882
3153.5197,2.404095
3169.0386,2.329915
3184.3212,2.256771
3199.9895,2.068633
3215.2675,2.446987
3230.8454,2.333084
3246.2227,2.436288
3260.9129,2.227327
3276.3042,2.318192
3291.331,2.052745
3306.3842,2.275837
3321.8088,2.130018
3336.9919,2.189337
3352.0886,2.045771
3367.3039,2.346198
3382.7656,2.288058
3398.0647,2.372868
3413.6185,2.313793
3428.9937,2.291351
3444.3949,2.251201
3459.5303,2.365058
3475.0588,2.56441
3490.2738,2.098404
3505.7165,1.969957
3520.7632,2.214266
3536.4511,2.079427
3551.8046,2.386253
3567.4605,2.552981
3582.8898,1.900797
3598.2789,1.768768
3613.4874,1.997353
3629.3166,2.009447
3644.4775,2.392014
3660.2531,2.759474
3675.5484,1.902869
3690.9355,1.722601
3706.2837,1.824833
3721.6912,1.734915
3736.7667,1.971466
3752.0708,1.868556
3767.1454,2.155965
3782.4606,2.195379
3797.6566,2.300152
3812.424,2.116748
3827.586,1.973337
3843.6228,1.813378
3859.0577,2.139753
3874.9944,2.058014
3890.2676,2.076274
3905.6875,1.800828
3920.9484,1.991028
3936.6426,1.896188
3951.9702,2.229478
3967.7164,2.182258
3983.0054,1.953072
3998.6905,1.781021
4013.9594,1.86064
4029.8031,1.693916
4045.0862,1.996882
4060.8345,1.88379
4075.9996,2.042879
4091.7056,1.964828
4106.8569,1.915491
4122.0195,1.805111
4137.3245,2.002261
4153.1439,1.942012
4168.0607,2.098851
4183.6584,2.27583
4198.9279,1.970568
4214.7395,2.049628
4230.0172,1.676269
4245.53,1.482728
4260.7994,1.614678
4276.1464,1.452106
4291.2534,1.500858
4306.3033,1.440216
4321.4926,1.493352
4336.8844,1.522486
4352.1854,1.650201
4367.5091,1.643609
4382.6305,1.829734
4398.1117,1.756732
4413.261,2.048699
4428.9103,1.815521
4443.947,2.016278
4459.3593,1.704976
4474.5699,1.921395
4490.17,1.788581
4505.3681,2.082468
4521.1032,2.032187
4536.3233,1.93312
4551.9096,1.836859
4567.1337,1.916887
4582.5919,1.811801
4597.6611,1.89037
4613.2167,1.587455
4628.0746,1.769382
4643.5509,1.663434
4658.7079,1.759768
4674.2838,1.459339
4689.6647,1.675418
4705.0578,1.445054
4720.3553,1.57178
4735.4869,1.429121
4750.618,1.523013
4766.0733,1.453107
4781.3878,1.499304
4796.6929,1.409642
4811.8386,1.622956
4827.2668,1.780936
4842.4406,1.790889
4857.7167,1.718627
4873.042,1.923388
4889.0074,2.095299
4904.2151,1.44552
4919.6486,1.294876
4934.8041,1.244977
4950.0947,1.286356
4965.3713,1.251089
4980.5592,1.370306
4995.959,1.306648
5011.3245,1.402207
5026.6631,1.297906
5041.9926,1.351913
5057.052,1.221645
5072.2414,1.233798
5087.6593,1.209943
5103.0027,1.22965
5118.024,1.206514
5133.0252,1.190042
5147.2479,1.215188
5162.4569,1.195926
5177.3889,1.176946
5192.7972,1.233305
5207.9324,1.147406
5223.2146,1.250905
5238.3791,1.174992
5253.8148,1.152446
5268.9964,1.265417
5284.1031,1.16818
5299.2847,1.290364
5314.4468,1.185967
5329.532,1.328098
5344.678,1.160475
5360.0457,1.256855
5375.1784,1.164348
5390.5389,1.307699
5405.9006,1.194738
5421.2652,1.26236
5436.8078,1.209877
5451.1876,1.237991
5466.3098,1.177121
5481.4947,1.19143
5496.7568,1.130658
5511.911,1.157759
5527.1786,1.089481
5542.3692,1.246788
5557.5128,1.204368
5572.6879,1.386787
5587.9485,1.239619
5603.1296,1.483644
5618.4373,1.283932
5633.661,1.40029
5648.5587,1.173839
5663.6383,1.28896
5679.0182,1.124757
5694.2409,1.359581
5709.563,1.284338
5724.8327,1.502751
5740.2265,1.494747
5755.3754,1.472892
5771.2042,1.311151
5786.4396,1.421955
5802.0574,1.362176
5817.572,1.247623
5833.2445,1.070922
5848.472,1.125691
5863.7268,0.983875
5879.1086,1.081096
5894.3482,1.104873
5909.4897,1.199595
5924.6536,1.119319
5939.8001,1.155282
5954.9616,1.03283
5970.0677,1.063731
5985.1473,1.000861
6000.1623,1.024432
6014.753,1.029438
6030.1428,1.031031
6045.621,1.02364
6060.0614,1.064601
6075.2263,0.991775
6090.3045,0.997455
6105.3923,1.016328
6120.4287,0.968797
6135.6227,0.958726
6150.6619,1.004638
6165.7619,0.987672
6180.8106,1.009307
6195.8645,0.944245
6211.1474,0.983713
6226.3342,0.932629
6241.4419,0.931519
6256.7564,0.941687
6271.9427,0.931327
6287.0669,0.974772
6302.0437,0.914121
6317.1828,0.893923
6332.1519,0.863661
6347.2989,0.931467
6362.4757,0.856466
6377.4917,0.918406
6392.5721,0.880417
6407.6538,0.953764
6422.701,0.905772
6437.8516,1.000212
6453.0567,0.88273
6468.2736,0.888697
6483.6888,0.877405
6498.9219,0.863872
6514.0721,0.891358
6528.4974,0.85308
6543.3192,0.919896
6558.4486,0.85624
6573.5796,0.895688
6588.8124,0.838582
6603.9518,0.911147
6619.1412,0.869085
6634.513,0.873123
6649.8802,0.843389
6665.3116,0.873086
6680.854,0.821219
6696.2262,0.830029
6711.8393,0.808778
6727.3014,0.829531
6742.4604,0.835695
6757.5679,0.91383
6772.9093,0.847968
6788.2303,0.895018
6803.4683,0.792388
6818.6935,0.838101
6834.1476,0.779322
6849.4863,0.761282
6864.9508,0.808461
6880.3628,0.79396
6895.8904,0.78761
6911.3017,0.764498
6926.5573,0.809147
6941.8256,0.757115
6957.3411,0.806622
6972.8316,0.735751
6988.3924,0.793527
7003.8238,0.764173
7019.33,0.802858
7034.7149,0.775188
7049.8826,0.791515
7064.989,0.774275
7080.2348,0.780746
7094.7728,0.766896
7109.2656,0.773547
7124.5701,0.789373
7139.7469,0.734054
7154.8653,0.746708
7170.1338,0.711293
7184.9595,0.725491
7200.0476,0.741443
7215.2992,0.717432
7230.5077,0.737873
7245.6622,0.708454
7260.0877,0.7508
7275.022,0.728573
7290.1847,0.734867
7305.3687,0.725861
7320.553,0.721452
7335.7815,0.696414
7351.082,0.687645
7366.3875,0.69336
7381.6453,0.708178
7396.8598,0.695037
7412.0479,0.67266
7427.2639,0.698661
7442.2839,0.6947
7457.4205,0.739234
7472.5197,0.661479
7487.6865,0.668601
7502.8803,0.68192
7518.1357,0.68256
7533.3309,0.713712
7548.2374,0.667564
7563.1884,0.687861
7578.3195,0.691402
7593.5293,0.677722
7608.7587,0.659721
7624.1519,0.670238
7639.611,0.613627
7655.0436,0.657813
7670.5634,0.633461
7686.1495,0.684089
7701.5212,0.654201
7716.8736,0.636563
7732.0255,0.647004
7747.2111,0.651434
7762.4472,0.631382
7777.707,0.653804
7793.0414,0.60829
7808.3951,0.639768
7823.7304,0.606468
7838.9525,0.611503
7854.2574,0.599721
7869.6594,0.62147
7884.9766,0.607542
7900.2312,0.590976
7915.4724,0.628039
7930.833,0.598629
