time_sec,value
30.0261,4.647026
61.3596,4.578391
92.2326,4.492453
123.6766,4.421377
154.4476,4.353043
185.2549,4.295235
215.999,4.250658
247.4442,4.202879
278.7379,4.158504
309.3491,4.135162
340.2653,4.104483
371.2035,4.083939
402.4962,4.057463
433.9673,4.037471
465.0405,4.026755
495.7491,4.011919
526.8747,3.997431
558.7234,3.977549
590.0685,3.970867
621.5155,3.949905
652.5652,3.944134
684.0036,3.931083
715.1167,3.922775
746.8275,3.90482
777.6928,3.88799
808.8965,3.876519
840.1265,3.873448
871.2286,3.855882
902.7541,3.842959
933.9714,3.836449
965.1507,3.825082
996.4694,3.798304
1027.0641,3.787953
1057.8454,3.776671
1089.467,3.770624
1121.0182,3.766349
1151.9413,3.74561
1183.1932,3.745112
1214.0853,3.714189
1245.4997,3.708284
1276.8932,3.690217
1307.7056,3.687013
1338.9442,3.671781
1369.7879,3.653949
1401.1114,3.635575
1432.2882,3.627463
1463.7902,3.626857
1494.9524,3.615494
1526.4936,3.615585
1559.1384,3.595235
1590.3367,3.573932
1621.3402,3.566559
1651.8437,3.562652
1682.4608,3.538003
1714.1074,3.537327
1745.0098,3.525536
1776.5749,3.521664
1807.9761,3.511118
1839.0779,3.506498
1871.0207,3.505761
1903.6899,3.489493
1935.0657,3.493053
1965.8891,3.47042
1996.9897,3.465927
2028.1906,3.448858
2059.3786,3.455561
2090.557,3.436281
2121.6763,3.437105
2152.4459,3.408699
2183.6416,3.416903
2214.6488,3.399376
2246.1582,3.416244
2277.7377,3.389365
2308.9158,3.384066
2340.6777,3.378889
2371.6501,3.368798
2403.0435,3.362248
2434.0221,3.362601
2465.3459,3.335191
2496.7326,3.338792
2528.0404,3.328024
2559.0924,3.320365
2589.7405,3.305805
2621.1707,3.311679
2652.4383,3.308716
2684.2983,3.298111
2715.4997,3.299408
2746.6068,3.306025
2778.1376,3.280629
2808.9431,3.274991
2840.8418,3.260595
2871.9977,3.255663
2903.3459,3.268977
2934.2997,3.24672
2966.0902,3.253498
2997.3865,3.24129
3028.9473,3.23761
3060.4183,3.238237
3092.1045,3.216917
3123.4235,3.213599
3154.7221,3.206629
3185.7029,3.202339
3217.344,3.198152
3248.5707,3.198275
3280.0323,3.183479
3311.545,3.178302
3342.6538,3.177875
3373.7737,3.166165
3405.1975,3.166121
3436.2077,3.162824
3468.2992,3.155386
3500.1387,3.1495
3531.5688,3.138416
3562.6468,3.133829
3594.134,3.148678
3625.3159,3.114662
3657.0056,3.11422
3688.0575,3.10665
3719.6113,3.109419
3738.4619,3.098851
3756.7916,3.099568
3775.1201,3.086348
3793.4263,3.092831
3811.8811,3.07462
3830.0123,3.088313
3848.0232,3.07731
3866.2307,3.08104
3883.9793,3.074861
3901.6611,3.079648
3919.8763,3.05755
3938.406,3.053246
3956.7041,3.047594
3975.3572,3.045277
3993.9993,3.054662
4012.5262,3.043118
4030.7177,3.030997
4049.1526,3.02862
4067.2827,3.023332
4085.5343,3.017983
4103.6621,3.024012
4122.4944,3.014332
4141.1605,3.002163
4159.8325,3.005823
4178.4,2.989904
4196.7841,2.988012
4215.1569,2.99287
4234.3448,2.989692
4252.8021,2.988312
4271.0912,2.988336
4288.7754,2.967997
4307.558,2.977164
4325.7729,2.968298
4344.4247,2.967853
4363.2306,2.976151
4382.539,2.959538
4401.8557,2.960331
4421.4068,2.942309
4440.4285,2.937269
4459.0536,2.943648
4476.9549,2.92282
4495.4189,2.926674
4513.8332,2.924206
4532.167,2.908639
4550.4256,2.913913
4568.8705,2.906268
4586.9545,2.902192
4604.9739,2.912423
4622.7124,2.89244
4640.5754,2.891171
4658.4263,2.886353
4676.5185,2.89324
4694.5472,2.899011
4712.1531,2.898737
4729.9042,2.891761
4748.2519,2.8883
4767.2237,2.87906
4786.0808,2.878607
4803.8298,2.873635
4821.9516,2.864102
4839.555,2.862508
4857.2892,2.859579
4875.3825,2.84875
4893.8526,2.838666
4912.1507,2.851716
4930.2877,2.831188
4948.614,2.832109
4966.9182,2.841841
4985.4358,2.828884
5004.0644,2.811563
5022.0701,2.80862
5040.3263,2.820108
5059.4322,2.830704
5079.1207,2.812044
5098.1505,2.805083
5117.425,2.810582
5136.338,2.799576
5155.0948,2.797181
5172.9455,2.798693
5191.3374,2.79845
5209.0834,2.807695
