round,mean,std,n
0,4.007704599999999,0.12893842358195626,5
1,3.7261810000000004,0.021697897997271644,5
2,3.6521928000000004,0.010286304472452783,5
3,3.5795318000000003,0.009876648075131587,5
4,3.4821343999999996,0.009521455156644898,5
5,3.3905823999999996,0.011649164188902187,5
6,3.2986683999999995,0.012409289637203329,5
7,3.2010486,0.02104941254049625,5
8,3.089746,0.019928634913109203,5
9,2.9980438000000005,0.013649177784760446,5
10,2.878048,0.0032663517110072785,5
11,2.7977762000000004,0.012424449995875046,5
12,2.6849612,0.005937028819199147,5
13,2.598557,0.011279752280081302,5
14,2.5106042000000004,0.006085917120697628,5
15,2.4320928,0.021993575418744506,5
16,2.348296,0.006519079804696276,5
17,2.2882446,0.004470765795699857,5
18,2.2218286,0.004711646028724963,5
19,2.1627578,0.010402969008893643,5
20,2.1102700000000003,0.009259520640940384,5
21,2.0662036,0.013126208889089044,5
22,2.0238752,0.009587424664632388,5
23,1.992677,0.013404027230649703,5
24,1.9613584,0.013485073425828976,5
25,1.9301106000000001,0.008070671490030991,5
26,1.9068248,0.010155140924674563,5
27,1.8771082,0.010098722577633248,5
28,1.865615,0.01061507079580724,5
29,1.8475538,0.014543799183844675,5
30,1.8305126,0.007132746686936228,5
31,1.8212812,0.009030283506069992,5
32,1.8061924,0.019460921208925362,5
33,1.7999892,0.010263623517062573,5
34,1.7869862,0.010646351003982518,5
35,1.7861158,0.008649015475763711,5
36,1.7802135999999997,0.01116927434079764,5
37,1.7759639999999997,0.012194750202443611,5
38,1.7720798000000002,0.02140076605404581,5
39,1.7602776000000002,0.013414551475915935,5
40,1.7601154,0.012762364643748428,5
41,1.7545335999999998,0.006456359523756401,5
42,1.7581992,0.017433625962489815,5
43,1.764163,0.01892013822623927,5
44,1.7495716,0.011848236041706798,5
45,1.753697,0.016667948989002822,5
46,1.75718,0.016227312023252692,5
47,1.755043,0.020608053559227773,5
48,1.7573446000000001,0.012987554284775847,5
49,1.755388,0.019290397313171167,5
50,1.7590012000000002,0.018992173709188685,5
51,1.763299,0.007850437503731857,5
52,1.7551312,0.010581948672149151,5
53,1.7630434000000001,0.008458361945436024,5
54,1.7519782000000004,0.008933676829838831,5
55,1.762152,0.012097280190191524,5
56,1.7639403999999999,0.006974083043669591,5
57,1.7632227999999999,0.019072395515508787,5
58,1.764167,0.018528709709529124,5
59,1.7733472,0.022263679518444365,5
60,1.7616122,0.005871445835567226,5
61,1.7655948000000001,0.0107196788058225,5
62,1.7656432,0.009221331584971857,5
63,1.7716094000000002,0.009913735385817024,5
