round,value
0,3.717443
1,3.954902
2,3.95896
3,3.733608
4,3.839965
5,3.713178
6,3.491561
7,3.555782
8,3.468494
9,3.26886
10,3.332808
11,3.203592
12,3.06152
13,3.088869
14,2.962865
15,2.853798
16,2.880961
17,2.765354
18,2.698548
19,2.699201
20,2.594931
21,2.570661
22,2.542442
23,2.448544
24,2.461384
25,2.448268
26,2.339045
27,2.337401
28,2.30842
29,2.263693
30,2.264856
31,2.253942
32,2.172587
33,2.191438
34,2.157386
35,2.113146
36,2.13208
37,2.097408
38,2.053032
39,2.054191
40,2.07045
41,2.027185
42,2.017406
43,1.994527
44,1.966711
45,1.97585
46,1.9552
47,1.939994
48,1.943858
49,1.920459
50,1.893844
51,1.881017
52,1.880789
53,1.884124
54,1.865076
55,1.872527
56,1.847632
57,1.835222
58,1.860748
59,1.845353
60,1.813423
61,1.818532
62,1.810539
63,1.785057
64,1.794359
65,1.805456
66,1.772553
67,1.751498
68,1.768521
69,1.753641
70,1.733762
71,1.763939
72,1.732187
73,1.712994
74,1.727095
75,1.722265
76,1.711982
77,1.711055
78,1.699797
79,1.690737
80,1.688751
81,1.693528
82,1.693486
83,1.678964
84,1.675955
85,1.658647
86,1.649824
87,1.658334
88,1.665825
89,1.6449
90,1.63613
91,1.631827
92,1.632391
93,1.624508
94,1.630976
95,1.634432
96,1.621328
97,1.607195
98,1.604402
99,1.606751
100,1.60439
101,1.59387
102,1.591665
103,1.598988
104,1.594695
105,1.579087
106,1.584005
107,1.576442
108,1.573031
109,1.586934
110,1.571276
111,1.558692
112,1.565221
113,1.561608
114,1.560398
115,1.569578
116,1.553132
117,1.551974
118,1.558737
119,1.545608
120,1.552759
121,1.551976
122,1.533121
123,1.528874
124,1.530742
125,1.527262
126,1.533863
127,1.539912
128,1.516942
129,1.521553
130,1.521859
131,1.514059
132,1.509766
133,1.53311
134,1.526506
135,1.505406
136,1.521875
137,1.512553
138,1.498184
139,1.510125
140,1.519271
141,1.509432
142,1.493769
143,1.501745
144,1.499372
145,1.498646
146,1.504348
147,1.488729
148,1.501559
149,1.480724
150,1.475212
151,1.477713
152,1.486583
153,1.475008
154,1.472598
155,1.474776
156,1.471786
157,1.462167
158,1.497893
159,1.491874
160,1.466645
161,1.480013
162,1.47677
163,1.453807
164,1.473567
165,1.505573
166,1.48128
167,1.460932
168,1.459372
169,1.444333
170,1.479716
171,1.486978
172,1.453566
173,1.460395
174,1.455112
175,1.432344
176,1.469001
177,1.478515
178,1.451919
179,1.443921
180,1.449479
181,1.459699
182,1.446533
183,1.430719
184,1.439115
185,1.424375
186,1.412721
187,1.420358
188,1.418163
189,1.410968
190,1.411413
191,1.415147
192,1.414333
193,1.408646
194,1.41745
195,1.422257
196,1.414205
197,1.396232
198,1.400751
199,1.397944
200,1.393803
201,1.387918
202,1.396327
203,1.407225
204,1.408579
205,1.401886
206,1.409361
207,1.409076
208,1.396699
209,1.387073
210,1.430906
211,1.40589
212,1.398057
213,1.423627
214,1.417651
215,1.395387
216,1.400217
217,1.404214
218,1.392844
219,1.380909
220,1.364876
221,1.37069
222,1.394996
223,1.376147
224,1.380535
225,1.372196
226,1.372232
227,1.371878
228,1.36397
229,1.356884
230,1.38754
231,1.387719
232,1.371081
233,1.37299
234,1.406869
235,1.362978
236,1.35956
237,1.388373
238,1.371045
239,1.360885
240,1.392251
241,1.387895
242,1.363096
243,1.367697
244,1.349335
245,1.36447
246,1.383072
247,1.349525
248,1.345967
249,1.351779
250,1.332681
251,1.338101
252,1.360132
253,1.334621
254,1.337335
255,1.337329
256,1.331012
257,1.331294
258,1.344127
259,1.340432
260,1.33236
261,1.326527
262,1.328806
263,1.321855
264,1.327389
265,1.326467
266,1.316891
267,1.320432
268,1.321636
269,1.320082
270,1.312509
271,1.322601
272,1.317681
273,1.324833
274,1.335164
275,1.310974
276,1.330093
277,1.335891
278,1.343658
279,1.337196
280,1.350862
281,1.32808
282,1.329011
283,1.333725
284,1.322996
285,1.331128
286,1.332088
287,1.299828
288,1.302746
289,1.310596
290,1.297582
291,1.303359
292,1.304461
293,1.30025
294,1.301632
295,1.292312
296,1.29445
297,1.300781
298,1.30786
299,1.290661
300,1.30253
301,1.310623
302,1.314316
303,1.289332
304,1.295113
305,1.314114
306,1.311294
307,1.282994
308,1.305461
309,1.306285
310,1.278741
311,1.301104
312,1.290925
313,1.291611
314,1.325313
315,1.307698
316,1.281388
317,1.282912
318,1.281204
319,1.280437
320,1.296481
321,1.287524
322,1.284944
323,1.285939
324,1.278961
325,1.291847
326,1.28456
327,1.281877
328,1.275953
329,1.287099
330,1.276797
331,1.271414
332,1.285734
