round,value
0,3.711763
1,3.672451
2,3.661492
3,3.640139
4,3.627288
5,3.611561
6,3.597981
7,3.584361
8,3.569594
9,3.564105
10,3.544623
11,3.531347
12,3.518669
13,3.506285
14,3.492486
15,3.480348
16,3.466975
17,3.457327
18,3.444327
19,3.433152
20,3.421554
21,3.414669
22,3.398224
23,3.390158
24,3.37659
25,3.369388
26,3.351126
27,3.342733
28,3.333285
29,3.318034
30,3.307214
31,3.296917
32,3.28492
33,3.274686
34,3.26799
35,3.253269
36,3.249199
37,3.234033
38,3.228328
39,3.216127
40,3.207492
41,3.193654
42,3.189271
43,3.179836
44,3.170453
45,3.157246
46,3.149202
47,3.139081
48,3.132548
49,3.120212
50,3.110504
51,3.103255
52,3.093835
53,3.084552
54,3.076241
55,3.064974
56,3.063904
57,3.050568
58,3.040521
59,3.037569
60,3.026388
61,3.016792
62,3.011917
63,3.007739
64,2.997253
65,2.984506
66,2.981009
67,2.970708
68,2.968349
69,2.952612
70,2.948017
71,2.944612
72,2.931229
73,2.930445
74,2.919343
75,2.910167
76,2.906985
77,2.898439
78,2.890166
79,2.8835
80,2.874853
81,2.866611
82,2.861244
83,2.864416
84,2.84668
85,2.838588
86,2.836716
87,2.833568
88,2.819523
89,2.816277
90,2.808176
91,2.805884
92,2.802359
93,2.790062
94,2.784005
95,2.77841
96,2.772525
97,2.771271
98,2.761951
99,2.757554
100,2.748013
101,2.744333
102,2.73864
103,2.72949
104,2.730521
105,2.741215
106,2.714682
107,2.711473
108,2.706849
109,2.697892
110,2.695401
111,2.68633
112,2.689446
113,2.683253
114,2.67872
115,2.665987
116,2.660847
117,2.660357
118,2.651226
119,2.647818
120,2.642357
121,2.633568
122,2.633612
123,2.627052
124,2.619135
125,2.615072
126,2.611412
127,2.606219
128,2.601642
129,2.600778
130,2.594759
131,2.589262
132,2.583501
133,2.585583
134,2.575551
135,2.569572
136,2.565176
137,2.562393
138,2.557951
139,2.55605
140,2.549154
141,2.543828
142,2.545735
143,2.534705
144,2.534121
145,2.526976
146,2.521725
147,2.518346
148,2.513697
149,2.514662
150,2.505679
151,2.502713
152,2.497379
153,2.497943
154,2.490392
155,2.48512
156,2.481229
157,2.476504
158,2.486597
159,2.47363
160,2.468392
161,2.462057
162,2.458521
163,2.458864
164,2.452097
165,2.45493
166,2.450377
167,2.441353
168,2.435807
169,2.433126
170,2.430903
171,2.43
172,2.428171
173,2.419958
174,2.416555
175,2.414648
176,2.40891
177,2.40557
178,2.40297
179,2.399553
180,2.396957
181,2.395232
182,2.39189
183,2.385721
184,2.383727
185,2.379876
186,2.381724
187,2.375374
188,2.370867
189,2.370059
190,2.365238
191,2.362111
192,2.357132
193,2.356167
194,2.354018
195,2.354743
196,2.350081
197,2.343543
198,2.341337
199,2.335732
200,2.332977
201,2.332832
202,2.330432
203,2.32519
204,2.324225
205,2.321421
206,2.316009
207,2.316819
208,2.315531
209,2.308802
210,2.308572
211,2.307662
212,2.309231
213,2.300845
214,2.295279
215,2.2951
216,2.292189
217,2.285439
218,2.28506
219,2.280032
220,2.279904
221,2.276186
222,2.27487
223,2.272901
224,2.269774
225,2.265614
226,2.265771
227,2.262537
228,2.258758
229,2.256825
230,2.253204
231,2.253921
232,2.252521
233,2.245815
234,2.246244
235,2.239732
236,2.238775
237,2.239639
238,2.234934
239,2.231081
240,2.23305
241,2.229782
242,2.224355
243,2.223396
244,2.21824
245,2.218327
246,2.217993
247,2.216661
248,2.2108
249,2.207839
250,2.20477
251,2.205027
252,2.201261
253,2.200309
254,2.198667
255,2.196514
256,2.193256
257,2.190596
258,2.19061
259,2.19219
260,2.184773
261,2.181323
262,2.179287
263,2.180013
264,2.176065
265,2.175179
266,2.171691
267,2.168774
268,2.166659
269,2.168283
270,2.16429
271,2.161669
272,2.158753
273,2.158033
274,2.156946
275,2.157324
276,2.152996
277,2.150713
278,2.146914
279,2.146896
280,2.145349
281,2.142437
282,2.142026
283,2.138074
284,2.136337
285,2.135982
286,2.135673
287,2.130968
288,2.128435
289,2.127327
290,2.124465
291,2.125155
292,2.129545
293,2.124817
294,2.117305
295,2.116223
296,2.115014
297,2.114458
298,2.110638
299,2.108891
300,2.108405
301,2.107461
302,2.102303
303,2.101928
304,2.101071
305,2.097699
306,2.098991
307,2.095214
308,2.094724
309,2.095115
310,2.089561
311,2.08848
312,2.085241
313,2.087381
314,2.085579
315,2.083192
316,2.084769
317,2.07891
318,2.078402
319,2.076667
320,2.077902
321,2.072258
322,2.071715
323,2.07384
324,2.071576
325,2.069019
326,2.070791
327,2.063423
328,2.062764
329,2.059109
330,2.058514
331,2.063227
332,2.057364
333,2.055173
334,2.050218
335,2.053455
336,2.04794
337,2.052535
338,2.046356
339,2.043518
340,2.047641
341,2.043912
342,2.042271
343,2.040167
344,2.036198
345,2.039601
346,2.03542
347,2.034622
348,2.029474
349,2.033015
350,2.027899
351,2.040283
352,2.025259
353,2.024628
354,2.021151
355,2.024057
356,2.019014
357,2.020551
358,2.017817
359,2.017539
360,2.017097
361,2.012119
362,2.012815
363,2.013149
364,2.009018
365,2.00732
366,2.00905
367,2.00443
368,2.008686
369,2.007351
370,2.003609
371,2.00135
372,1.999578
373,1.995716
374,1.995237
375,1.996294
376,1.997172
377,1.995485
378,1.991037
379,1.991457
380,1.991617
381,1.987324
382,1.984757
383,1.984466
384,1.982521
385,1.981736
386,1.982785
387,1.979394
388,1.976172
389,1.973995
390,1.976792
391,1.976981
392,1.971078
393,1.971359
394,1.971214
395,1.96989
396,1.967588
397,1.966076
398,1.966681
399,1.964074
400,1.962566
401,1.962387
402,1.963497
403,1.965324
404,1.957972
405,1.960365
406,1.959098
407,1.958686
408,1.954323
409,1.953722
410,1.951921
411,1.950758
412,1.949895
413,1.948599
414,1.944104
415,1.946527
416,1.947507
417,1.945842
418,1.943632
419,1.94241
420,1.938481
421,1.940029
422,1.936996
423,1.937645
424,1.936337
425,1.931113
426,1.934341
427,1.93509
428,1.931042
429,1.930483
430,1.928101
431,1.929858
432,1.926219
433,1.928174
434,1.924268
435,1.923206
436,1.921192
437,1.922832
438,1.918494
439,1.91724
440,1.918411
441,1.914475
442,1.91571
443,1.915663
444,1.913544
445,1.916051
446,1.912625
447,1.910152
448,1.91026
449,1.909812
450,1.910057
451,1.908731
452,1.907167
453,1.907775
454,1.90217
455,1.905824
456,1.901036
457,1.899009
458,1.898726
459,1.90073
460,1.898326
461,1.899972
462,1.895316
463,1.893975
464,1.892753
465,1.892173
466,1.893455
467,1.891872
468,1.892834
469,1.889843
470,1.887141
471,1.890896
472,1.883777
473,1.887389
474,1.884657
475,1.880762
476,1.88269
477,1.879947
478,1.881349
479,1.880708
480,1.87735
481,1.879513
482,1.876154
483,1.874549
484,1.881576
485,1.874646
486,1.871767
487,1.876744
488,1.870669
489,1.87031
490,1.872982
491,1.868081
492,1.867207
493,1.867255
494,1.867743
495,1.866508
496,1.866259
497,1.865551
498,1.862917
499,1.862233
500,1.862561
501,1.858008
502,1.861214
503,1.857655
504,1.860504
505,1.855281
506,1.854936
507,1.852887
508,1.852878
509,1.851269
510,1.850771
511,1.852347
512,1.848741
513,1.848747
514,1.848466
515,1.84816
516,1.849523
517,1.844813
518,1.845163
519,1.843002
520,1.844007
521,1.842539
522,1.844195
523,1.846621
524,1.839067
525,1.84023
526,1.836668
527,1.837725
528,1.834791
529,1.835965
530,1.836447
531,1.836057
532,1.831161
533,1.840446
534,1.830886
535,1.836833
536,1.830127
537,1.829618
538,1.827536
539,1.829509
540,1.826726
541,1.828266
542,1.824349
543,1.823039
544,1.822305
545,1.828561
546,1.82262
547,1.823833
548,1.826565
549,1.819643
550,1.822962
551,1.820045
552,1.81934
553,1.823006
554,1.81526
555,1.81445
556,1.814582
557,1.813057
558,1.813821
559,1.812095
560,1.811076
561,1.808528
562,1.810596
563,1.809728
564,1.809247
565,1.813309
566,1.806746
567,1.804321
568,1.807341
569,1.81045
570,1.803328
571,1.8036
572,1.809738
573,1.802475
574,1.805625
575,1.798959
576,1.798688
577,1.798747
578,1.801207
579,1.800698
580,1.797244
581,1.799026
582,1.794832
583,1.796687
584,1.792837
585,1.792103
586,1.792726
587,1.794271
588,1.794247
589,1.792664
590,1.790993
591,1.788758
592,1.788084
593,1.788746
594,1.78497
595,1.786276
596,1.785752
597,1.784717
598,1.788405
599,1.785244
600,1.786269
601,1.781964
602,1.783825
603,1.780534
604,1.782737
605,1.787054
606,1.779041
607,1.778242
608,1.780567
609,1.777294
610,1.777057
611,1.777886
612,1.776367
613,1.773713
614,1.773723
615,1.778291
616,1.773932
617,1.774758
618,1.77232
619,1.77267
620,1.770161
621,1.767341
622,1.767915
623,1.768112
624,1.769278
625,1.767228
626,1.76413
627,1.766635
628,1.76734
629,1.763725
630,1.764745
631,1.766863
632,1.766518
633,1.759282
634,1.760994
635,1.763387
636,1.76128
637,1.75664
638,1.758613
639,1.757323
640,1.754341
641,1.754054
642,1.754534
643,1.757835
644,1.753025
645,1.751816
646,1.758701
647,1.750846
648,1.751309
649,1.749567
650,1.750932
651,1.749879
652,1.750156
653,1.750337
654,1.747789
655,1.749572
656,1.751124
657,1.74608
658,1.743736
659,1.745009
660,1.749497
661,1.743238
662,1.74095
663,1.750928
664,1.744176
665,1.740833
666,1.742971
667,1.7396
668,1.740051
669,1.74374
670,1.738065
671,1.736077
672,1.735722
673,1.737313
674,1.735258
675,1.733734
676,1.735862
677,1.73333
678,1.736369
679,1.734331
680,1.734833
681,1.732583
682,1.731272
683,1.732041
684,1.734911
685,1.730519
686,1.727993
687,1.735125
688,1.72836
689,1.724952
690,1.72591
691,1.7294
692,1.729127
693,1.726116
694,1.725844
695,1.723541
696,1.728083
697,1.727879
698,1.72965
699,1.722517
700,1.723882
701,1.719817
702,1.719928
703,1.717104
704,1.720159
705,1.717715
706,1.720074
707,1.717655
708,1.715293
709,1.721068
710,1.717467
711,1.720952
712,1.713158
713,1.712744
714,1.716079
715,1.711082
716,1.712699
717,1.716242
718,1.71067
719,1.709709
720,1.709416
721,1.710209
722,1.712548
723,1.7062
724,1.706152
725,1.705286
726,1.709046
727,1.71003
728,1.706405
729,1.705619
730,1.70578
731,1.703329
732,1.706007
733,1.704264
734,1.702154
735,1.704409
736,1.700085
737,1.699865
738,1.704009
739,1.701902
740,1.698493
741,1.696892
742,1.69967
743,1.701355
744,1.701861
745,1.699194
746,1.695367
747,1.698612
748,1.694668
749,1.699974
750,1.696991
751,1.698473
752,1.694318
753,1.693005
754,1.691482
755,1.69377
756,1.692508
757,1.688782
758,1.688525
759,1.688977
760,1.688095
761,1.689615
762,1.693511
763,1.687491
764,1.689239
765,1.685856
766,1.686191
767,1.687387
768,1.686961
769,1.689293
770,1.689073
771,1.682086
772,1.68952
773,1.687763
774,1.68219
775,1.684363
776,1.682534
777,1.686431
778,1.682571
779,1.679666
780,1.681529
781,1.678951
782,1.686037
783,1.677854
784,1.679656
785,1.677374
786,1.675495
787,1.676167
788,1.677183
789,1.683368
790,1.672975
791,1.676236
792,1.678219
793,1.673504
794,1.674399
795,1.671784
796,1.673438
797,1.670273
798,1.671434
799,1.671008
800,1.670764
801,1.670221
802,1.671006
803,1.667657
804,1.671001
805,1.66992
806,1.666058
807,1.667488
808,1.668603
809,1.665561
810,1.667854
811,1.66321
812,1.667093
813,1.66534
814,1.662997
815,1.664924
816,1.664146
817,1.670213
818,1.662694
819,1.660388
820,1.658548
821,1.659992
822,1.660419
823,1.662686
824,1.661291
825,1.661422
826,1.658024
827,1.660143
828,1.655484
829,1.65801
830,1.659778
831,1.658912
832,1.655737
833,1.655445
834,1.65713
835,1.657889
836,1.654657
837,1.658272
838,1.653636
839,1.655011
840,1.653027
841,1.651963
842,1.648635
843,1.648976
844,1.652591
845,1.648023
846,1.648867
847,1.648623
848,1.647527
849,1.648784
850,1.650433
851,1.646692
852,1.650428
853,1.651715
854,1.646634
855,1.645842
856,1.644755
857,1.64392
858,1.645205
859,1.643934
860,1.642571
861,1.642479
862,1.641159
863,1.643668
864,1.641557
865,1.639795
866,1.641807
867,1.637962
868,1.640596
869,1.638235
870,1.637761
871,1.643018
872,1.641363
873,1.636576
874,1.638523
875,1.640719
876,1.638075
877,1.64145
878,1.643881
879,1.641223
880,1.635568
881,1.635596
882,1.631569
883,1.633451
884,1.632145
885,1.63563
886,1.631225
887,1.637557
888,1.637361
889,1.631506
890,1.631495
891,1.631513
892,1.629993
893,1.630724
894,1.628613
895,1.627539
896,1.628615
897,1.628579
898,1.627329
899,1.628749
900,1.628728
901,1.627947
902,1.625232
903,1.625454
904,1.627201
905,1.622852
906,1.623039
907,1.623425
908,1.624051
909,1.62354
910,1.622089
911,1.622418
912,1.625509
913,1.619807
914,1.627743
915,1.62229
916,1.619671
917,1.618971
918,1.622015
919,1.624732
920,1.635811
921,1.617464
922,1.618353
923,1.620576
924,1.616264
925,1.615647
926,1.616948
927,1.61291
928,1.615101
929,1.615143
930,1.614365
931,1.614764
932,1.613315
933,1.61724
934,1.612904
935,1.616143
936,1.613546
937,1.611162
938,1.611319
939,1.614337
940,1.612477
941,1.612059
942,1.610106
943,1.611558
944,1.616809
945,1.610952
946,1.611229
947,1.60675
948,1.612119
949,1.609665
950,1.608186
951,1.607166
952,1.606946
953,1.609105
954,1.605304
955,1.608577
956,1.604339
957,1.605418
958,1.603791
959,1.605998
960,1.608307
961,1.615008
962,1.604488
963,1.601096
964,1.601226
965,1.602917
966,1.605449
967,1.602346
968,1.603023
969,1.611058
970,1.600883
971,1.604592
972,1.600754
973,1.602615
974,1.600427
975,1.598437
976,1.597278
977,1.596949
978,1.601309
979,1.595039
980,1.598784
981,1.600192
982,1.598932
983,1.597279
984,1.595115
985,1.593497
986,1.595403
987,1.595969
988,1.592981
989,1.598763
990,1.592673
991,1.596033
992,1.591278
993,1.593092
