round,value
0,4.225204
1,3.73821
2,3.653448
3,3.570123
4,3.480556
5,3.403063
6,3.305699
7,3.181197
8,3.079806
9,2.981852
10,2.873177
11,2.799566
12,2.678667
13,2.591233
14,2.509878
15,2.416991
16,2.345964
17,2.283278
18,2.224831
19,2.163378
20,2.118739
21,2.054537
22,2.016602
23,1.999638
24,1.98345
25,1.93444
26,1.911689
27,1.887608
28,1.876826
29,1.844962
30,1.830595
31,1.821818
32,1.809228
33,1.807016
34,1.793406
35,1.792296
36,1.768282
37,1.788587
38,1.7682
39,1.759274
40,1.771311
41,1.758956
42,1.769145
43,1.757311
44,1.752238
45,1.749443
46,1.775589
47,1.763361
48,1.762421
49,1.786423
50,1.779425
51,1.771024
52,1.759704
53,1.758947
54,1.761172
55,1.776208
56,1.76428
57,1.762535
58,1.796266
59,1.785892
60,1.768606
61,1.766552
62,1.768967
63,1.777603
64,1.780792
65,1.772146
66,1.776787
67,1.778579
68,1.80875
69,1.787591
70,1.793099
71,1.785921
72,1.789927
73,1.785544
74,1.794727
75,1.793201
76,1.793536
77,1.794197
78,1.795512
79,1.795725
80,1.807068
81,1.795996
82,1.800095
83,1.814689
84,1.816024
85,1.811184
86,1.798358
87,1.805711
88,1.807565
89,1.821693
90,1.813583
91,1.825109
92,1.835907
93,1.815362
94,1.809913
95,1.821952
96,1.820569
97,1.816558
98,1.809068
99,1.811559
100,1.817694
101,1.816972
102,1.812503
103,1.816374
104,1.810491
105,1.815336
106,1.806879
107,1.802013
108,1.811889
109,1.818648
110,1.808211
111,1.805215
112,1.8009
113,1.811454
114,1.805595
115,1.812218
116,1.811374
117,1.816764
118,1.820204
119,1.812356
120,1.818409
121,1.824483
122,1.811592
123,1.812229
124,1.81651
125,1.817221
126,1.808822
127,1.822255
128,1.820823
129,1.821277
130,1.826055
131,1.830769
132,1.833071
133,1.831063
134,1.833296
135,1.863074
136,1.87778
137,1.892014
138,1.859529
139,1.847839
140,1.847186
141,1.842127
142,1.839083
143,1.844879
144,1.862537
145,1.855995
146,1.850764
147,1.847167
148,1.851436
149,1.85912
150,1.854486
151,1.85707
152,1.857139
153,1.868606
154,1.862577
155,1.870999
156,1.861948
157,1.865911
158,1.856016
159,1.856673
160,1.865445
161,1.858561
162,1.855477
163,1.859714
164,1.861318
165,1.859267
166,1.85576
167,1.858715
168,1.860305
169,1.863141
170,1.856372
171,1.877071
172,1.877511
173,1.858957
174,1.85444
175,1.854424
176,1.85881
177,1.857878
178,1.861351
179,1.853514
180,1.85248
181,1.854214
182,1.852054
183,1.849466
184,1.850679
185,1.853963
186,1.8582
187,1.860154
188,1.85708
189,1.85395
190,1.848114
191,1.847571
192,1.85012
193,1.854128
194,1.858992
195,1.872336
196,1.874874
197,1.862816
198,1.861971
199,1.857955
200,1.852237
201,1.852489
202,1.85094
203,1.856949
204,1.85533
205,1.857608
206,1.854027
207,1.864459
208,1.849376
209,1.85024
210,1.853303
211,1.863131
212,1.857038
213,1.856043
214,1.850439
215,1.847406
216,1.84952
217,1.853788
218,1.850832
219,1.847951
220,1.846704
221,1.846838
222,1.845744
223,1.844111
224,1.842974
225,1.843755
226,1.840149
227,1.848338
228,1.849603
229,1.84818
230,1.845507
231,1.840107
232,1.855353
233,1.852297
234,1.838072
235,1.841074
236,1.847659
237,1.846968
238,1.845885
239,1.84119
240,1.841548
241,1.844416
242,1.845155
243,1.844932
244,1.847039
245,1.838853
246,1.837121
247,1.841887
248,1.840997
249,1.84162
250,1.836956
251,1.832728
252,1.835487
253,1.839162
254,1.843406
255,1.841624
256,1.839512
257,1.832129
258,1.831457
259,1.830162
260,1.83213
261,1.834334
262,1.829345
263,1.831993
264,1.832555
265,1.829066
266,1.828949
267,1.830189
268,1.830852
269,1.826268
270,1.82226
271,1.823742
272,1.826998
273,1.822667
274,1.827542
275,1.818407
276,1.817152
277,1.821497
278,1.823303
279,1.816223
280,1.819025
281,1.812545
282,1.807093
283,1.806151
284,1.809225
285,1.807089
286,1.806627
287,1.801872
288,1.802602
289,1.80035
290,1.807368
291,1.804348
292,1.805023
293,1.806858
294,1.802499
295,1.801742
296,1.794418
297,1.791856
298,1.789568
299,1.788837
300,1.793368
301,1.793385
302,1.781792
303,1.784152
304,1.783752
305,1.780979
306,1.782124
307,1.785024
308,1.779653
309,1.776413
310,1.779083
311,1.773827
312,1.773345
313,1.774922
314,1.778866
315,1.776448
316,1.765585
317,1.764627
318,1.768485
319,1.768257
320,1.769737
321,1.766999
322,1.764937
323,1.763249
324,1.75837
325,1.758986
326,1.762329
327,1.763603
328,1.770666
329,1.768953
330,1.772522
331,1.766409
332,1.755218
333,1.750862
334,1.750289
335,1.753671
336,1.750623
337,1.751255
338,1.748244
339,1.745359
340,1.750879
341,1.744789
342,1.741107
343,1.738762
344,1.737338
345,1.736045
346,1.738502
347,1.742315
348,1.741071
349,1.741657
350,1.747277
351,1.753183
352,1.744671
353,1.741338
354,1.738433
355,1.733695
356,1.735137
357,1.740284
358,1.738579
359,1.729863
360,1.732563
361,1.733984
362,1.735969
363,1.729728
364,1.726618
365,1.727501
366,1.731054
367,1.738918
368,1.733413
369,1.733246
370,1.728923
371,1.729965
372,1.730257
373,1.726452
374,1.726923
375,1.727982
376,1.732001
377,1.730658
378,1.731965
379,1.73381
380,1.734195
381,1.733532
382,1.7345
383,1.734634
384,1.734505
385,1.731595
386,1.731333
387,1.731634
388,1.733212
389,1.735224
390,1.726299
391,1.727217
392,1.727721
393,1.726203
394,1.725053
395,1.723148
396,1.722964
397,1.721359
398,1.720596
399,1.718921
400,1.723375
401,1.724204
402,1.725318
403,1.719562
404,1.72624
405,1.723159
406,1.725529
407,1.726731
408,1.724589
409,1.723452
410,1.719442
411,1.714134
412,1.713576
413,1.712983
414,1.719159
415,1.715054
416,1.712061
417,1.711722
418,1.712641
419,1.710764
420,1.717557
421,1.712235
422,1.711834
423,1.711359
424,1.709399
425,1.703452
426,1.701577
427,1.70347
428,1.698004
429,1.697051
430,1.698991
431,1.698736
432,1.705413
433,1.70736
434,1.705968
435,1.698114
436,1.698801
437,1.696105
438,1.693879
439,1.692989
440,1.690549
441,1.687372
442,1.686441
443,1.688627
444,1.694325
445,1.682402
446,1.687775
447,1.694327
448,1.692159
449,1.686925
450,1.684973
451,1.68239
452,1.683081
453,1.676537
454,1.676449
455,1.679866
456,1.67985
457,1.677123
458,1.674681
459,1.674551
460,1.672831
461,1.669527
462,1.67074
463,1.671868
464,1.672147
465,1.668866
466,1.665061
467,1.669824
468,1.663806
469,1.665856
470,1.662372
471,1.664145
472,1.6661
473,1.667028
474,1.664093
475,1.66039
476,1.666331
477,1.667149
478,1.668124
479,1.66993
480,1.668923
481,1.668094
482,1.667465
483,1.669851
484,1.667759
485,1.665063
486,1.670537
487,1.664363
488,1.664633
489,1.666761
490,1.669731
491,1.667379
492,1.664336
493,1.666342
494,1.667606
495,1.66661
496,1.669939
497,1.670782
498,1.671232
499,1.669514
500,1.670556
501,1.672423
502,1.674656
503,1.670003
504,1.671773
505,1.673314
506,1.671677
507,1.666378
508,1.66711
509,1.672075
510,1.670496
511,1.674901
512,1.668494
513,1.669215
514,1.675235
515,1.671723
516,1.67516
517,1.672851
518,1.674168
519,1.67183
520,1.669465
521,1.670028
522,1.673101
523,1.671631
524,1.671339
525,1.671128
526,1.671278
527,1.671615
528,1.670618
529,1.675697
530,1.67459
531,1.67069
532,1.670411
533,1.668727
534,1.667374
535,1.668184
536,1.667904
537,1.671049
538,1.677164
539,1.671877
540,1.670289
541,1.678237
542,1.676639
543,1.672265
544,1.672997
545,1.670269
546,1.678626
547,1.674286
548,1.675499
549,1.680333
550,1.684195
551,1.691037
552,1.686724
553,1.681122
554,1.676955
555,1.679091
556,1.678535
557,1.68215
558,1.6805
559,1.678275
560,1.677969
561,1.678931
562,1.681348
563,1.68392
564,1.682272
565,1.689995
566,1.693439
567,1.690165
568,1.688511
569,1.691564
570,1.690864
571,1.69147
572,1.690943
573,1.692529
574,1.694773
575,1.693846
576,1.699689
577,1.695989
578,1.698182
579,1.695696
580,1.698754
581,1.700148
582,1.706385
583,1.708267
584,1.703919
585,1.704503
586,1.706724
587,1.706131
588,1.706996
589,1.712797
590,1.713284
591,1.712353
592,1.711058
593,1.706227
594,1.710426
595,1.717377
596,1.716375
597,1.713385
598,1.711649
599,1.710413
600,1.722299
601,1.727705
602,1.723975
603,1.714954
604,1.71571
605,1.719674
606,1.714017
607,1.725237
608,1.730846
609,1.724076
610,1.722779
611,1.716483
612,1.716822
613,1.718365
614,1.727306
615,1.724561
616,1.725885
617,1.718101
618,1.715484
619,1.719214
620,1.72435
621,1.727208
622,1.716466
623,1.716225
624,1.717002
625,1.719511
626,1.722537
627,1.716806
628,1.716044
629,1.721514
630,1.719685
631,1.714778
632,1.719584
633,1.72404
634,1.72418
635,1.722221
636,1.715664
637,1.714222
638,1.716093
639,1.716537
640,1.712122
641,1.713508
642,1.717735
643,1.723331
644,1.723865
645,1.716316
646,1.715502
647,1.715617
648,1.7176
649,1.714815
650,1.717001
651,1.720732
652,1.714149
653,1.717466
654,1.716531
655,1.715302
656,1.710766
657,1.712542
658,1.710586
659,1.714739
660,1.717722
661,1.718142
662,1.723667
663,1.722526
664,1.722619
665,1.722925
666,1.722344
667,1.72283
668,1.717497
669,1.719449
670,1.718788
671,1.717879
672,1.716086
673,1.715732
674,1.717285
675,1.724183
676,1.721624
677,1.721392
678,1.720792
679,1.718527
680,1.718397
681,1.720617
682,1.721284
683,1.724443
684,1.725306
685,1.72687
686,1.731447
