round,value
0,3.757904
1,3.678452
2,3.652976
3,3.636071
4,3.607969
5,3.590436
6,3.57539
7,3.560793
8,3.529249
9,3.515686
10,3.49037
11,3.478776
12,3.45634
13,3.448898
14,3.434312
15,3.406308
16,3.388011
17,3.382144
18,3.360036
19,3.342224
20,3.319905
21,3.309286
22,3.29803
23,3.284321
24,3.26545
25,3.258361
26,3.24568
27,3.223575
28,3.210665
29,3.206696
30,3.181903
31,3.185312
32,3.154053
33,3.136748
34,3.13437
35,3.139812
36,3.111957
37,3.107184
38,3.078328
39,3.072103
40,3.053599
41,3.040485
42,3.036226
43,3.024212
44,3.009668
45,3.001463
46,2.98467
47,2.978815
48,2.964195
49,2.958232
50,2.945215
51,2.941129
52,2.925753
53,2.911507
54,2.906155
55,2.900692
56,2.886943
57,2.885267
58,2.863737
59,2.863268
60,2.848458
61,2.839721
62,2.831573
63,2.841151
64,2.817006
65,2.814128
66,2.802135
67,2.79058
68,2.784511
69,2.771985
70,2.77353
71,2.756509
72,2.753382
73,2.740312
74,2.750589
75,2.729638
76,2.718812
77,2.708608
78,2.707893
79,2.695573
80,2.689068
81,2.686529
82,2.682362
83,2.671996
84,2.667867
85,2.663398
86,2.648952
87,2.644155
88,2.647113
89,2.633553
90,2.627306
91,2.618582
92,2.619314
93,2.607705
94,2.604711
95,2.595413
96,2.588982
97,2.585383
98,2.580352
99,2.58204
100,2.570272
101,2.559927
102,2.554427
103,2.560789
104,2.552426
105,2.542582
106,2.53816
107,2.538263
108,2.526447
109,2.521027
110,2.522642
111,2.51026
112,2.506036
113,2.507717
114,2.511898
115,2.49652
116,2.492746
117,2.480337
118,2.482914
119,2.474535
120,2.473478
121,2.463351
122,2.46592
123,2.455031
124,2.457498
125,2.459314
126,2.445575
127,2.442261
128,2.437475
129,2.44308
130,2.431649
131,2.429199
132,2.419079
133,2.416455
134,2.41277
135,2.409679
136,2.404023
137,2.402814
138,2.397025
139,2.394321
140,2.390707
141,2.38332
142,2.40244
143,2.380169
144,2.374251
145,2.370875
146,2.366434
147,2.364066
148,2.363813
149,2.359025
150,2.351779
151,2.352227
152,2.347038
153,2.348968
154,2.340164
155,2.337989
156,2.337899
157,2.339211
158,2.341053
159,2.33061
160,2.329923
161,2.325202
162,2.319772
163,2.312553
164,2.311403
165,2.311138
166,2.307428
167,2.300769
168,2.297585
169,2.30086
170,2.298475
171,2.292378
172,2.283862
173,2.290057
174,2.288787
175,2.277866
176,2.282484
177,2.269717
178,2.269371
179,2.2789
180,2.271804
181,2.262589
182,2.263129
183,2.257656
184,2.260781
185,2.250363
186,2.260582
187,2.24865
188,2.252426
189,2.240895
190,2.245958
191,2.249061
192,2.244691
193,2.239287
194,2.229384
195,2.226754
196,2.225845
197,2.225086
198,2.221937
199,2.222929
200,2.217857
201,2.212645
202,2.212668
203,2.21675
204,2.207431
205,2.203442
206,2.203467
207,2.199746
208,2.200638
209,2.203671
210,2.203201
211,2.190233
212,2.190135
213,2.19299
214,2.190411
215,2.190222
216,2.179542
217,2.180515
218,2.17714
219,2.173189
220,2.173395
221,2.170727
222,2.178263
223,2.169212
224,2.167925
225,2.160974
226,2.162015
227,2.161978
228,2.161739
229,2.155666
230,2.156805
231,2.151411
232,2.153738
233,2.158595
234,2.155346
235,2.143899
236,2.149208
237,2.141152
238,2.136566
239,2.140458
240,2.136187
241,2.134944
242,2.131812
243,2.130874
244,2.135808
245,2.132147
246,2.131588
247,2.13093
248,2.130391
249,2.134553
250,2.121182
251,2.125557
252,2.11813
253,2.115446
254,2.112258
255,2.119499
256,2.110286
257,2.111287
258,2.10681
259,2.108389
260,2.117407
261,2.107319
262,2.098533
263,2.095566
264,2.102657
265,2.098016
266,2.096033
267,2.098638
268,2.091187
269,2.087026
270,2.089969
271,2.099479
272,2.084348
273,2.082287
274,2.083725
275,2.080496
276,2.079294
277,2.075622
278,2.081541
279,2.077066
280,2.077756
281,2.072812
282,2.075439
283,2.068868
284,2.07072
285,2.071746
286,2.067626
287,2.063397
288,2.063146
289,2.064632
290,2.05792
291,2.056848
292,2.066816
293,2.060611
294,2.060589
295,2.057357
296,2.051965
297,2.056165
298,2.058806
299,2.049326
300,2.048344
301,2.047205
302,2.046158
303,2.041458
304,2.047551
305,2.042573
306,2.04187
307,2.045449
308,2.04065
309,2.038624
310,2.034912
311,2.041789
312,2.035803
313,2.033712
314,2.027809
315,2.034909
316,2.034669
317,2.03336
318,2.025324
319,2.030219
320,2.028808
321,2.027862
322,2.021552
323,2.022486
324,2.028806
325,2.018667
326,2.018234
327,2.015915
328,2.016816
329,2.017098
330,2.010679
331,2.010196
332,2.012724
333,2.010305
334,2.007305
335,2.005466
336,2.009344
337,2.015725
338,2.004556
339,2.003682
340,2.004871
341,2.004909
342,2.001163
343,2.006049
344,1.996752
345,1.994467
346,1.995706
347,2.0003
348,1.994042
349,1.991839
350,1.991898
351,1.988629
352,1.989703
353,1.996892
354,1.987959
355,1.989278
356,1.991269
357,1.988805
358,1.986894
359,1.988156
360,1.993497
361,1.987975
362,1.977847
363,1.979412
364,1.98132
365,1.976667
366,1.974983
367,1.981353
368,1.984438
369,1.975634
370,1.975241
371,1.973741
372,1.976745
373,1.971408
374,1.969479
375,1.969829
376,1.97876
377,1.967398
378,1.969458
379,1.967166
380,1.96749
381,1.964088
382,1.965215
383,1.960705
384,1.966785
385,1.966817
386,1.966137
387,1.961202
388,1.9595
389,1.954849
390,1.959231
391,1.957516
392,1.955303
393,1.956746
394,1.952585
395,1.955039
396,1.949507
397,1.951686
398,1.949472
399,1.952038
400,1.947133
401,1.951476
402,1.951372
403,1.948006
404,1.945991
405,1.945146
406,1.945902
407,1.941253
408,1.945472
409,1.948533
410,1.939652
411,1.940059
412,1.943295
413,1.939451
414,1.941338
415,1.938756
416,1.941869
417,1.93709
418,1.936551
419,1.934238
420,1.934495
421,1.935125
422,1.932758
423,1.933127
424,1.933518
425,1.930274
426,1.932674
427,1.927767
428,1.934685
429,1.929863
430,1.927594
431,1.926052
432,1.923523
433,1.924908
