round,value
0,3.704976
1,3.658416
2,3.582585
3,3.485465
4,3.418613
5,3.382322
6,3.318866
7,3.28999
8,3.246123
9,3.154952
10,3.112897
11,3.043956
12,3.038693
13,2.980043
14,2.968892
15,2.855695
16,2.866157
17,2.783457
18,2.776849
19,2.71622
20,2.665056
21,2.658107
22,2.641
23,2.5803
24,2.538827
25,2.49651
26,2.472351
27,2.431873
28,2.419675
29,2.396105
30,2.377963
31,2.33678
32,2.341801
33,2.307203
34,2.256714
35,2.248491
36,2.221682
37,2.221213
38,2.18241
39,2.168741
40,2.155204
41,2.331303
42,2.397124
43,2.146274
44,2.133782
45,2.072202
46,2.068595
47,2.055806
48,2.041977
49,2.076567
50,2.084875
51,1.988257
52,2.105488
53,2.137756
54,1.948928
55,1.941519
56,1.9465
57,1.930059
58,1.918189
59,1.91293
60,1.983054
61,1.966353
62,1.935663
63,1.921029
64,1.880023
65,1.875755
66,1.944008
67,1.888395
68,1.838174
69,1.838526
70,1.837031
71,1.849036
72,1.887916
73,1.839054
74,1.807366
75,1.785264
76,1.762021
77,1.74446
78,1.728256
79,1.733078
80,1.726779
81,1.787781
82,1.79248
83,1.743837
84,1.740424
85,1.715806
86,1.727243
87,1.705368
88,1.682164
89,1.684291
90,1.729507
91,1.68713
92,1.683598
93,1.654016
94,1.652707
95,1.64611
96,1.666528
97,1.673213
98,1.636293
99,1.651847
100,1.643683
101,1.654069
102,1.6786
103,1.875842
104,1.671872
105,1.669475
106,1.641268
107,1.588953
108,1.59385
109,1.588614
110,1.590408
111,1.587876
112,1.594276
113,1.636069
114,1.676177
115,1.630488
116,1.54838
117,1.60995
118,1.6299
119,1.613807
120,1.635596
121,1.65553
122,1.717681
123,1.607047
124,1.566247
125,1.541268
126,1.52504
127,1.55635
128,1.575347
129,1.649895
130,1.680195
131,1.573758
132,1.557734
133,1.675365
134,1.738529
135,1.6373
136,1.642529
137,1.787607
138,1.829116
139,1.50133
140,1.509717
141,1.552515
142,1.575318
143,1.607867
144,1.694053
145,1.553528
146,1.571056
147,1.634569
148,1.663953
149,1.562704
150,1.5681
151,1.546832
152,1.534234
153,1.45537
154,1.445355
155,1.443003
156,1.473639
157,1.448616
158,1.483936
159,1.52561
160,1.5549
161,1.667406
162,1.421572
163,1.454861
164,1.423031
165,1.40825
166,1.439739
167,1.493238
168,1.463172
169,1.461872
170,1.477276
171,1.518342
172,1.545585
173,1.549708
174,1.448713
175,1.448755
176,1.433853
177,1.411152
178,1.41714
179,1.406423
180,1.43888
181,1.593049
182,1.660869
183,1.531151
184,1.525245
185,1.37666
186,1.413356
187,1.46377
188,1.440948
189,1.409864
190,1.437098
191,1.413251
192,1.428721
193,1.488905
194,1.52557
195,1.369948
196,1.404704
197,1.423044
198,1.418613
199,1.443817
200,1.427549
201,1.434827
202,1.349567
203,1.354502
204,1.356747
205,1.374073
206,1.425626
207,1.435184
208,1.453663
209,1.461632
210,1.588923
211,1.704012
212,1.737654
213,1.694282
214,1.750289
215,1.361051
216,1.390874
217,1.352966
218,1.347078
219,1.393489
220,1.42823
221,1.442624
222,1.474734
223,1.358467
224,1.325521
225,1.34503
226,1.354012
227,1.464817
228,1.463635
229,1.72819
230,1.8989
231,1.49492
232,1.538328
233,1.324953
234,1.350376
235,1.434234
236,1.441382
237,1.466738
238,1.376044
239,1.345955
240,1.310441
241,1.332678
242,1.344939
243,1.372681
244,1.389685
245,1.462987
246,1.469078
247,1.428799
248,1.340067
249,1.370036
250,1.417201
251,1.367932
252,1.336676
253,1.343198
254,1.43335
255,1.540362
256,1.560809
257,1.578032
258,1.506229
259,1.484601
260,1.305965
261,1.30896
262,1.306564
263,1.30894
264,1.341713
265,1.509782
266,1.597288
267,1.472164
268,1.540746
269,1.508337
270,1.592415
271,1.4445
272,1.4816
273,1.324115
274,1.368745
275,1.33212
276,1.299244
277,1.404362
278,1.54619
279,1.332994
280,1.307445
281,1.315061
282,1.399891
283,1.275333
284,1.356006
285,1.421945
286,1.502301
287,1.523158
288,1.350141
289,1.355111
290,1.365282
291,1.458931
292,1.512681
293,1.540691
294,1.433964
295,1.489061
296,1.35649
297,1.430889
298,1.299474
299,1.284092
300,1.259358
301,1.264835
302,1.279815
303,1.281008
304,1.348072
305,1.427786
306,1.753114
307,1.765794
308,1.269578
309,1.271744
310,1.267197
311,1.2632
312,1.329604
313,1.3694
314,1.283845
315,1.315995
316,1.341439
317,1.48173
318,1.537799
319,1.309647
320,1.367191
321,1.253501
322,1.276702
323,1.316105
324,1.351706
325,1.245033
326,1.252523
327,1.300952
328,1.331029
329,1.30587
330,1.279109
331,1.256846
332,1.383416
333,1.476208
334,1.388642
335,1.44593
336,1.593612
337,1.584879
338,1.263122
339,1.309223
340,1.415359
341,1.442775
342,1.495154
343,1.583101
344,1.624724
345,1.608894
346,1.241983
347,1.303912
348,1.569544
349,1.491135
350,1.236076
351,1.269808
352,1.509469
353,1.434886
354,1.243973
355,1.299609
356,1.661011
357,1.427198
358,1.286734
359,1.495274
360,1.594876
361,1.300887
362,1.35768
363,1.311703
364,1.364305
365,1.258004
366,1.291668
367,1.259183
368,1.269458
369,1.260205
370,1.326378
371,1.441834
372,1.53464
373,1.573629
374,1.542892
375,1.535975
376,1.319316
377,1.329802
378,1.391263
379,1.47702
380,1.230335
381,1.236929
382,1.312125
383,1.405987
