round,value
0,3.716742
1,3.693385
2,3.6695
3,3.656395
4,3.641654
5,3.625369
6,3.611545
7,3.598493
8,3.58462
9,3.570515
10,3.55734
11,3.54581
12,3.534804
13,3.520511
14,3.507217
15,3.499787
16,3.485943
17,3.47109
18,3.456581
19,3.442684
20,3.430163
21,3.42
22,3.409202
23,3.396817
24,3.385365
25,3.374157
26,3.364583
27,3.354442
28,3.339453
29,3.331568
30,3.317825
31,3.307438
32,3.298127
33,3.285214
34,3.278062
35,3.267906
36,3.255321
37,3.242837
38,3.233895
39,3.224795
40,3.213417
41,3.204866
42,3.194904
43,3.184983
44,3.174984
45,3.16709
46,3.157581
47,3.145895
48,3.136924
49,3.129751
50,3.120132
51,3.11239
52,3.102686
53,3.090311
54,3.081858
55,3.073712
56,3.069266
57,3.058187
58,3.048649
59,3.04066
60,3.032785
61,3.027325
62,3.01677
63,3.006675
64,3.001566
65,2.993366
66,2.982215
67,2.974584
68,2.9672
69,2.960941
70,2.950788
71,2.943073
72,2.93867
73,2.930638
74,2.921176
75,2.913956
76,2.906979
77,2.899904
78,2.891998
79,2.885834
80,2.878468
81,2.871687
82,2.865314
83,2.863031
84,2.850482
85,2.843965
86,2.838025
87,2.832008
88,2.82691
89,2.819493
90,2.81284
91,2.806871
92,2.799811
93,2.792463
94,2.786498
95,2.77965
96,2.773863
97,2.767873
98,2.76207
99,2.755704
100,2.749023
101,2.743923
102,2.737851
103,2.732985
104,2.728463
105,2.719863
106,2.714147
107,2.70954
108,2.7047
109,2.698655
110,2.692927
111,2.688658
112,2.68356
113,2.676997
114,2.671475
115,2.667112
116,2.660692
117,2.655118
118,2.64985
119,2.646532
120,2.641377
121,2.635501
122,2.630557
123,2.626086
124,2.621294
125,2.616459
126,2.611059
127,2.60479
128,2.603919
129,2.599033
130,2.591942
131,2.586996
132,2.581779
133,2.578019
134,2.573486
135,2.570284
136,2.565495
137,2.559781
138,2.556881
139,2.551602
140,2.548942
141,2.542231
142,2.537632
143,2.53422
144,2.528694
145,2.525265
146,2.522334
147,2.517088
148,2.515077
149,2.515631
150,2.507862
151,2.500698
152,2.498618
153,2.495793
154,2.489371
155,2.485606
156,2.481112
157,2.477165
158,2.473016
159,2.46857
160,2.465641
161,2.463245
162,2.461309
163,2.455191
164,2.451168
165,2.448671
166,2.445853
167,2.442818
168,2.435919
169,2.433882
170,2.431374
171,2.425958
172,2.422349
173,2.419243
174,2.416827
175,2.413259
176,2.409879
177,2.404948
178,2.401492
179,2.398551
180,2.397043
181,2.391559
182,2.388259
183,2.385265
184,2.382709
185,2.379046
186,2.375968
187,2.372091
188,2.369786
189,2.365972
190,2.364587
191,2.360803
192,2.358855
193,2.354582
194,2.351175
195,2.347758
196,2.344284
197,2.343726
198,2.338857
199,2.335354
200,2.335015
201,2.3302
202,2.325219
203,2.323048
204,2.321923
205,2.318288
206,2.315049
207,2.31134
208,2.308811
209,2.305752
210,2.303257
211,2.300071
212,2.299048
213,2.295924
214,2.29341
215,2.289912
216,2.285791
217,2.283981
218,2.281126
219,2.281038
220,2.276932
221,2.2751
222,2.271467
223,2.26905
224,2.265296
225,2.262879
226,2.261939
227,2.259053
228,2.255107
229,2.250615
230,2.250905
231,2.249717
232,2.246289
233,2.243113
234,2.23871
235,2.236575
236,2.233047
237,2.231797
238,2.228303
239,2.228015
240,2.227432
241,2.225473
242,2.220301
243,2.219595
244,2.217842
245,2.211419
246,2.207693
247,2.207707
248,2.207918
249,2.203374
250,2.199366
251,2.196831
252,2.193365
253,2.18978
254,2.188354
255,2.186399
256,2.186099
257,2.180172
258,2.179448
259,2.178864
260,2.175898
261,2.172355
262,2.169561
263,2.165885
264,2.16323
265,2.163328
266,2.163249
267,2.157008
268,2.156569
269,2.153627
270,2.151135
271,2.149443
272,2.145886
273,2.146087
274,2.14308
275,2.138974
276,2.136963
277,2.134282
278,2.132581
279,2.132367
280,2.12871
281,2.12604
282,2.125828
283,2.122705
284,2.116964
285,2.114609
286,2.120506
287,2.112831
288,2.108762
289,2.110219
290,2.104905
291,2.107302
292,2.099726
293,2.096595
294,2.095808
295,2.094376
296,2.089866
297,2.08666
298,2.088
