round,value
0,3.703184
1,3.636182
2,3.640566
3,3.579859
4,3.469652
5,3.424003
6,3.382691
7,3.365729
8,3.302347
9,3.264413
10,3.270485
11,3.173689
12,3.154799
13,3.112024
14,3.092635
15,3.050223
16,3.039778
17,2.989098
18,2.958754
19,2.941352
20,2.905286
21,2.90216
22,2.848925
23,2.813044
24,2.778899
25,2.765666
26,2.6934
27,2.724433
28,2.680923
29,2.661305
30,2.621106
31,2.634199
32,2.597286
33,2.561681
34,2.545578
35,2.524124
36,2.525389
37,2.524574
38,2.508179
39,2.465877
40,2.450835
41,2.415161
42,2.421292
43,2.411515
44,2.381466
45,2.383528
46,2.36043
47,2.370693
48,2.333575
49,2.329967
50,2.297504
51,2.305647
52,2.276017
53,2.25847
54,2.257267
55,2.267655
56,2.261569
57,2.224617
58,2.233188
59,2.222481
60,2.214813
61,2.209878
62,2.144549
63,2.168827
64,2.142745
65,2.135416
66,2.15768
67,2.114503
68,2.106401
69,2.129889
70,2.11343
71,2.085676
72,2.075534
73,2.099722
74,2.07262
75,2.050061
76,2.065179
77,2.050833
78,2.014785
79,2.027784
80,2.020909
81,2.029689
82,1.984383
83,1.984831
84,1.985092
85,1.990284
86,1.959806
87,1.970251
88,1.992023
89,2.030006
90,1.934812
91,1.92777
92,1.923596
93,1.963489
94,1.962538
95,1.925164
96,1.90805
97,1.911486
98,1.907549
99,1.893193
100,1.886457
101,1.905251
102,1.925091
103,1.871546
104,1.876925
105,1.862043
106,1.875398
107,1.869617
108,1.846092
109,1.879593
110,1.843475
111,1.84715
112,1.880568
113,1.822895
114,1.835198
115,1.80815
116,1.810895
117,1.792919
118,1.802054
119,1.799531
120,1.798306
121,1.786432
122,1.834871
123,1.803034
124,1.785018
125,1.761842
126,1.782796
127,1.775578
128,1.798475
129,1.757887
130,1.746305
131,1.772206
132,1.732544
133,1.744981
134,1.750604
135,1.747226
136,1.761727
137,1.727398
138,1.741243
139,1.741246
140,1.718915
141,1.719022
142,1.728319
143,1.756114
144,1.718026
145,1.694301
146,1.70059
147,1.756748
148,1.696713
149,1.722478
150,1.702589
151,1.683167
152,1.693076
153,1.690787
154,1.673533
155,1.672697
156,1.68315
157,1.67979
158,1.725406
159,1.668854
160,1.691382
161,1.658786
162,1.669078
163,1.661455
164,1.655579
165,1.707219
166,1.654547
167,1.634785
168,1.658371
169,1.662741
170,1.635106
171,1.667597
172,1.621089
173,1.626578
174,1.635805
175,1.684485
176,1.659361
177,1.613382
178,1.628951
179,1.644547
180,1.631648
181,1.606457
182,1.635361
183,1.604297
184,1.59781
185,1.612672
186,1.604419
187,1.59018
188,1.616553
189,1.602589
190,1.595473
191,1.599277
192,1.59862
193,1.585787
194,1.615397
195,1.641757
196,1.596737
197,1.561711
198,1.588154
199,1.562762
200,1.570959
201,1.586772
202,1.570488
203,1.572373
204,1.570194
205,1.594547
206,1.58503
207,1.558816
208,1.553606
209,1.562397
210,1.547282
211,1.558171
212,1.5748
213,1.556861
214,1.537577
215,1.546749
216,1.553455
217,1.558745
218,1.526113
219,1.533936
220,1.550357
221,1.533896
222,1.543196
223,1.55016
224,1.529066
225,1.532094
226,1.5225
227,1.519665
228,1.511146
229,1.522034
230,1.542353
231,1.528328
232,1.547796
233,1.520926
234,1.52062
235,1.528738
236,1.540922
237,1.503919
238,1.511495
239,1.548248
240,1.564248
241,1.488297
242,1.521899
243,1.514476
244,1.512089
245,1.525679
246,1.510524
247,1.520781
248,1.492214
249,1.490301
250,1.48743
251,1.479653
252,1.498974
253,1.504078
254,1.48951
255,1.493057
256,1.486729
257,1.481767
258,1.498762
259,1.478978
260,1.478123
261,1.475749
262,1.509417
263,1.473551
264,1.529047
265,1.467165
266,1.491489
267,1.476706
268,1.486763
269,1.462815
270,1.480696
271,1.463476
272,1.483354
273,1.49389
274,1.478115
275,1.524642
276,1.471349
277,1.467608
278,1.463123
279,1.454271
280,1.465317
281,1.457099
282,1.455178
283,1.478013
284,1.462454
285,1.442511
286,1.435376
287,1.444662
288,1.44717
289,1.465338
290,1.452704
291,1.447436
292,1.471308
293,1.427009
294,1.430585
295,1.455524
296,1.48126
297,1.509104
298,1.448067
299,1.424614
300,1.423101
301,1.422162
302,1.445099
303,1.497845
304,1.431416
305,1.430513
306,1.430249
307,1.456712
308,1.441591
309,1.430534
310,1.41383
311,1.413574
312,1.433136
313,1.425179
314,1.463011
315,1.421153
316,1.422216
317,1.424218
318,1.483024
319,1.426617
320,1.415813
321,1.401382
322,1.418074
323,1.413668
324,1.417442
325,1.424332
326,1.416131
327,1.408828
328,1.426042
329,1.412944
330,1.400503
331,1.445342
332,1.398904
333,1.419316
334,1.410022
335,1.402386
336,1.414172
337,1.388102
338,1.409266
339,1.398264
340,1.395301
341,1.377806
342,1.394515
343,1.409256
344,1.383171
345,1.386262
346,1.405761
347,1.450796
348,1.399683
349,1.388079
350,1.392113
351,1.374983
352,1.406145
353,1.405051
354,1.386646
355,1.386845
356,1.384402
357,1.397908
358,1.409371
359,1.377513
360,1.399757
361,1.445821
362,1.388754
363,1.394141
364,1.379462
365,1.38453
366,1.377704
367,1.379738
368,1.371329
369,1.382814
370,1.371185
371,1.361382
372,1.372879
373,1.376594
374,1.391254
375,1.365659
376,1.359644
377,1.394754
378,1.365977
379,1.369228
380,1.381851
381,1.357351
382,1.368421
383,1.363811
384,1.354628
385,1.353724
386,1.371907
387,1.377303
388,1.374151
389,1.36969
390,1.38004
391,1.375314
392,1.392874
393,1.365352
394,1.343154
395,1.374247
396,1.352476
397,1.359248
398,1.368933
399,1.355069
400,1.339553
401,1.357476
402,1.367655
403,1.357353
404,1.35625
405,1.346909
406,1.361151
407,1.372859
408,1.340461
409,1.365416
410,1.353215
411,1.358245
412,1.350032
413,1.336015
414,1.356818
415,1.330935
416,1.342758
417,1.358688
418,1.347782
419,1.351045
420,1.340666
421,1.33773
422,1.329543
423,1.35558
424,1.334105
425,1.340082
426,1.350864
427,1.358436
428,1.342592
429,1.359258
430,1.325755
431,1.326917
432,1.352831
433,1.349143
434,1.348854
435,1.35052
436,1.329943
437,1.325582
438,1.328992
439,1.338131
440,1.316395
441,1.321704
442,1.328342
443,1.336996
444,1.328915
445,1.332693
446,1.322479
447,1.326135
448,1.367322
449,1.317071
450,1.35635
451,1.315458
452,1.321034
453,1.352072
454,1.318239
455,1.317496
456,1.360013
457,1.324554
458,1.326682
459,1.320791
460,1.338248
461,1.330831
462,1.330918
463,1.33387
464,1.320046
465,1.299911
466,1.305871
467,1.309901
468,1.328699
469,1.326806
470,1.317488
471,1.302525
472,1.313344
473,1.316223
474,1.309809
475,1.321097
476,1.312737
477,1.332525
478,1.332106
479,1.344434
480,1.319693
481,1.327353
482,1.312838
483,1.322973
484,1.304576
485,1.304508
486,1.304815
487,1.304849
488,1.298767
489,1.296128
490,1.303227
491,1.315483
492,1.325777
493,1.324791
494,1.317488
495,1.293886
496,1.292974
497,1.297676
498,1.303426
499,1.317189
500,1.307911
501,1.335265
502,1.317119
503,1.314129
504,1.333375
505,1.293169
506,1.29538
507,1.297287
508,1.304156
509,1.327453
510,1.282244
511,1.291094
512,1.2985
513,1.301536
514,1.287643
515,1.296546
516,1.294011
517,1.294832
518,1.312171
519,1.306092
520,1.275061
521,1.287457
522,1.290684
523,1.299329
524,1.295924
525,1.285863
526,1.281696
527,1.302079
528,1.285981
529,1.27935
530,1.28943
531,1.299329
532,1.30998
533,1.275304
534,1.298093
535,1.290159
536,1.287851
537,1.286141
538,1.296823
539,1.293926
540,1.291498
541,1.291502
542,1.284069
543,1.287701
544,1.291473
545,1.337993
546,1.289961
547,1.28613
548,1.268451
549,1.276671
550,1.301308
551,1.275022
552,1.273647
553,1.284867
554,1.295502
555,1.27322
556,1.267742
557,1.279716
558,1.260086
559,1.284347
560,1.275813
561,1.29063
562,1.284448
563,1.268803
564,1.265377
565,1.271708
566,1.256114
567,1.263173
568,1.300904
569,1.266456
570,1.266456
571,1.264092
572,1.280191
573,1.279544
574,1.266942
575,1.28826
576,1.267134
577,1.26171
578,1.273947
579,1.28516
580,1.281217
581,1.265802
582,1.263603
583,1.279137
584,1.267529
585,1.268956
586,1.268192
587,1.280406
588,1.26516
589,1.286987
590,1.266601
591,1.257622
592,1.276281
593,1.257501
594,1.250172
595,1.273512
596,1.268944
597,1.289528
598,1.264956
599,1.288872
600,1.274564
601,1.255558
602,1.269191
603,1.266054
604,1.26429
605,1.265842
606,1.282419
607,1.256201
