round,value
0,3.717442
1,3.69307
2,3.665135
3,3.651493
4,3.633758
5,3.618649
6,3.605747
7,3.590579
8,3.575889
9,3.564751
10,3.550449
11,3.535802
12,3.52331
13,3.511801
14,3.49734
15,3.48489
16,3.472231
17,3.45912
18,3.447629
19,3.435537
20,3.423961
21,3.412876
22,3.40115
23,3.38841
24,3.377172
25,3.365744
26,3.353955
27,3.342108
28,3.331184
29,3.320704
30,3.309594
31,3.298241
32,3.287081
33,3.277457
34,3.266633
35,3.25582
36,3.245342
37,3.235291
38,3.224905
39,3.214464
40,3.204917
41,3.195344
42,3.185157
43,3.176431
44,3.165764
45,3.156567
46,3.147387
47,3.137391
48,3.130344
49,3.119994
50,3.11003
51,3.10044
52,3.091766
53,3.082474
54,3.075247
55,3.065705
56,3.057433
57,3.048162
58,3.040258
59,3.031014
60,3.023141
61,3.014374
62,3.007735
63,2.998089
64,2.990913
65,2.982368
66,2.974769
67,2.967034
68,2.959163
69,2.951866
70,2.944072
71,2.936411
72,2.929061
73,2.921175
74,2.914452
75,2.906073
76,2.899546
77,2.892226
78,2.88498
79,2.878574
80,2.871521
81,2.864781
82,2.857521
83,2.851609
84,2.844009
85,2.837599
86,2.831017
87,2.824361
88,2.817258
89,2.810965
90,2.804679
91,2.798667
92,2.792462
93,2.786244
94,2.779969
95,2.772905
96,2.766961
97,2.761272
98,2.75522
99,2.749158
100,2.743861
101,2.738275
102,2.7318
103,2.726414
104,2.719854
105,2.714507
106,2.709378
107,2.70329
108,2.697744
109,2.691725
110,2.686579
111,2.68238
112,2.675856
113,2.670902
114,2.665541
115,2.660922
116,2.655302
117,2.649475
118,2.644693
119,2.640099
120,2.634736
121,2.629818
122,2.625419
123,2.619921
124,2.615079
125,2.609678
126,2.605177
127,2.599991
128,2.596038
129,2.591149
130,2.585939
131,2.580835
132,2.576655
133,2.572709
134,2.567691
135,2.56292
136,2.559051
137,2.55443
138,2.549698
139,2.545563
140,2.5418
141,2.537475
142,2.533589
143,2.529528
144,2.524621
145,2.520417
146,2.516078
147,2.511644
148,2.507718
149,2.503595
150,2.499566
151,2.495993
152,2.492315
153,2.487298
154,2.483704
155,2.479855
156,2.475933
157,2.471466
158,2.468998
159,2.464427
160,2.46051
161,2.457097
162,2.452739
163,2.449676
164,2.446041
165,2.44205
166,2.438809
167,2.434552
168,2.431595
169,2.427339
170,2.423877
171,2.420103
172,2.416784
173,2.413366
174,2.410204
175,2.4069
176,2.404314
177,2.400196
178,2.39715
179,2.393163
180,2.389734
181,2.386175
182,2.382804
183,2.380073
184,2.376919
185,2.373149
186,2.370908
187,2.366782
188,2.364169
189,2.360977
190,2.358216
191,2.355449
192,2.351772
193,2.349119
194,2.345442
195,2.342349
196,2.339624
197,2.336198
198,2.333304
199,2.331006
200,2.327492
201,2.32473
202,2.322375
203,2.318982
204,2.316439
205,2.313242
206,2.30978
207,2.307868
208,2.305121
209,2.301739
210,2.298744
211,2.296497
212,2.294147
213,2.291428
214,2.289483
215,2.286019
216,2.283382
217,2.280676
218,2.278402
219,2.274707
220,2.272601
221,2.269656
222,2.26765
223,2.2647
224,2.26153
225,2.259873
226,2.257535
227,2.254445
228,2.25256
229,2.249573
230,2.246788
231,2.244996
232,2.242214
233,2.239373
234,2.237257
235,2.234575
236,2.232177
237,2.230397
238,2.227206
239,2.225121
240,2.222792
241,2.220497
242,2.218463
243,2.216278
244,2.213793
245,2.212582
246,2.209523
247,2.207122
248,2.205011
249,2.202376
250,2.200567
251,2.19809
252,2.195694
253,2.193506
254,2.191406
255,2.189102
256,2.186703
257,2.18463
258,2.182278
259,2.180303
260,2.17895
261,2.176433
262,2.174403
263,2.171677
264,2.169997
265,2.168944
266,2.165613
267,2.164159
268,2.161743
269,2.159697
270,2.157852
271,2.155644
272,2.153577
273,2.151674
274,2.149444
275,2.147478
276,2.145879
277,2.144198
278,2.141492
279,2.139917
280,2.13896
281,2.13587
282,2.134605
283,2.131856
284,2.130327
285,2.127915
286,2.12607
287,2.124452
288,2.122825
289,2.12062
290,2.118811
291,2.11741
292,2.116838
293,2.113496
294,2.111417
295,2.110141
296,2.108354
297,2.106467
298,2.104437
299,2.103173
300,2.100796
301,2.098981
302,2.098609
303,2.09536
304,2.093843
305,2.092029
306,2.090802
307,2.088843
308,2.086903
309,2.085109
310,2.084072
311,2.0828
312,2.080732
313,2.078632
314,2.076861
315,2.075571
316,2.073328
317,2.07194
318,2.070192
319,2.069163
320,2.067663
321,2.065289
322,2.063464
323,2.061986
324,2.060898
325,2.058763
326,2.057331
327,2.056217
328,2.053937
329,2.0534
330,2.051377
331,2.049399
332,2.047693
333,2.046767
334,2.04479
335,2.043602
336,2.041632
337,2.04073
338,2.038636
339,2.037403
340,2.035684
341,2.034314
342,2.032683
343,2.032451
344,2.030126
345,2.028362
346,2.027039
347,2.025381
348,2.023794
349,2.02276
350,2.021326
351,2.019584
352,2.018972
353,2.016799
354,2.01548
355,2.014519
