time_sec,mean,std,n
60.0,1.9867476,0.05482762001309187,5
120.0,1.698282,0.1233079122826269,5
180.0,1.561656,0.0931895028181823,5
240.0,1.4690663999999998,0.12107426254493563,5
300.0,1.4206261999999998,0.08837543912592459,5
360.0,1.4788934,0.11293117843757766,5
420.0,1.3147502,0.05689569426327444,5
480.0,1.258826,0.06587525601847781,5
540.0,1.2689118000000001,0.11223286073026917,5
600.0,1.3545927999999998,0.17675783123301783,5
660.0,1.326919,0.16069426897216962,5
720.0,1.2197088,0.10389017408398157,5
