time_sec,value
2.6218,3.711763
3.8415,3.86581
5.0175,3.886707
6.1789,3.691469
7.3919,3.713348
8.8087,3.629885
10.794,3.481213
12.6485,3.44179
14.5193,3.35929
15.7092,3.245257
16.7038,3.195177
17.9768,3.115935
20.3227,3.012854
22.7711,2.985491
25.1392,2.912179
27.0428,2.830547
28.9865,2.781722
30.5595,2.715162
31.5491,2.652077
32.5394,2.609816
34.6983,2.558598
37.0508,2.508229
38.2953,2.471368
39.4416,2.431118
40.7176,2.398213
41.8669,2.37365
43.6678,2.329979
45.5995,2.298322
47.5191,2.266478
48.5539,2.238526
49.5382,2.212829
50.6037,2.196619
51.798,2.157158
53.0116,2.150909
54.1833,2.154068
55.3465,2.109008
56.6157,2.091065
57.9835,2.076851
59.3514,2.084158
60.7299,2.055053
61.8567,2.033398
63.5673,2.017516
65.3977,2.014217
67.2464,2.007961
68.4157,1.990039
69.3901,1.972896
70.3512,1.945508
71.5939,1.941087
72.7433,1.939401
73.8703,1.914651
75.0352,1.897503
76.1436,1.889339
77.2711,1.879089
78.3834,1.867346
79.4978,1.870285
80.6111,1.853536
81.7114,1.837429
82.8396,1.848533
84.0069,1.826097
85.8644,1.827598
87.7241,1.83789
89.5402,1.803363
90.5541,1.813775
91.5295,1.78663
92.6423,1.777731
93.8166,1.791454
94.959,1.772974
96.1765,1.768686
97.3321,1.814981
98.501,1.754451
99.8672,1.764268
101.1586,1.794887
102.2603,1.732586
103.8745,1.745547
105.735,1.779679
107.5603,1.735044
109.343,1.715671
110.3765,1.745989
111.3811,1.713345
112.7232,1.696096
114.1493,1.70118
115.5676,1.686108
116.7226,1.687271
118.0316,1.692211
119.2718,1.679912
120.54,1.672002
121.7979,1.663171
123.624,1.676167
125.4518,1.672873
127.3442,1.668002
128.75,1.652872
129.7508,1.634572
130.7532,1.644124
131.9202,1.645499
133.0539,1.634792
134.1996,1.634342
135.4067,1.633838
136.7476,1.620315
138.5896,1.620359
140.2841,1.620116
141.4207,1.607413
143.1361,1.614794
145.0585,1.607708
146.9573,1.602004
148.0832,1.598029
149.0876,1.601184
150.2199,1.598112
151.3827,1.594206
153.5239,1.604937
156.0129,1.586098
157.87,1.585206
159.7366,1.59991
161.7132,1.583053
163.6781,1.567457
164.7786,1.563467
165.854,1.568469
167.1334,1.560372
168.5229,1.551043
171.0004,1.556664
173.4419,1.544594
175.5601,1.54452
177.502,1.551912
179.4492,1.545516
180.5754,1.553455
181.5292,1.545199
182.4885,1.529641
184.8248,1.527161
187.1639,1.529798
189.6208,1.516232
191.5495,1.521784
193.4078,1.519416
195.3367,1.515569
196.3407,1.513795
197.338,1.512921
198.5519,1.513583
199.7643,1.510404
200.9387,1.502413
202.1208,1.506013
203.2937,1.493572
204.4982,1.494773
205.7012,1.508519
206.8769,1.488763
208.0392,1.486523
209.2268,1.514297
210.4011,1.494502
211.6917,1.489687
213.5428,1.49833
215.3953,1.491284
217.0929,1.486939
218.0654,1.491309
219.0539,1.497525
220.3541,1.485849
221.4754,1.469269
