time_sec,value
1.9853,3.711763
2.7497,3.672451
3.4936,3.661492
4.2136,3.640139
4.932,3.627288
5.6555,3.611561
6.3716,3.597981
7.0907,3.584361
7.8161,3.569594
8.5327,3.564105
9.2684,3.544623
9.992,3.531347
10.7094,3.518669
11.4302,3.506285
12.1552,3.492486
12.8714,3.480348
13.5919,3.466975
14.3122,3.457327
15.0334,3.444327
15.7574,3.433152
16.4781,3.421554
17.1964,3.414669
17.9194,3.398224
18.6377,3.390158
19.3408,3.37659
20.0873,3.369388
20.8288,3.351126
21.5485,3.342733
22.2758,3.333285
22.9942,3.318034
23.7173,3.307214
24.4607,3.296917
25.1812,3.28492
25.9002,3.274686
26.6368,3.26799
27.3579,3.253269
28.0953,3.249199
28.8167,3.234033
29.5351,3.228328
30.2905,3.216127
31.0301,3.207492
31.7553,3.193654
32.4784,3.189271
33.2645,3.179836
34.0559,3.170453
34.8398,3.157246
35.5644,3.149202
36.2901,3.139081
37.0131,3.132548
37.7372,3.120212
38.4595,3.110504
39.182,3.103255
39.9049,3.093835
40.629,3.084552
41.3487,3.076241
42.0691,3.064974
42.7875,3.063904
43.5097,3.050568
44.2294,3.040521
44.9539,3.037569
45.6735,3.026388
46.3951,3.016792
47.1152,3.011917
47.8392,3.007739
48.561,2.997253
49.2832,2.984506
49.9845,2.981009
50.7089,2.970708
51.4471,2.968349
52.1702,2.952612
52.8966,2.948017
53.6198,2.944612
54.3445,2.931229
55.0695,2.930445
55.7898,2.919343
56.5127,2.910167
57.2475,2.906985
57.9828,2.898439
58.7353,2.890166
59.4673,2.8835
60.2116,2.874853
60.9344,2.866611
61.6455,2.861244
62.369,2.864416
63.0917,2.84668
63.8156,2.838588
64.5466,2.836716
65.2718,2.833568
65.9972,2.819523
66.7178,2.816277
67.4397,2.808176
68.1608,2.805884
68.8855,2.802359
69.6129,2.790062
70.3353,2.784005
71.0663,2.77841
71.7903,2.772525
72.5177,2.771271
73.237,2.761951
73.957,2.757554
74.6764,2.748013
75.3964,2.744333
76.1152,2.73864
76.8399,2.72949
77.564,2.730521
78.2897,2.741215
79.0093,2.714682
79.7286,2.711473
80.4589,2.706849
81.1805,2.697892
81.8989,2.695401
82.6286,2.68633
83.3475,2.689446
84.0679,2.683253
84.786,2.67872
85.5044,2.665987
86.2263,2.660847
86.9485,2.660357
87.6694,2.651226
88.462,2.647818
89.2518,2.642357
90.0531,2.633568
90.8432,2.633612
91.6068,2.627052
92.3684,2.619135
93.114,2.615072
93.8474,2.611412
94.5701,2.606219
95.3363,2.601642
96.1028,2.600778
96.8707,2.594759
97.6389,2.589262
98.4187,2.583501
99.1892,2.585583
99.9286,2.575551
100.6971,2.569572
101.4648,2.565176
102.233,2.562393
102.967,2.557951
103.7302,2.55605
104.4977,2.549154
105.2639,2.543828
105.9915,2.545735
106.7531,2.534705
107.5203,2.534121
108.2848,2.526976
109.0109,2.521725
109.7693,2.518346
110.5353,2.513697
111.3026,2.514662
112.0271,2.505679
112.7851,2.502713
113.5534,2.497379
114.3195,2.497943
115.0423,2.490392
115.7963,2.48512
116.563,2.481229
117.3327,2.476504
118.0546,2.486597
118.809,2.47363
119.5767,2.468392
120.3467,2.462057
121.0726,2.458521
121.7985,2.458864
122.5217,2.452097
123.2468,2.45493
124.0119,2.450377
124.8147,2.441353
125.6109,2.435807
126.3856,2.433126
127.1584,2.430903
127.9335,2.43
128.7038,2.428171
129.4774,2.419958
130.2494,2.416555
131.0191,2.414648
131.7932,2.40891
132.5671,2.40557
133.3308,2.40297
134.0997,2.399553
134.8638,2.396957
135.6281,2.395232
136.3945,2.39189
137.1597,2.385721
137.9247,2.383727
138.6882,2.379876
139.4461,2.381724
140.1902,2.375374
140.933,2.370867
141.6766,2.370059
142.4181,2.365238
143.1628,2.362111
143.9068,2.357132
144.6485,2.356167
145.3896,2.354018
146.1319,2.354743
146.8729,2.350081
147.6158,2.343543
148.3573,2.341337
149.1013,2.335732
149.845,2.332977
150.5865,2.332832
151.3302,2.330432
152.0729,2.32519
152.8136,2.324225
153.5776,2.321421
154.332,2.316009
155.073,2.316819
155.8383,2.315531
156.5875,2.308802
157.3246,2.308572
158.0645,2.307662
158.8031,2.309231
159.5424,2.300845
160.2801,2.295279
161.0217,2.2951
161.7632,2.292189
162.5123,2.285439
163.2801,2.28506
164.0182,2.280032
164.7556,2.279904
165.4978,2.276186
166.2379,2.27487
166.9765,2.272901
167.7169,2.269774
168.4549,2.265614
169.1942,2.265771
169.953,2.262537
170.7059,2.258758
171.4464,2.256825
172.1854,2.253204
172.924,2.253921
173.681,2.252521
174.4389,2.245815
175.1787,2.246244
175.9193,2.239732
176.6599,2.238775
177.4011,2.239639
178.1425,2.234934
178.9191,2.231081
179.6572,2.23305
180.3965,2.229782
181.1355,2.224355
181.8737,2.223396
182.6125,2.21824
183.3536,2.218327
184.0964,2.217993
184.8477,2.216661
185.6105,2.2108
186.352,2.207839
187.0932,2.20477
187.8315,2.205027
188.5758,2.201261
189.3128,2.200309
190.0525,2.198667
190.7953,2.196514
191.5344,2.193256
192.2742,2.190596
193.0138,2.19061
193.7529,2.19219
194.492,2.184773
195.2307,2.181323
195.9737,2.179287
196.744,2.180013
197.4878,2.176065
198.2276,2.175179
198.9691,2.171691
199.7089,2.168774
200.4497,2.166659
201.1897,2.168283
201.9304,2.16429
202.6721,2.161669
203.4138,2.158753
204.1554,2.158033
204.8979,2.156946
205.6388,2.157324
206.3934,2.152996
207.1522,2.150713
207.8922,2.146914
208.6314,2.146896
209.3692,2.145349
210.1079,2.142437
210.8495,2.142026
211.5868,2.138074
212.3263,2.136337
213.0645,2.135982
213.8056,2.135673
214.5451,2.130968
215.2842,2.128435
216.0231,2.127327
216.7627,2.124465
217.5017,2.125155
218.2408,2.129545
218.9798,2.124817
219.7195,2.117305
220.4585,2.116223
221.1984,2.115014
221.9379,2.114458
222.6796,2.110638
223.4234,2.108891
224.1649,2.108405
224.9365,2.107461
225.6763,2.102303
226.4169,2.101928
227.1574,2.101071
227.9017,2.097699
228.6504,2.098991
229.3944,2.095214
230.1374,2.094724
230.8757,2.095115
231.6197,2.089561
232.3598,2.08848
233.0986,2.085241
233.8357,2.087381
234.5782,2.085579
235.3179,2.083192
236.0595,2.084769
236.7884,2.07891
237.5295,2.078402
238.2665,2.076667
239.0024,2.077902
239.7337,2.072258
240.4733,2.071715
241.2103,2.07384
241.922,2.071576
242.6603,2.069019
243.3987,2.070791
244.1381,2.063423
244.8573,2.062764
245.585,2.059109
246.3012,2.058514
247.0372,2.063227
247.7543,2.057364
248.4859,2.055173
249.2052,2.050218
249.9241,2.053455
250.643,2.04794
251.3617,2.052535
252.081,2.046356
252.8008,2.043518
253.5173,2.047641
254.2356,2.043912
254.9515,2.042271
255.6674,2.040167
256.3856,2.036198
257.1036,2.039601
257.8231,2.03542
258.5423,2.034622
259.26,2.029474
259.9791,2.033015
260.698,2.027899
261.4169,2.040283
262.1345,2.025259
262.8549,2.024628
263.5744,2.021151
264.2939,2.024057
265.0134,2.019014
265.735,2.020551
266.4547,2.017817
267.1742,2.017539
267.8898,2.017097
268.6058,2.012119
269.3236,2.012815
270.0429,2.013149
270.7622,2.009018
271.4804,2.00732
272.1987,2.00905
272.9162,2.00443
273.6353,2.008686
274.3544,2.007351
275.0738,2.003609
275.7908,2.00135
276.5079,1.999578
277.2256,1.995716
277.9452,1.995237
278.6631,1.996294
279.3818,1.997172
280.1008,1.995485
280.8211,1.991037
281.5391,1.991457
282.2567,1.991617
282.9737,1.987324
283.6921,1.984757
284.4097,1.984466
285.128,1.982521
285.8456,1.981736
286.5643,1.982785
287.2828,1.979394
288.0048,1.976172
288.7236,1.973995
289.4423,1.976792
290.1595,1.976981
290.879,1.971078
291.5964,1.971359
292.3143,1.971214
293.0327,1.96989
293.7517,1.967588
294.4728,1.966076
295.1914,1.966681
295.9071,1.964074
296.6467,1.962566
297.3851,1.962387
298.1045,1.963497
298.8234,1.965324
299.5419,1.957972
300.259,1.960365
300.9786,1.959098
301.6963,1.958686
302.4163,1.954323
303.1127,1.953722
303.8559,1.951921
304.5949,1.950758
305.3388,1.949895
306.0794,1.948599
306.8227,1.944104
307.5654,1.946527
308.311,1.947507
309.0531,1.945842
309.7952,1.943632
310.5375,1.94241
311.2813,1.938481
312.0234,1.940029
312.7688,1.936996
313.5082,1.937645
314.2562,1.936337
314.9959,1.931113
315.7401,1.934341
316.4891,1.93509
317.2329,1.931042
317.9741,1.930483
318.718,1.928101
319.458,1.929858
320.1988,1.926219
320.9387,1.928174
321.6828,1.924268
322.428,1.923206
323.1711,1.921192
323.9147,1.922832
324.6584,1.918494
325.3991,1.91724
326.1406,1.918411
326.8815,1.914475
327.6244,1.91571
328.3664,1.915663
329.1084,1.913544
329.8478,1.916051
330.5895,1.912625
331.3319,1.910152
332.0745,1.91026
332.8195,1.909812
333.5619,1.910057
334.3052,1.908731
335.0497,1.907167
335.7914,1.907775
336.5347,1.90217
337.2955,1.905824
338.0373,1.901036
338.7964,1.899009
339.539,1.898726
340.2817,1.90073
341.0232,1.898326
341.7652,1.899972
342.5073,1.895316
343.2481,1.893975
343.991,1.892753
344.7417,1.892173
345.4825,1.893455
346.2253,1.891872
346.9669,1.892834
347.707,1.889843
348.4528,1.887141
349.2001,1.890896
349.915,1.883777
350.6591,1.887389
351.4013,1.884657
352.1473,1.880762
352.8862,1.88269
353.6251,1.879947
354.3637,1.881349
355.1042,1.880708
355.8407,1.87735
356.5848,1.879513
357.3285,1.876154
358.0781,1.874549
358.8322,1.881576
359.582,1.874646
360.3371,1.871767
361.0558,1.876744
