time_sec,value
2.1299,4.00644
3.0455,3.745394
3.9882,3.65486
5.1722,3.588773
6.2023,3.495024
7.1673,3.399499
8.1008,3.301696
9.0967,3.23111
10.4122,3.124033
11.3508,3.015128
12.3017,2.882312
13.2737,2.802481
14.239,2.693331
15.1676,2.607092
16.0838,2.504352
17.1238,2.421792
18.0819,2.354567
19.0535,2.284524
20.0353,2.225657
20.9749,2.178186
21.9208,2.104926
22.8674,2.058949
23.8814,2.03676
24.857,1.991678
25.771,1.960711
26.7537,1.924711
27.7885,1.902467
28.766,1.870602
29.7632,1.850769
30.7358,1.828025
31.7248,1.822675
32.7239,1.805625
33.7213,1.783488
34.7542,1.79944
35.8192,1.772237
36.8807,1.790515
37.8713,1.778506
38.8855,1.778905
43.7309,1.761466
50.064,1.746239
56.4213,1.771996
60.9894,1.751223
61.9819,1.746477
62.9431,1.749735
63.9418,1.751155
64.9654,1.761325
65.9821,1.744278
66.9962,1.734603
67.9768,1.751588
68.9509,1.74486
69.9316,1.751325
70.8638,1.767699
71.8239,1.751855
72.8684,1.756653
74.0126,1.742193
74.9671,1.765914
75.9326,1.770492
76.8989,1.754266
77.9484,1.751474
78.9119,1.752903
79.8756,1.76339
80.8569,1.762229
81.8433,1.755439
82.8353,1.76697
83.8283,1.769988
84.8102,1.759667
85.7633,1.755902
86.7172,1.781601
87.7309,1.766299
88.6884,1.763982
89.6441,1.758918
90.6202,1.771927
91.6274,1.761898
92.5901,1.771928
93.5518,1.768594
94.5608,1.763644
95.5802,1.778462
96.5595,1.775022
97.5185,1.769776
98.4726,1.777482
99.5273,1.775978
100.5669,1.780292
101.6856,1.780917
102.7439,1.781151
103.7511,1.775928
104.7335,1.774564
105.7689,1.781097
106.8594,1.787743
107.8756,1.783316
108.9576,1.7813
109.98,1.782485
111.0307,1.78801
112.0693,1.785889
113.0958,1.781224
114.0441,1.783737
115.089,1.819629
116.2105,1.801952
117.2605,1.783902
118.3296,1.788004
119.3577,1.802281
120.3939,1.813947
121.4315,1.79737
122.4911,1.796345
123.5485,1.787806
124.6228,1.78992
125.6569,1.787434
126.7957,1.80164
127.8553,1.788042
128.8825,1.806354
129.8942,1.795715
130.9277,1.790094
131.9709,1.781702
132.9789,1.788127
133.9659,1.785447
134.9588,1.782219
135.9143,1.790056
136.9084,1.794523
137.8909,1.797695
138.8837,1.806545
139.9437,1.796514
140.9652,1.79054
141.9448,1.786168
142.9544,1.793183
143.9163,1.791463
144.8784,1.792529
145.8249,1.794902
146.7974,1.793373
147.7959,1.792855
148.7791,1.804052
149.7378,1.80613
150.7198,1.804688
151.6701,1.808326
152.6735,1.798824
153.688,1.804817
154.7179,1.800738
155.7434,1.807771
156.8242,1.81423
157.8629,1.811952
158.8417,1.818922
159.8245,1.81717
160.7817,1.825817
161.7692,1.833076
162.7818,1.827729
163.7733,1.823816
164.7357,1.833396
165.7527,1.8359
166.7342,1.828683
167.7031,1.827645
168.6886,1.824737
169.6552,1.835757
170.6387,1.834126
171.6348,1.833225
172.5809,1.835565
173.5646,1.839594
174.5483,1.832931
175.5407,1.839214
176.5159,1.839639
177.4865,1.842433
178.4519,1.861204
179.3989,1.854264
180.3868,1.848002
181.3554,1.845243
182.3286,1.861475
183.3317,1.851996
184.3022,1.84685
185.2677,1.856275
186.2369,1.858299
187.1841,1.858199
188.1425,1.85352
189.1291,1.846914
190.1168,1.848216
191.1077,1.844515
192.0698,1.843172
193.0723,1.848537
194.063,1.852241
195.0593,1.851046
196.0625,1.843905
197.0385,1.846625
198.0135,1.850645
199.0508,1.84749
200.006,1.839405
200.9642,1.842615
201.9197,1.852311
202.8512,1.844473
203.8447,1.85869
204.8426,1.842452
205.8811,1.842177
206.8641,1.837854
207.8597,1.833007
208.8286,1.832331
209.7978,1.838804
210.8084,1.835284
211.7639,1.836409
212.731,1.84751
213.7554,1.845485
214.7448,1.840857
215.7348,1.837235
216.7635,1.847256
217.7545,1.835903
218.7446,1.836606
219.7503,1.840579
220.7135,1.830852
221.682,1.827115
222.5763,1.825138
223.4993,1.838108
224.4553,1.832955
225.4298,1.82371
226.3946,1.835932
227.3806,1.832203
228.4359,1.831242
229.4439,1.838991
230.4046,1.827807
231.4158,1.839279
232.3724,1.83143
233.3564,1.823268
234.3216,1.828308
235.281,1.826754
236.2432,1.828086
237.2043,1.826623
238.1626,1.828647
239.1747,1.833404
240.1621,1.839669
241.1722,1.832448
242.1706,1.827044
243.1777,1.824029
244.1709,1.827964
245.1826,1.829358
246.1871,1.826197
247.181,1.825366
248.2053,1.817527
249.2058,1.82141
250.203,1.825043
251.2185,1.845973
252.1877,1.839202
253.184,1.846477
254.1421,1.831473
255.1277,1.827481
256.127,1.822936
257.0576,1.817734
257.9909,1.822183
258.9361,1.816312
259.9245,1.816484
260.8765,1.823426
261.8143,1.826969
262.7674,1.827082
263.7704,1.827814
264.7633,1.821722
265.7106,1.815764
266.7142,1.818002
267.6912,1.813432
268.6595,1.815316
269.6636,1.812718
270.6799,1.810029
271.7194,1.812556
272.7007,1.818022
273.6936,1.812555
274.6631,1.811447
275.6303,1.813138
276.625,1.815462
277.5983,1.819501
278.589,1.81787
279.5363,1.804483
280.5697,1.802426
281.6106,1.805881
282.6454,1.810004
283.6247,1.813762
284.6158,1.808238
285.6177,1.803155
286.6059,1.798298
287.6094,1.802398
288.5792,1.804432
289.5333,1.806816
290.5203,1.8025
291.512,1.80083
292.5196,1.79467
293.5057,1.80171
294.5124,1.807516
295.5665,1.80665
296.5154,1.806528
297.4772,1.798303
298.477,1.799547
299.4028,1.796131
300.4158,1.793252
301.3819,1.791627
302.3791,1.790192
303.3486,1.788834
304.3568,1.789834
305.3289,1.785451
306.2958,1.784084
307.2422,1.785745
308.2361,1.786506
309.236,1.783621
310.2201,1.787748
311.174,1.786803
312.1629,1.779835
313.1626,1.778191
314.1714,1.780707
315.1071,1.778796
316.0642,1.796192
317.0167,1.785175
317.9699,1.781014
318.9547,1.779739
319.9325,1.784402
320.869,1.78047
321.8452,1.775433
322.8029,1.768357
323.7696,1.784528
324.7391,1.777224
325.7254,1.771013
326.7653,1.772575
327.7554,1.769605
328.7437,1.758931
329.7055,1.759738
330.739,1.766172
331.704,1.769006
332.7132,1.766505
333.727,1.757559
334.7093,1.758306
335.6614,1.754039
336.6499,1.754495
337.6538,1.759057
338.6573,1.749148
339.5916,1.748381
340.5508,1.750807
341.5192,1.754754
342.5301,1.749101
343.5193,1.741024
344.5043,1.741867
345.5586,1.743291
346.5864,1.744824
347.5835,1.741608
348.5687,1.740933
349.5067,1.734653
350.5001,1.736232
351.4582,1.739073
352.4207,1.74404
353.3655,1.736198
354.3396,1.730632
355.2659,1.73177
356.1786,1.729975
357.1504,1.731774
358.0907,1.733361
359.1367,1.727977
360.1103,1.727587
361.0808,1.72547
