time_sec,value
2.125,3.816653
3.0146,3.692699
3.9114,3.656189
4.8199,3.626318
5.717,3.609894
6.6237,3.597262
7.5074,3.576931
8.406,3.551173
9.3129,3.535253
10.1849,3.514574
11.08,3.497255
11.9294,3.48932
12.7673,3.457956
13.603,3.442204
14.4819,3.42989
15.3898,3.40526
16.2358,3.391832
17.1294,3.380638
18.0093,3.359272
18.9095,3.340105
19.7988,3.328857
20.6716,3.307974
21.5706,3.294156
22.4634,3.279006
23.4008,3.268763
24.2983,3.258557
25.194,3.245955
26.0974,3.225741
26.9117,3.204021
27.7555,3.193892
28.6104,3.177378
29.461,3.165979
30.3183,3.156218
31.1952,3.148785
32.0645,3.129867
32.9301,3.12019
33.8123,3.100009
34.706,3.091348
35.5489,3.079394
36.3589,3.071868
37.1675,3.069567
37.9869,3.042611
38.8287,3.035965
39.6383,3.022884
40.453,3.011888
41.2646,3.0097
42.0719,2.995352
42.8837,2.990255
43.6944,2.970244
44.5027,2.957717
45.3154,2.945158
46.2034,2.947944
47.018,2.93451
47.8723,2.92156
48.6858,2.900522
49.4969,2.901242
50.3085,2.888074
51.1212,2.877993
51.942,2.869009
52.9318,2.863062
53.8499,2.851282
54.6703,2.839488
55.4897,2.831842
56.3105,2.825755
57.1272,2.816407
57.9946,2.817861
58.8164,2.798274
59.6312,2.788951
60.4506,2.783591
61.2706,2.783568
62.2327,2.771065
63.1456,2.761434
63.9702,2.754195
64.819,2.749716
65.6418,2.734451
66.4645,2.733583
67.3108,2.726361
68.319,2.715541
69.251,2.717221
70.0891,2.698529
70.941,2.695955
71.7721,2.695055
72.596,2.685501
73.4634,2.675969
74.3017,2.675083
75.1377,2.656989
75.9587,2.654328
76.902,2.647002
77.8438,2.64586
78.7422,2.631984
79.6393,2.631602
80.4918,2.628203
81.3755,2.619559
82.1805,2.605057
83.0729,2.601249
84.001,2.597235
84.8822,2.595964
85.7187,2.591248
86.5791,2.582168
87.4414,2.577684
88.3431,2.568178
89.1845,2.57346
90.0276,2.557234
90.8476,2.554074
91.6669,2.54815
92.5176,2.551604
93.3414,2.536704
94.1713,2.534626
95.0004,2.526784
95.8199,2.532543
96.6386,2.516453
97.4575,2.509888
98.3083,2.506091
99.1511,2.502203
99.9697,2.498695
100.7867,2.499036
101.6766,2.48937
102.582,2.481113
103.4146,2.484754
104.2305,2.485264
105.0455,2.471349
105.8743,2.467912
106.6918,2.46328
107.514,2.460091
108.367,2.4569
109.2205,2.446921
110.051,2.444424
110.8705,2.438074
111.689,2.436192
112.5055,2.434786
113.323,2.436349
114.1721,2.425502
114.9912,2.425669
115.8091,2.423021
116.6265,2.414531
117.4395,2.410107
118.2544,2.407002
119.0683,2.410705
119.8863,2.399183
120.7019,2.405408
121.5184,2.392489
122.3363,2.397959
123.1572,2.38262
123.9733,2.376533
124.7904,2.386508
125.6069,2.377315
126.4262,2.369708
127.2486,2.36862
128.075,2.371532
128.9697,2.359031
129.8666,2.356233
130.727,2.355874
131.6234,2.351104
132.5114,2.356009
133.3889,2.338865
134.2632,2.340418
135.1308,2.334288
136.0062,2.338121
136.827,2.326393
137.6458,2.3391
138.4641,2.324644
139.2819,2.317005
140.0984,2.315463
140.993,2.314648
141.831,2.312928
142.7144,2.313446
143.5633,2.304026
144.4275,2.302797
145.2417,2.297664
146.0435,2.295992
146.9292,2.298846
147.8211,2.291536
148.7064,2.292568
149.5081,2.284974
150.4075,2.278208
151.3041,2.283014
152.1987,2.28413
153.0991,2.275948
153.9793,2.284201
154.8839,2.267348
155.7822,2.266488
156.6865,2.264436
157.5543,2.259512
158.4626,2.25794
159.358,2.25952
160.255,2.251955
161.1536,2.250302
162.0506,2.251341
162.946,2.254084
163.8416,2.241785
164.7413,2.238466
165.6356,2.236846
166.5311,2.239877
167.4259,2.245063
168.3232,2.233622
169.2203,2.228283
170.0843,2.224589
170.9151,2.230711
171.7503,2.219841
172.5747,2.219437
173.391,2.226951
174.2066,2.220258
175.023,2.213666
175.8415,2.208609
176.6577,2.21405
177.5593,2.215398
178.4151,2.210153
179.306,2.211197
180.1772,2.200905
181.0591,2.226314
181.9738,2.201525
182.8618,2.191686
183.6549,2.192886
184.5093,2.188765
185.3306,2.187255
186.1468,2.179264
186.9675,2.181926
187.8019,2.181744
188.6204,2.17781
189.4405,2.175285
190.2571,2.178952
191.0818,2.174639
191.9036,2.168183
192.7263,2.165805
193.5501,2.163293
194.3695,2.170923
195.1915,2.168542
196.0112,2.161849
196.8314,2.160539
197.6486,2.160545
198.4681,2.157726
199.2929,2.15405
200.1137,2.161508
200.9354,2.156599
201.7549,2.153363
202.5752,2.142715
203.3973,2.15018
204.2939,2.143816
205.1913,2.144826
206.0859,2.137272
206.9814,2.138285
207.8787,2.137093
208.7786,2.1384
209.6772,2.135032
210.5701,2.134959
211.4641,2.12631
212.3597,2.122708
213.2538,2.124486
214.1501,2.120041
215.0437,2.123799
215.9386,2.120555
216.8343,2.125355
217.727,2.115008
218.6213,2.114131
219.5163,2.114308
220.4114,2.110766
221.3112,2.110829
222.2048,2.106261
223.0969,2.107084
223.9922,2.104219
224.8886,2.101005
225.7864,2.100081
226.6777,2.104342
227.5714,2.097966
228.4669,2.094153
229.3612,2.092541
230.2544,2.095944
231.1498,2.096452
232.0188,2.090748
232.8408,2.091929
233.7421,2.105025
234.6486,2.096638
235.5485,2.089468
236.4415,2.081785
237.3344,2.08636
238.2269,2.082936
239.1186,2.078124
240.0103,2.079927
240.9041,2.077185
241.7585,2.075626
242.5777,2.077348
243.3968,2.073772
244.209,2.078666
245.0329,2.068923
245.8519,2.06749
246.6637,2.068074
247.4809,2.066213
248.2983,2.062722
249.1896,2.061034
250.0073,2.065617
250.823,2.061982
251.6409,2.065478
252.4542,2.068007
253.2695,2.064967
254.0532,2.056017
254.866,2.063528
255.7568,2.052246
256.6903,2.053873
257.5101,2.053593
258.4137,2.051034
259.3174,2.048743
260.2105,2.045694
261.1017,2.047309
262.0079,2.04609
262.9054,2.038762
263.7999,2.043393
264.709,2.042247
265.6089,2.038541
266.5139,2.042311
267.3432,2.033953
268.1683,2.038527
269.0136,2.036155
269.8683,2.035971
270.7642,2.034939
271.6567,2.036854
272.5515,2.02799
273.4496,2.032851
274.3439,2.033583
275.2416,2.027104
276.1382,2.023834
277.032,2.03455
277.9277,2.027087
278.8207,2.02535
279.7136,2.018881
280.6058,2.017991
281.5019,2.024086
282.3982,2.01873
283.2925,2.015583
284.1859,2.021371
285.0843,2.016801
285.9789,2.016414
286.7939,2.011956
287.6174,2.010342
288.4326,2.013512
289.3746,2.008537
290.2646,2.00989
291.1543,2.010146
292.034,2.017896
292.8476,2.003888
293.6548,2.004654
294.4748,2.003221
295.3693,2.002752
296.2644,2.002334
297.1599,2.000925
298.0521,1.996761
298.9443,1.996783
299.8383,1.99765
300.7305,2.000061
301.6247,1.995327
302.522,1.995445
303.3362,2.001167
304.1817,1.992553
305.0006,1.991361
305.8155,1.992632
306.6298,1.985765
307.4436,1.986573
308.2918,1.990443
309.1077,1.986682
309.9216,1.991629
310.7359,1.983596
311.5495,1.988776
312.4355,1.982296
313.25,1.982009
314.0692,1.979214
314.8849,1.98163
315.6998,1.979139
316.5122,1.977304
317.3268,1.982364
318.1426,1.977748
318.9605,1.975134
319.7791,1.977236
320.6729,1.972585
321.5551,1.975518
322.4503,1.971863
323.3442,1.970512
324.2391,1.975439
325.1332,1.972145
326.0294,1.968748
326.9241,1.97218
327.8198,1.972646
328.712,1.96607
329.6031,1.962545
330.496,1.966064
331.3879,1.962704
332.2836,1.963047
333.1799,1.962652
334.0736,1.960804
334.9684,1.960073
335.8631,1.957424
336.7545,1.956771
337.6479,1.959601
338.5417,1.955901
339.4366,1.956515
340.3323,1.955452
341.2253,1.958335
342.1201,1.955333
343.0155,1.953878
343.91,1.956009
344.7511,1.950307
345.5677,1.953673
346.3526,1.950922
347.2525,1.949556
348.1498,1.947345
349.0756,1.945413
349.9048,1.947126
350.7585,1.948013
351.6587,1.944244
352.4816,1.944562
353.3171,1.945813
354.2155,1.945827
355.0292,1.941075
355.8498,1.943465
356.6632,1.937948
357.4961,1.94192
358.3224,1.942347
359.1566,1.946053
359.9846,1.939068
360.8095,1.939447
361.6215,1.936639
362.5146,1.934978
363.406,1.942096
364.299,1.933816
