time_sec,value
2.2665,3.702496
3.3253,3.657716
4.3864,3.596816
5.4585,3.526089
6.5243,3.484727
7.589,3.418071
8.6553,3.332366
9.7267,3.296792
10.7971,3.245261
11.8583,3.198919
12.9313,3.156235
14.0113,3.067746
15.0479,3.021556
16.0801,2.938123
17.1112,2.906481
18.1338,2.844021
19.1664,2.83379
20.2113,2.789045
21.2459,2.744556
22.2961,2.71871
23.3702,2.694747
24.4373,2.622738
25.4705,2.601706
26.5019,2.578764
27.5296,2.560813
28.5661,2.54236
29.6222,2.470075
30.6443,2.446153
31.667,2.420407
32.694,2.40577
33.7089,2.376516
34.7332,2.335216
35.7559,2.31387
36.7797,2.281986
37.8143,2.286063
38.8459,2.282673
39.891,2.298708
40.9242,2.35062
41.9499,2.247015
42.9839,2.215133
43.9963,2.185258
45.0125,2.189574
46.0297,2.118318
47.0439,2.166383
48.0646,2.13929
49.0831,2.114906
50.1163,2.070311
51.151,2.055599
52.1863,2.060405
53.2023,2.079747
54.2119,2.15396
55.2554,2.225983
56.299,2.065355
57.3489,2.056968
58.3877,1.963521
59.4372,1.985349
60.5007,1.978886
61.5551,1.916297
62.5821,1.943885
63.6369,1.918563
64.6392,1.950487
65.6549,1.917073
66.6629,1.918925
67.6624,1.859039
68.7743,1.855167
69.8802,1.838191
71.01,1.823155
72.0903,1.886052
73.1423,1.950073
74.1714,1.820507
75.1997,1.831691
76.271,1.835678
77.2981,1.824163
78.3675,1.813775
79.3871,1.764914
80.4068,1.797575
81.4252,1.808555
82.4429,1.788852
83.4603,1.809312
84.4714,1.740079
85.5232,1.74618
86.5456,1.784309
87.5569,1.794134
88.5817,1.849161
89.6184,1.733093
90.6424,1.699035
91.6771,1.689798
92.7038,1.682203
93.7524,1.695983
94.803,1.696648
95.881,1.702165
96.9296,1.699009
97.9821,1.679501
99.0334,1.678276
100.084,1.664678
101.1273,1.648495
102.1909,1.757304
103.2648,1.856713
104.3185,1.694083
105.3509,1.701424
106.3859,1.677213
107.4295,1.670583
108.4984,1.671053
109.5527,1.624495
110.5697,1.635745
111.5931,1.620828
112.6267,1.640157
113.6638,1.634374
114.6986,1.659321
115.7291,1.644894
116.7592,1.658006
117.8161,1.631317
118.88,1.619731
119.9253,1.624651
120.9505,1.619177
121.9952,1.595321
123.0395,1.597749
124.0856,1.619559
125.134,1.618713
126.1871,1.61635
127.2317,1.559467
128.295,1.543812
129.3563,1.562328
130.3765,1.608235
131.3974,1.682645
132.4156,1.75046
133.458,1.656393
134.4993,1.69107
135.5365,1.688612
136.5866,1.659535
137.6248,1.684641
138.6606,1.577539
139.6812,1.592716
140.7029,1.579656
141.7234,1.634435
142.7532,1.5251
143.7949,1.542185
144.8362,1.496757
145.8744,1.480248
146.908,1.513262
147.9564,1.503017
148.9992,1.50828
150.0309,1.53092
151.0496,1.521169
152.0885,1.467801
153.1021,1.465019
154.1249,1.485813
155.1448,1.606141
156.174,1.634633
157.194,1.49633
158.226,1.536112
159.2504,1.639196
160.2806,1.694785
161.2963,1.680233
162.3039,1.721366
163.3274,1.551291
164.3542,1.560236
165.375,1.458858
166.3915,1.462398
167.4239,1.44347
168.4501,1.435704
169.4716,1.454175
170.4929,1.496636
171.5155,1.567793
172.5401,1.510602
173.5586,1.462808
174.582,1.424649
175.6032,1.434887
176.6175,1.448294
177.6323,1.414709
178.6474,1.478316
179.6682,1.528042
180.6936,1.477408
181.7118,1.482706
182.7412,1.460344
183.7804,1.494761
184.8066,1.514485
185.833,1.556918
186.8584,1.789273
187.8782,1.876932
188.8995,1.470591
189.9211,1.405947
190.9418,1.391986
191.9669,1.376115
192.9932,1.41192
194.0168,1.407936
195.066,1.458305
196.0799,1.491656
197.104,1.378112
198.1237,1.391986
199.1607,1.39911
200.1989,1.411936
201.2522,1.389168
202.2925,1.417647
203.3285,1.587795
204.3677,1.395582
205.4116,1.398416
206.4519,1.371918
207.4849,1.384169
208.5668,1.392624
209.5874,1.438214
210.6136,1.53247
211.6447,1.60527
212.6641,1.460736
213.6807,1.457331
214.7197,1.544327
215.75,1.58526
216.7833,1.446842
217.8202,1.472565
218.85,1.406786
219.8905,1.452903
220.9099,1.404128
221.9509,1.331456
223.0026,1.333513
224.0391,1.381678
225.0864,1.454599
226.123,1.527785
227.16,1.630427
228.1846,1.571313
229.2413,1.614202
230.3184,1.350764
231.3703,1.380575
232.3739,1.334067
233.4029,1.343697
234.4359,1.331865
235.4714,1.328918
236.4762,1.330524
237.4522,1.358288
238.4927,1.411366
239.4976,1.364301
240.4999,1.390262
241.5071,1.536086
242.4922,1.64525
243.4965,1.393821
244.4732,1.431083
245.4876,1.405848
246.5006,1.408374
247.5159,1.398942
248.5482,1.456123
249.5633,1.354105
250.5666,1.342819
251.562,1.327271
252.5651,1.326764
253.5681,1.309668
254.5766,1.313326
255.5796,1.311186
256.5947,1.310963
257.6028,1.311863
258.6113,1.298514
259.6211,1.295487
260.6263,1.305811
261.6272,1.309789
262.6236,1.556582
263.6236,1.727525
264.6092,1.470304
265.6028,1.593501
266.6021,1.48794
267.618,1.553308
268.6179,1.551212
269.6111,1.593707
270.6103,1.582648
271.6235,1.587012
272.6353,1.345719
273.639,1.355425
274.6293,1.408528
275.6336,1.524019
276.6393,1.494429
277.6463,1.488157
278.6487,1.452341
279.6507,1.537226
280.6495,1.744523
281.6454,1.828002
282.6471,1.431624
283.6492,1.420929
284.6443,1.370425
285.6346,1.406691
286.6308,1.364949
287.6138,1.37648
288.6226,1.362816
289.6273,1.43413
290.6337,1.524986
291.7132,1.561347
292.7296,1.269211
293.7375,1.278247
294.7397,1.319312
295.7515,1.286342
296.7524,1.290926
297.7505,1.312996
298.7526,1.302845
299.7562,1.31679
300.7644,1.281188
301.7719,1.28447
302.7706,1.306784
303.7801,1.333257
304.782,1.281266
305.7903,1.311455
306.8003,1.497027
307.8079,1.581341
308.8035,1.307731
309.7891,1.348062
310.779,1.340668
311.7587,1.473363
312.7359,1.619192
313.7171,1.522712
314.7107,1.513066
315.7235,1.288374
316.7164,1.302509
317.71,1.325827
318.697,1.39129
319.6875,1.41391
320.6895,1.399422
321.6979,1.471188
322.6991,1.668249
323.7541,1.754604
324.7699,1.518854
325.7923,1.562106
326.8145,1.442712
327.8319,1.484782
328.8557,1.435271
329.8773,1.461307
330.8974,1.484315
331.932,1.643075
332.9654,1.429671
333.9737,1.379135
334.9994,1.271209
336.0304,1.2801
337.0567,1.274654
338.0424,1.271672
339.0302,1.249471
340.024,1.264052
341.0152,1.257792
342.0306,1.288027
343.0345,1.278242
343.9954,1.345126
344.9904,1.8436
345.994,1.426201
346.9879,1.356349
347.984,1.78689
349.0049,1.713972
350.0016,1.262944
