time_sec,value
1.9367,3.716742
2.6363,3.693385
3.3376,3.6695
4.0584,3.656395
4.7595,3.641654
5.4638,3.625369
6.1714,3.611545
6.8811,3.598493
7.5886,3.58462
8.2909,3.570515
8.9919,3.55734
9.6961,3.54581
10.461,3.534804
11.2283,3.520511
11.9885,3.507217
12.7528,3.499787
13.5118,3.485943
14.2766,3.47109
15.0349,3.456581
15.7938,3.442684
16.5549,3.430163
17.308,3.42
18.0048,3.409202
18.7184,3.396817
19.418,3.385365
20.1179,3.374157
20.8196,3.364583
21.534,3.354442
22.231,3.339453
22.9347,3.331568
23.6316,3.317825
24.3476,3.307438
25.0524,3.298127
25.75,3.285214
26.5109,3.278062
27.2741,3.267906
28.0365,3.255321
28.7992,3.242837
29.5393,3.233895
30.2379,3.224795
30.9613,3.213417
31.6736,3.204866
32.3735,3.194904
33.0709,3.184983
33.7761,3.174984
34.4802,3.16709
35.186,3.157581
35.8987,3.145895
36.6601,3.136924
37.4085,3.129751
38.1207,3.120132
38.8249,3.11239
39.5413,3.102686
40.2451,3.090311
40.9542,3.081858
41.66,3.073712
42.3626,3.069266
43.0682,3.058187
43.7732,3.048649
44.4796,3.04066
45.187,3.032785
45.8893,3.027325
46.5905,3.01677
47.2935,3.006675
48.0424,3.001566
48.7489,2.993366
49.4554,2.982215
50.1619,2.974584
50.8625,2.9672
51.5688,2.960941
52.2876,2.950788
52.9937,2.943073
53.6985,2.93867
54.4027,2.930638
55.1096,2.921176
55.8127,2.913956
56.5289,2.906979
57.233,2.899904
57.935,2.891998
58.6401,2.885834
59.3378,2.878468
60.0409,2.871687
60.7432,2.865314
61.4426,2.863031
62.1434,2.850482
62.8772,2.843965
63.5961,2.838025
64.313,2.832008
65.0375,2.82691
65.7427,2.819493
66.4473,2.81284
67.1382,2.806871
67.8393,2.799811
68.5397,2.792463
69.2603,2.786498
69.9659,2.77965
70.6771,2.773863
71.3958,2.767873
72.1014,2.76207
72.8717,2.755704
73.6363,2.749023
74.4054,2.743923
75.1645,2.737851
75.9256,2.732985
76.6956,2.728463
77.466,2.719863
78.2686,2.714147
79.0362,2.70954
79.8048,2.7047
80.5701,2.698655
81.3543,2.692927
82.156,2.688658
82.9215,2.68356
83.6928,2.676997
84.459,2.671475
85.2354,2.667112
86.0035,2.660692
86.7783,2.655118
87.5647,2.64985
88.3558,2.646532
89.114,2.641377
89.8875,2.635501
90.6765,2.630557
91.458,2.626086
92.2279,2.621294
92.9964,2.616459
93.7408,2.611059
94.5231,2.60479
95.3046,2.603919
96.0754,2.599033
96.8298,2.591942
97.5931,2.586996
98.359,2.581779
99.1239,2.578019
99.8938,2.573486
100.6586,2.570284
101.4316,2.565495
102.2265,2.559781
103.0271,2.556881
103.8053,2.551602
104.571,2.548942
105.3334,2.542231
106.0853,2.537632
106.8693,2.53422
107.6564,2.528694
108.4366,2.525265
109.215,2.522334
110.0258,2.517088
110.7991,2.515077
111.5738,2.515631
112.3494,2.507862
113.1199,2.500698
113.8923,2.498618
114.6669,2.495793
115.4791,2.489371
116.2683,2.485606
117.0676,2.481112
117.8791,2.477165
118.6514,2.473016
119.4328,2.46857
120.2041,2.465641
120.9816,2.463245
121.7656,2.461309
