time_sec,value
2.2926,3.703184
3.3712,3.636182
4.4614,3.640566
5.6039,3.579859
6.7335,3.469652
7.8693,3.424003
9.0063,3.382691
10.1242,3.365729
11.2521,3.302347
12.3781,3.264413
13.4977,3.270485
14.6243,3.173689
15.7366,3.154799
16.8188,3.112024
17.9175,3.092635
19.0049,3.050223
20.0806,3.039778
21.1582,2.989098
22.2413,2.958754
23.3233,2.941352
24.3982,2.905286
25.4729,2.90216
26.5528,2.848925
27.6306,2.813044
28.7444,2.778899
29.8304,2.765666
30.9198,2.6934
31.9927,2.724433
33.074,2.680923
34.1498,2.661305
35.2236,2.621106
36.2977,2.634199
37.3709,2.597286
38.4502,2.561681
39.5278,2.545578
40.6031,2.524124
41.6793,2.525389
42.7481,2.524574
43.8166,2.508179
44.8908,2.465877
45.9593,2.450835
47.0332,2.415161
48.1038,2.421292
49.1938,2.411515
50.2641,2.381466
51.3334,2.383528
52.3928,2.36043
53.4629,2.370693
54.5303,2.333575
55.5973,2.329967
56.6748,2.297504
57.7458,2.305647
58.8161,2.276017
59.8821,2.25847
60.9087,2.257267
61.933,2.267655
62.9682,2.261569
64.0066,2.224617
65.0354,2.233188
66.0692,2.222481
67.1014,2.214813
68.1249,2.209878
69.1517,2.144549
70.1806,2.168827
71.2322,2.142745
72.265,2.135416
73.3119,2.15768
74.3609,2.114503
75.3911,2.106401
76.416,2.129889
77.4514,2.11343
78.4806,2.085676
79.505,2.075534
80.5211,2.099722
81.5494,2.07262
82.5697,2.050061
83.5915,2.065179
84.6219,2.050833
85.6423,2.014785
86.6668,2.027784
87.7007,2.020909
88.732,2.029689
89.7601,1.984383
90.808,1.984831
91.8377,1.985092
92.8659,1.990284
93.894,1.959806
94.932,1.970251
95.9721,1.992023
97.0054,2.030006
98.0507,1.934812
99.1095,1.92777
100.1512,1.923596
101.1912,1.963489
102.2188,1.962538
103.2492,1.925164
104.2848,1.90805
105.3237,1.911486
106.363,1.907549
107.3909,1.893193
108.4193,1.886457
109.4499,1.905251
