time_sec,value
2.1365,3.717442
3.0368,3.69307
3.9231,3.665135
4.896,3.651493
5.7763,3.633758
6.6716,3.618649
7.5296,3.605747
8.3871,3.590579
9.2423,3.575889
10.1398,3.564751
11.0482,3.550449
11.9214,3.535802
12.7868,3.52331
13.6502,3.511801
14.5318,3.49734
15.411,3.48489
16.2937,3.472231
17.1986,3.45912
18.0831,3.447629
18.9229,3.435537
19.849,3.423961
20.7814,3.412876
21.694,3.40115
22.6106,3.38841
23.532,3.377172
24.4595,3.365744
25.3806,3.353955
26.3142,3.342108
27.2569,3.331184
28.1272,3.320704
29.0528,3.309594
29.9509,3.298241
30.8861,3.287081
31.8382,3.277457
32.742,3.266633
33.661,3.25582
34.6336,3.245342
35.6114,3.235291
36.564,3.224905
37.5423,3.214464
38.5061,3.204917
39.4604,3.195344
40.7933,3.185157
41.7934,3.176431
42.8028,3.165764
43.8216,3.156567
44.7896,3.147387
45.7745,3.137391
46.7083,3.130344
47.6475,3.119994
48.6107,3.11003
49.6187,3.10044
50.559,3.091766
51.5375,3.082474
52.5305,3.075247
53.5271,3.065705
54.532,3.057433
55.5075,3.048162
56.4891,3.040258
57.4432,3.031014
58.4616,3.023141
59.458,3.014374
60.4034,3.007735
61.3476,2.998089
62.3701,2.990913
63.3609,2.982368
64.344,2.974769
65.3242,2.967034
66.3082,2.959163
67.2448,2.951866
68.2313,2.944072
69.2356,2.936411
70.1931,2.929061
71.1451,2.921175
72.1411,2.914452
73.1298,2.906073
74.129,2.899546
75.1203,2.892226
76.1439,2.88498
77.0828,2.878574
78.134,2.871521
79.1298,2.864781
80.0772,2.857521
81.0025,2.851609
81.9167,2.844009
82.8466,2.837599
83.7892,2.831017
84.7249,2.824361
85.7316,2.817258
86.6785,2.810965
87.6367,2.804679
88.6218,2.798667
89.6174,2.792462
90.6855,2.786244
91.6555,2.779969
92.6217,2.772905
93.6099,2.766961
94.5435,2.761272
95.4489,2.75522
96.4368,2.749158
97.4217,2.743861
98.3662,2.738275
99.3467,2.7318
100.325,2.726414
101.3051,2.719854
102.332,2.714507
103.3825,2.709378
104.3924,2.70329
105.3437,2.697744
106.3446,2.691725
107.3796,2.686579
108.338,2.68238
109.3026,2.675856
110.2814,2.670902
111.281,2.665541
112.2757,2.660922
113.2936,2.655302
114.2563,2.649475
115.2126,2.644693
116.1795,2.640099
117.1536,2.634736
118.1682,2.629818
119.184,2.625419
120.158,2.619921
121.1277,2.615079
122.1219,2.609678
123.1026,2.605177
124.1065,2.599991
125.1407,2.596038
126.1138,2.591149
127.1048,2.585939
128.1467,2.580835
129.2685,2.576655
130.3305,2.572709
131.4631,2.567691
132.4358,2.56292
133.4436,2.559051
134.6429,2.55443
135.6422,2.549698
136.6808,2.545563
137.7395,2.5418
138.7242,2.537475
139.703,2.533589
140.7311,2.529528
141.7297,2.524621
142.7776,2.520417
143.7208,2.516078
144.6679,2.511644
145.6835,2.507718
146.7795,2.503595
147.7847,2.499566
148.8081,2.495993
149.7949,2.492315
150.8195,2.487298
151.8613,2.483704
152.8965,2.479855
153.8718,2.475933
154.8738,2.471466
155.906,2.468998
156.8566,2.464427
157.8472,2.46051
158.8337,2.457097
159.7863,2.452739
160.7656,2.449676
161.7465,2.446041
162.6958,2.44205
163.6941,2.438809
164.6431,2.434552
165.5791,2.431595
166.4874,2.427339
167.4609,2.423877
168.3857,2.420103
169.3251,2.416784
170.2613,2.413366
171.1926,2.410204
172.1391,2.4069
173.131,2.404314
174.0576,2.400196
174.9872,2.39715
175.9362,2.393163
176.8373,2.389734
177.8075,2.386175
178.7598,2.382804
179.7186,2.380073
180.6469,2.376919
181.6211,2.373149
182.5628,2.370908
183.5039,2.366782
184.4539,2.364169
185.3751,2.360977
186.3048,2.358216
187.2513,2.355449
188.197,2.351772
189.128,2.349119
190.0587,2.345442
190.9981,2.342349
191.8982,2.339624
192.8429,2.336198
193.7897,2.333304
194.7459,2.331006
195.6869,2.327492
196.6349,2.32473
197.6155,2.322375
198.5615,2.318982
199.5448,2.316439
200.4744,2.313242
201.4323,2.30978
202.3984,2.307868
203.3507,2.305121
204.3488,2.301739
205.2986,2.298744
206.2522,2.296497
207.2256,2.294147
208.1831,2.291428
209.1362,2.289483
210.0732,2.286019
211.0796,2.283382
212.0625,2.280676
213.0074,2.278402
213.952,2.274707
214.8981,2.272601
215.8696,2.269656
216.8818,2.26765
217.8606,2.2647
218.7909,2.26153
219.7092,2.259873
220.6816,2.257535
221.5693,2.254445
222.4886,2.25256
223.421,2.249573
224.4175,2.246788
225.5142,2.244996
226.5182,2.242214
227.4854,2.239373
228.4479,2.237257
229.3639,2.234575
230.3499,2.232177
231.3065,2.230397
232.2707,2.227206
233.2142,2.225121
234.1902,2.222792
235.1332,2.220497
236.0832,2.218463
237.026,2.216278
237.9627,2.213793
238.9038,2.212582
239.8341,2.209523
240.7893,2.207122
241.7282,2.205011
242.6618,2.202376
243.5731,2.200567
244.5352,2.19809
245.5041,2.195694
246.4333,2.193506
247.3687,2.191406
248.2951,2.189102
249.2274,2.186703
250.1275,2.18463
251.1156,2.182278
252.2036,2.180303
253.1232,2.17895
254.0987,2.176433
255.0819,2.174403
255.9984,2.171677
256.9078,2.169997
257.8318,2.168944
258.8111,2.165613
259.7893,2.164159
260.7358,2.161743
261.7092,2.159697
262.6454,2.157852
263.5824,2.155644
264.5249,2.153577
265.5307,2.151674
266.4807,2.149444
267.4828,2.147478
268.4228,2.145879
269.415,2.144198
270.3707,2.141492
271.3173,2.139917
272.2384,2.13896
273.2256,2.13587
274.1528,2.134605
275.0731,2.131856
276.0031,2.130327
276.9615,2.127915
277.9093,2.12607
280.8796,2.124452
281.8148,2.122825
282.7555,2.12062
283.7316,2.118811
284.7544,2.11741
285.7399,2.116838
286.7035,2.113496
287.6691,2.111417
288.6387,2.110141
289.5544,2.108354
290.5574,2.106467
291.4708,2.104437
292.5151,2.103173
293.5448,2.100796
294.6024,2.098981
295.6393,2.098609
296.5556,2.09536
297.542,2.093843
298.5585,2.092029
299.5981,2.090802
300.5329,2.088843
301.5179,2.086903
302.4711,2.085109
303.3676,2.084072
304.3013,2.0828
305.2367,2.080732
306.169,2.078632
307.1467,2.076861
308.0911,2.075571
309.0789,2.073328
310.1063,2.07194
311.0986,2.070192
312.2892,2.069163
313.2286,2.067663
314.2285,2.065289
315.2294,2.063464
316.2627,2.061986
317.2876,2.060898
318.3179,2.058763
319.2801,2.057331
320.3229,2.056217
321.3141,2.053937
322.2914,2.0534
323.2703,2.051377
324.2217,2.049399
325.2398,2.047693
326.2101,2.046767
327.1854,2.04479
328.1338,2.043602
329.0834,2.041632
330.054,2.04073
330.9948,2.038636
331.9749,2.037403
332.9346,2.035684
333.8757,2.034314
334.833,2.032683
335.7986,2.032451
336.7201,2.030126
337.6674,2.028362
338.5965,2.027039
339.5622,2.025381
340.5234,2.023794
341.5281,2.02276
342.5681,2.021326
343.5172,2.019584
344.4698,2.018972
345.3855,2.016799
346.3524,2.01548
347.4037,2.014519
348.3288,2.012526
349.2555,2.011141
350.1781,2.010114
351.1132,2.008524
352.0343,2.006968
352.9784,2.005637
353.9193,2.004485
354.8576,2.003282
355.8215,2.001912
356.7368,2.000331
357.7258,1.999014
358.7223,1.997448
359.6462,1.995914
360.5749,1.995163
361.504,1.993642
362.5276,1.992789
363.4849,1.990658
364.389,1.989511
365.3283,1.988432
366.2526,1.987156
367.1858,1.986051
368.1234,1.984189
369.0529,1.98309
369.9805,1.981264
370.9426,1.980111
371.847,1.978951
372.8461,1.977725
373.7879,1.97617
374.7363,1.975654
375.6865,1.974259
376.6227,1.972609
377.5842,1.97138
378.5167,1.970706
379.4452,1.969198
380.4161,1.967927
381.353,1.966416
382.2815,1.965028
383.2321,1.964072
384.1232,1.96231
385.0653,1.961666
385.9766,1.959918
386.9045,1.95855
387.8274,1.957436
389.0583,1.956899
390.0564,1.955759
390.9933,1.953871
391.914,1.952603
392.8371,1.951406
393.7707,1.95024
394.719,1.949571
395.6833,1.948359
396.6178,1.94716
397.5696,1.945851
398.5063,1.944761
399.435,1.943719
400.4974,1.942423
401.5049,1.940953
402.4882,1.939947
403.4476,1.939092
404.4401,1.937494
405.3888,1.936263
406.4173,1.935271
407.3766,1.934068
408.3083,1.933348
409.2834,1.93191
410.2622,1.93095
411.2411,1.929863
412.2247,1.92859
413.2238,1.927379
414.2158,1.926636
415.2327,1.925573
416.1695,1.924093
419.4026,1.922945
420.3413,1.921852
421.2904,1.921122
422.2587,1.919795
423.2353,1.91867
424.2084,1.917999
425.1509,1.916793
426.112,1.915199
427.0466,1.914117
428.0119,1.913521
429.0359,1.912261
429.9892,1.910838
430.9482,1.909986
431.8884,1.908756
432.8852,1.908115
433.8536,1.907909
434.7961,1.905617
435.7275,1.905168
436.6797,1.903863
437.6667,1.902665
438.6139,1.901666
439.5442,1.901145
440.5079,1.8994
441.4742,1.899091
442.3793,1.898312
443.3006,1.896187
444.2584,1.895414
445.201,1.894656
446.1158,1.893306
447.1151,1.892331
448.0846,1.891178
449.0433,1.89091
449.9731,1.889462
450.9174,1.888538
451.8662,1.887274
452.8091,1.886585
453.7651,1.885385
454.7082,1.884278
455.6785,1.883666
456.6375,1.882932
457.5798,1.881489
458.5119,1.880907
459.5058,1.87966
460.4538,1.878398
461.4369,1.878138
462.4149,1.877021
463.3591,1.875763
464.3498,1.874897
465.3352,1.873657
466.323,1.872963
467.3246,1.871749
468.3268,1.870933
469.3589,1.869909
470.3141,1.86915
471.4825,1.868333
472.3937,1.867202
473.336,1.866465
474.2688,1.865618
475.2304,1.864542
476.2033,1.863774
477.179,1.86247
478.2188,1.861834
479.1869,1.860994
480.1238,1.86007
481.0766,1.859028
482.0612,1.858423
483.0737,1.857018
483.9938,1.856299
484.9332,1.855537
485.8546,1.854644
486.7948,1.853433
487.7013,1.852835
488.6288,1.851852
489.606,1.850931
490.544,1.85013
491.5031,1.848784
492.4575,1.848035
493.4016,1.84694
494.3419,1.846464
495.247,1.845767
496.1942,1.845017
497.1825,1.843494
498.1138,1.84401
499.054,1.842138
499.967,1.841233
500.8874,1.840372
501.8135,1.840135
502.7832,1.838548
503.7421,1.837908
504.7633,1.836647
506.0018,1.836284
506.9759,1.835557
507.9177,1.834313
