round,mean,std,n
0,1.012,0.016807736313971568,5
1,1.0239999999999998,0.026960619429085807,5
2,1.0219999999999998,0.004107919181288753,5
3,1.0155,0.00836660026534077,5
4,1.0055,0.007984359711335683,5
5,1.0130000000000001,0.007786205751198727,5
6,1.003,0.006708203932499325,5
7,1.0045,0.006224949798994355,5
8,1.0025,0.0035355339059327407,5
9,1.002,0.004472135954999583,5
10,1.0045,0.006708203932499338,5
11,1.0015,0.003354101966249712,5
12,1.0055,0.007984359711335683,5
13,1.0045,0.006224949798994355,5
14,1.0030000000000001,0.005419870847169681,5
15,1.0005,0.001118033988749871,5
16,1.0085,0.008767838958375084,5
17,1.0015,0.003354101966249712,5
18,1.0,0.0,5
19,1.0,0.0,5
20,1.0,0.0,5
21,1.0005,0.001118033988749871,5
22,1.002,0.004472135954999583,5
23,1.0,0.0,5
24,1.0,0.0,5
25,1.0025,0.005590169943749454,5
26,1.0,0.0,5
27,1.0070000000000001,0.009585144756340399,5
28,1.0015,0.003354101966249712,5
29,1.0005,0.001118033988749871,5
30,1.0005,0.001118033988749871,5
31,1.0005,0.001118033988749871,5
32,1.0035,0.007826237921249295,5
33,1.003,0.005419870847169682,5
34,1.0045,0.0073739406018763515,5
35,1.0094999999999998,0.014404860290887913,5
36,1.0,0.0,5
37,1.004,0.0054772255750516665,5
38,1.0005,0.001118033988749871,5
39,1.0,0.0,5
40,1.005,0.007071067811865442,5
41,1.0065,0.008944271909999158,5
42,1.0,0.0,5
43,1.0,0.0,5
44,1.0025,0.005590169943749455,5
45,1.0,0.0,5
46,1.002,0.0032596012026013484,5
47,1.0005,0.001118033988749871,5
48,1.002,0.004472135954999583,5
49,1.0070000000000001,0.01565247584249849,5
50,1.0050000000000001,0.007705517503711254,5
51,1.0065,0.007826237921249288,5
52,1.0,0.0,5
53,1.0,0.0,5
54,1.0005,0.001118033988749871,5
55,1.0025,0.004330127018922198,5
56,1.001,0.002236067977499742,5
57,1.0035,0.004873397172404498,5
58,1.0025,0.0035355339059327407,5
59,1.003,0.005419870847169682,5
60,1.006,0.00840386815698582,5
61,1.0035,0.007826237921249295,5
62,1.001,0.001369306393762886,5
63,1.0065,0.009937303457175882,5
64,1.0,0.0,5
65,1.001,0.002236067977499742,5
66,1.0,0.0,5
67,1.0055,0.008732124598286501,5
68,1.0050000000000001,0.009842509842514752,5
69,1.0045,0.010062305898749038,5
70,1.0045,0.010062305898749038,5
71,1.0005,0.001118033988749871,5
72,1.0015,0.002236067977499742,5
73,1.0,0.0,5
74,1.001,0.001369306393762886,5
75,1.0,0.0,5
76,1.011,0.0191702895126808,5
77,1.0035,0.004873397172404498,5
78,1.0005,0.001118033988749871,5
79,1.006,0.008403868156985822,5
80,1.006,0.013416407864998748,5
81,1.014,0.018079684731764523,5
82,1.0045,0.010062305898749038,5
83,1.0175,0.013578475614000267,5
84,1.0035,0.005477225575051635,5
85,1.0045,0.0067082039324993376,5
86,1.0085000000000002,0.008944271909999144,5
87,1.004,0.0054772255750516665,5
88,1.0,0.0,5
89,1.0025,0.0035355339059327407,5
90,1.002,0.004472135954999583,5
91,1.002,0.0032596012026013484,5
92,1.01,0.015411035007422401,5
93,1.0005,0.001118033988749871,5
94,1.0,0.0,5
95,1.0050000000000001,0.009842509842514752,5
96,1.0100000000000002,0.014142135623730963,5
97,1.0055,0.007582875444051509,5
98,1.0,0.0,5
99,1.0079999999999998,0.007582875444051506,5
100,1.0,0.0,5
101,1.0035,0.005477225575051635,5
102,1.0075,0.009185586535436904,5
103,1.0025,0.005590169943749454,5
104,1.017,0.015949137907736576,5
105,1.0,0.0,5
106,1.0015,0.003354101966249712,5
107,1.0215,0.019006577808748218,5
108,1.003,0.004472135954999571,5
109,1.01,0.013346347815039166,5
110,1.002,0.0032596012026013484,5
111,1.0070000000000001,0.010216408370851256,5
112,1.0,0.0,5
113,1.0070000000000001,0.010216408370851256,5
114,1.002,0.004472135954999583,5
115,1.0,0.0,5
116,1.0015,0.003354101966249712,5
