round,mean,std,n
0,2.6544999999999996,0.011510864433221295,5
1,2.6530000000000005,0.027237382399929618,5
2,2.669,0.03140461749488431,5
3,2.648,0.024962471832733254,5
4,2.6555,0.03528455752875461,5
5,2.6665,0.01850675552332164,5
6,2.6525,0.02325134404717274,5
7,2.6505,0.02780512542679853,5
8,2.665,0.012747548783982038,5
9,2.6585,0.031154855159348602,5
10,2.6555,0.027805125426798548,5
11,2.657,0.029068883707497148,5
12,2.6545,0.008551315688243593,5
13,2.658,0.05342635117617528,5
14,2.65,0.02893959225697557,5
15,2.653,0.01744634632236792,5
16,2.6525,0.017320508075688853,5
17,2.645,0.026692695630078322,5
18,2.6285,0.03338225576560105,5
19,2.6544999999999996,0.0227348850887793,5
20,2.6225,0.014361406616345076,5
21,2.6134999999999997,0.0022360679774999655,5
22,2.6375,0.02973844313342589,5
23,2.6160000000000005,0.040218155104380295,5
24,2.6290000000000004,0.027984370637911492,5
25,2.6395,0.03755828803340222,5
26,2.6235000000000004,0.03448731650911689,5
27,2.605,0.017047727121232314,5
28,2.6195,0.027917288550287238,5
29,2.6155,0.03397609453718889,5
30,2.6035000000000004,0.021109831832584577,5
31,2.61,0.01468417515558846,5
32,2.5840000000000005,0.018758331482304033,5
33,2.5985,0.012820881404958025,5
34,2.6105,0.015850867484147383,5
35,2.6134999999999997,0.024912346336706363,5
36,2.6105,0.01006230589874902,5
37,2.586,0.020660953511394374,5
38,2.593,0.042698067871977635,5
39,2.589,0.022332711434127395,5
40,2.5944999999999996,0.02273488508877931,5
41,2.585,0.023251344047172884,5
42,2.5900000000000003,0.018791620472966106,5
43,2.5825,0.014895469109766269,5
44,2.5759999999999996,0.023157072353818815,5
45,2.5839999999999996,0.026433879775772735,5
46,2.5629999999999997,0.045771169965383295,5
47,2.5780000000000003,0.01890767040118902,5
48,2.5744999999999996,0.018574175621006817,5
49,2.563,0.03084234102658223,5
50,2.5995,0.030124740662784137,5
51,2.55,0.013693063937629247,5
52,2.556,0.016918924315688463,5
53,2.5525,0.025617376914899122,5
54,2.5450000000000004,0.02165063509461099,5
55,2.5389999999999997,0.017102631376487168,5
56,2.5445,0.0278051254267985,5
57,2.5669999999999997,0.0415857547725179,5
58,2.5245,0.018405162319306057,5
59,2.5535000000000005,0.029822390916893315,5
60,2.5424999999999995,0.03526683994916478,5
61,2.5175000000000005,0.01732050807568882,5
62,2.5324999999999998,0.027214426321346564,5
63,2.535,0.024937421679074964,5
64,2.5395,0.025641762809916195,5
65,2.5385,0.03676785280649394,5
66,2.551,0.020046820196729397,5
67,2.5315000000000003,0.03435112807463528,5
68,2.5325,0.009185586535436963,5
69,2.5229999999999997,0.02981191037152753,5
70,2.531,0.02684445939109232,5
71,2.5220000000000002,0.013038404810405387,5
72,2.523,0.020109077552190217,5
73,2.5119999999999996,0.03479403684541361,5
74,2.538,0.036928985905383384,5
75,2.531,0.032624760535519756,5
76,2.509,0.015268431484602524,5
77,2.4995000000000003,0.009253377761660977,5
78,2.5055,0.025580754484572924,5
79,2.5025000000000004,0.017410485346480143,5
80,2.4925,0.01870828693386968,5
81,2.5265,0.006754628043053185,5
82,2.5084999999999997,0.017374550353894045,5
83,2.507,0.03768288736283359,5
84,2.4915,0.022748626332154534,5
85,2.4875,0.007905694150420991,5
86,2.4995000000000003,0.014404860290887996,5
87,2.4964999999999997,0.021765798859678918,5
88,2.5060000000000002,0.01981161275615891,5
89,2.5005,0.03247114103323144,5
90,2.4859999999999998,0.03380088756231109,5
91,2.5004999999999997,0.016900443781155575,5
92,2.4859999999999998,0.026492923583477837,5
93,2.4945,0.04381780460041332,5
94,2.4695,0.03878627334508952,5
95,2.508,0.016143884290962966,5
96,2.4989999999999997,0.01850675552332171,5
97,2.4715,0.03248076353782354,5
98,2.4859999999999998,0.030751016243370045,5
99,2.475,0.02358495283014155,5
100,2.4915000000000003,0.0331473980879344,5
101,2.4885,0.013062350477613092,5
102,2.477,0.022458294681475595,5
103,2.4785000000000004,0.025775472837563998,5
104,2.479,0.022817208418209254,5
105,2.4464999999999995,0.0316524090710328,5
106,2.4765,0.02613666007737031,5
107,2.492,0.03620255515844152,5
108,2.4575000000000005,0.01571225636247067,5
109,2.4675000000000002,0.01992172181313647,5
110,2.4679999999999995,0.027805125426798548,5
111,2.458,0.036801834193420396,5
112,2.4625,0.031124748994971863,5
113,2.478,0.012424773639789203,5
114,2.4705,0.029336410823411964,5
115,2.476,0.01807968473176452,5
116,2.483,0.02452039967047844,5
117,2.4579999999999997,0.031593116338848266,5
118,2.454,0.04339498818988198,5
119,2.4370000000000003,0.026890983619049843,5
120,2.4579999999999997,0.026422055181230673,5
121,2.4739999999999998,0.030031233740890586,5
122,2.4520000000000004,0.026949025956423723,5
123,2.4455,0.023809136901618334,5
124,2.4505,0.018990129014832925,5
125,2.4335,0.028040149785619865,5
126,2.4535,0.04060480267160518,5
127,2.4545000000000003,0.026716100014785093,5
128,2.4475000000000002,0.017940875118009143,5
129,2.4539999999999997,0.024083189157584544,5
130,2.4400000000000004,0.008477912478906535,5
131,2.4385,0.05245831678580634,5
132,2.4565,0.04765107553875367,5
133,2.4479999999999995,0.02131607374729224,5
134,2.447,0.04075076686394987,5
135,2.433,0.022871926022965335,5
136,2.451,0.021765798859678945,5
137,2.4234999999999998,0.0319472221014598,5
138,2.4365,0.026315394733881545,5
139,2.44,0.035881750236018424,5
140,2.4370000000000003,0.017800983118917816,5
141,2.4444999999999997,0.02189463404581131,5
142,2.439,0.0345325932996641,5
143,2.4205,0.027006943551612757,5
144,2.4450000000000003,0.02351860965278347,5
145,2.433,0.049793322845538175,5
146,2.4364999999999997,0.02637470378980587,5
147,2.4360000000000004,0.026136660077370394,5
148,2.4355,0.028416544476765563,5
149,2.4335,0.027703790354390245,5
150,2.4345,0.05152062693717929,5
151,2.4305,0.01604680653588118,5
152,2.4285000000000005,0.017993054215446683,5
153,2.4325,0.026398390102428525,5
154,2.4229999999999996,0.018907670401189,5
155,2.4234999999999998,0.026255951706232253,5
156,2.442,0.022871926022965432,5
157,2.4405,0.030842341026582332,5
158,2.4110000000000005,0.030238634228417133,5
159,2.4174999999999995,0.016488632447841232,5
160,2.4015,0.02625595170623225,5
161,2.4385000000000003,0.02625595170623226,5
162,2.4154999999999998,0.008177713616898065,5
163,2.4455,0.014186260959111031,5
164,2.425,0.013919410907074978,5
165,2.425,0.02436698586202246,5
166,2.405,0.03754164354420307,5
167,2.449,0.03608150495752639,5
168,2.4110000000000005,0.017374550353894024,5
169,2.4159999999999995,0.034713109915419614,5
170,2.436,0.023822258499143194,5
171,2.4175,0.02766992952647317,5
172,2.4159999999999995,0.033100226585327165,5
173,2.4244999999999997,0.026774521470980594,5
174,2.404,0.01663956129229376,5
175,2.426,0.02625595170623208,5
176,2.405,0.02493742167907496,5
177,2.4130000000000003,0.025211604470957442,5
178,2.42,0.02200852107707366,5
179,2.4465000000000003,0.022953757862276162,5
180,2.3824999999999994,0.00637377439199102,5
181,2.4075,0.01854049621773915,5
182,2.4105,0.023008150729687156,5
183,2.393,0.013157697366940783,5
184,2.3979999999999997,0.029654257704417406,5
185,2.402,0.03213253802611934,5
186,2.3855,0.03598610843089319,5
187,2.386,0.023425413550244942,5
188,2.4215,0.03923486969520861,5
189,2.4245,0.014726676475023064,5
190,2.3999999999999995,0.016105123408406356,5
191,2.4059999999999997,0.054760843675020134,5
192,2.4165,0.025409151894543767,5
193,2.423,0.02582392301723341,5
194,2.407,0.04532521373363841,5
195,2.4095,0.0320838744543112,5
196,2.388,0.03772432901987791,5
197,2.397,0.02841654447676562,5
198,2.3840000000000003,0.027477263328068244,5
199,2.3895,0.02630351687512527,5
200,2.3935000000000004,0.043033417247529925,5
201,2.397,0.018148691412881578,5
202,2.3965,0.01755348968154201,5
203,2.392,0.02064582282206262,5
204,2.3819999999999997,0.023611437906235263,5
205,2.4040000000000004,0.027928480087537882,5
206,2.378,0.029336410823411964,5
207,2.3865000000000003,0.024974987487484324,5
208,2.4055,0.02238861317723813,5
209,2.394,0.021765798859679022,5
210,2.399,0.020202103850836962,5
211,2.382,0.024456594202791147,5
212,2.3825000000000003,0.03531111722956388,5
213,2.381,0.03502677547248668,5
214,2.3835,0.030751016243369993,5
215,2.379,0.019493588689617973,5
216,2.394,0.03471310991541965,5
217,2.4,0.027099354235848496,5
218,2.3864999999999994,0.04048919608982116,5
219,2.415,0.022360679774997894,5
220,2.4025,0.027041634565979928,5
221,2.386,0.033661922107924805,5
222,2.404,0.010093314619093146,5
223,2.356,0.03135482419022625,5
224,2.3895000000000004,0.03275858666059935,5
225,2.358,0.037724329019877795,5
226,2.3945,0.026422055181230787,5
227,2.3735,0.020961273816254622,5
228,2.3965000000000005,0.04129164564412512,5
229,2.4025,0.022844583603121332,5
230,2.3595,0.018405162319305952,5
231,2.3695,0.0196373368866555,5
232,2.3715,0.025653947064730554,5
233,2.3810000000000002,0.03838945167620916,5
234,2.3875,0.03354101966249686,5
235,2.375,0.02404423007708919,5
236,2.4025,0.03349440251743566,5
237,2.3804999999999996,0.030176563754012797,5
238,2.3585000000000003,0.035293412983161666,5
239,2.372,0.004808846015417734,5
240,2.3954999999999997,0.04413756903138188,5
241,2.3665,0.013181426326464024,5
242,2.4125,0.04898979485566346,5
243,2.3529999999999998,0.02944274104087456,5
244,2.372,0.04273464636568316,5
245,2.3755,0.024456594202791213,5
246,2.368,0.037474991661106405,5
247,2.3560000000000003,0.033522380583723546,5
248,2.386,0.02815137652051848,5
249,2.375,0.02128673295740786,5
250,2.3705,0.030689982078847825,5
251,2.379,0.018251712248443932,5
252,2.372,0.033883993271159735,5
253,2.37,0.03968626966596885,5
254,2.3754999999999997,0.04881085944746321,5
255,2.364,0.013874436925511689,5
256,2.3765,0.019653244007033423,5
257,2.3600000000000003,0.021794494717703297,5
258,2.378,0.0406740089000335,5
259,2.37,0.02229069312515877,5
260,2.3574999999999995,0.022360679774997956,5
261,2.3655,0.020186629238186423,5
262,2.3649999999999998,0.008291561975888524,5
263,2.3660000000000005,0.048107951525709236,5
264,2.35,0.024173849507267205,5
265,2.383,0.05710188263096066,5
266,2.3630000000000004,0.025024987512484356,5
267,2.3765,0.01981161275615901,5
268,2.335,0.025495097567963917,5
269,2.338,0.06541693205890953,5
270,2.35,0.02325134404717274,5
271,2.3925,0.01723006094011278,5
272,2.3634999999999997,0.012574776339959404,5
273,2.355,0.02789489200552672,5
274,2.3585,0.02649292358347799,5
275,2.3805,0.018907670401189,5
276,2.3760000000000003,0.016450683876362053,5
277,2.3475,0.025186802099512493,5
278,2.3594999999999997,0.024962471832733257,5
279,2.34,0.03041381265149111,5
280,2.3525,0.027271780286589276,5
281,2.347,0.02374342014116741,5
282,2.37,0.020310096011590027,5
283,2.3649999999999998,0.02645751311064592,5
284,2.375,0.039646878817884305,5
285,2.3615000000000004,0.02281720841820925,5
286,2.3615000000000004,0.02987473849257933,5
287,2.3515,0.017011025836203973,5
288,2.3675,0.04096492402043489,5
289,2.335,0.034095454242464567,5
290,2.365,0.019284060775676855,5
291,2.3559999999999994,0.026844459391092187,5
292,2.355,0.03400367627183853,5
293,2.3465,0.029293770668864093,5
294,2.3519999999999994,0.026184441945552337,5
295,2.329,0.042522053101890486,5
296,2.3854999999999995,0.04668377662529035,5
297,2.3415,0.03466806888189765,5
298,2.3419999999999996,0.040288025516274674,5
299,2.353,0.04255143945861293,5
300,2.3275,0.03292984968079874,5
301,2.3404999999999996,0.025884358211089583,5
302,2.342,0.038947079479724755,5
303,2.3445,0.018148691412881387,5
304,2.338,0.01753567791675028,5
305,2.3595,0.040442860927486377,5
306,2.3265000000000002,0.04712350793393889,5
307,2.3340000000000005,0.025161975280172166,5
308,2.3369999999999997,0.039107224396522935,5
309,2.332,0.017800983118917875,5
310,2.339,0.03642629544710812,5
311,2.3495,0.04059710580817318,5
312,2.3155,0.023210988776870365,5
313,2.342,0.017712989583918353,5
314,2.318,0.01385189517719497,5
315,2.3685,0.0355140817141595,5
316,2.3515,0.025592967784139383,5
317,2.335,0.02512468905280222,5
318,2.3434999999999997,0.054302394054037924,5
319,2.3295000000000003,0.02109502310972897,5
320,2.3455000000000004,0.02300815072968695,5
321,2.356,0.03140461749488443,5
322,2.3299999999999996,0.01600781059358213,5
323,2.3369999999999997,0.029601520231231356,5
324,2.3419999999999996,0.029283100928692678,5
325,2.344,0.03170173496829454,5
326,2.339,0.04954795656734993,5
327,2.3489999999999998,0.022051077071199857,5
328,2.3465,0.015268431484602368,5
329,2.3259999999999996,0.0484316528728888,5
330,2.35,0.029947871376777273,5
331,2.3335,0.042705386077168374,5
332,2.345,0.023651109910530627,5
333,2.356,0.022679836860083385,5
334,2.3299999999999996,0.03960744879438717,5
335,2.3505000000000003,0.02836150560178361,5
336,2.351,0.019251623308178513,5
337,2.3625,0.05676156269871363,5
