round,mean,std,n
0,1.012,0.016807736313971568,5
1,1.026,0.017553489681541957,5
2,1.017,0.009253377761660863,5
3,1.011,0.010093314619093179,5
4,1.0065,0.006020797289396139,5
5,1.0085,0.007826237921249217,5
6,1.0065,0.004873397172404486,5
7,1.0030000000000001,0.0032596012026013315,5
8,1.0055,0.008732124598286501,5
9,1.0100000000000002,0.006614378277661483,5
10,1.0015,0.003354101966249712,5
11,1.004,0.005755432216610662,5
12,1.002,0.004472135954999583,5
13,1.0035,0.0065192024052026076,5
14,1.0,0.0,5
15,1.003,0.004472135954999571,5
16,1.0030000000000001,0.00410791918128878,5
17,1.0025,0.004330127018922197,5
18,1.0015,0.003354101966249712,5
19,1.004,0.005477225575051666,5
20,1.0,0.0,5
21,1.0,0.0,5
22,1.0,0.0,5
23,1.0,0.0,5
24,1.0,0.0,5
25,1.0025,0.004330127018922198,5
26,1.003,0.006708203932499325,5
27,1.0,0.0,5
28,1.001,0.002236067977499742,5
29,1.006,0.00977880360780396,5
30,1.0035,0.005477225575051635,5
31,1.0145,0.016992645467966437,5
32,1.0105,0.011779218989389766,5
33,1.0,0.0,5
34,1.0005,0.001118033988749871,5
35,1.0,0.0,5
36,1.0005,0.001118033988749871,5
37,1.0045,0.008732124598286501,5
38,1.004,0.008944271909999168,5
39,1.0,0.0,5
40,1.0015,0.003354101966249712,5
41,1.0035,0.007826237921249295,5
42,1.003,0.002738612787525772,5
43,1.0,0.0,5
44,1.0,0.0,5
45,1.0,0.0,5
46,1.001,0.002236067977499742,5
47,1.0050000000000001,0.00586301969977928,5
48,1.001,0.002236067977499742,5
49,1.0,0.0,5
50,1.0,0.0,5
51,1.0035,0.007826237921249295,5
52,1.0,0.0,5
53,1.0,0.0,5
54,1.0035,0.007826237921249295,5
55,1.0059999999999998,0.008944271909999166,5
56,1.0005,0.001118033988749871,5
57,1.012,0.013393095235978869,5
58,1.0015,0.003354101966249712,5
59,1.014,0.019890324280916093,5
60,1.0005,0.001118033988749871,5
61,1.0025,0.0035355339059327407,5
62,1.001,0.002236067977499742,5
63,1.0035,0.007826237921249295,5
64,1.0025,0.005590169943749454,5
65,1.0015,0.003354101966249712,5
66,1.001,0.002236067977499742,5
67,1.005,0.0070710678118654415,5
68,1.0,0.0,5
69,1.0025,0.005590169943749455,5
70,1.001,0.001369306393762886,5
71,1.0,0.0,5
72,1.0,0.0,5
73,1.0025,0.004330127018922197,5
74,1.0035,0.004873397172404498,5
75,1.0045,0.00758287544405158,5
76,1.0,0.0,5
77,1.0,0.0,5
78,1.0005,0.001118033988749871,5
79,1.0,0.0,5
80,1.0,0.0,5
81,1.0045,0.006224949798994355,5
82,1.0005,0.001118033988749871,5
83,1.0059999999999998,0.008403868156985822,5
84,1.0005,0.001118033988749871,5
85,1.0025,0.004330127018922197,5
86,1.0,0.0,5
87,1.0005,0.001118033988749871,5
88,1.0035,0.007826237921249295,5
89,1.0044999999999997,0.008732124598286501,5
90,1.0015,0.003354101966249712,5
91,1.0094999999999998,0.008732124598286475,5
92,1.0015,0.002236067977499742,5
93,1.0035,0.004873397172404498,5
94,1.0044999999999997,0.008732124598286501,5
95,1.011,0.013416407864998762,5
96,1.001,0.002236067977499742,5
97,1.0025,0.005590169943749454,5
98,1.0074999999999998,0.007071067811865442,5
99,1.001,0.002236067977499742,5
100,1.001,0.002236067977499742,5
101,1.0065,0.008215838362577506,5
102,1.0075,0.007288689868556661,5
103,1.0,0.0,5
104,1.0065,0.008944271909999158,5
105,1.002,0.004472135954999583,5
106,1.002,0.004472135954999583,5
107,1.0030000000000001,0.0032596012026013315,5
108,1.0074999999999998,0.016770509831248462,5
109,1.0095,0.010216408370851275,5
110,1.0045,0.004472135954999589,5
111,1.0074999999999998,0.016770509831248462,5
112,1.008,0.008366600265340763,5
113,1.0,0.0,5
114,1.0,0.0,5
115,1.0005,0.001118033988749871,5
116,1.0005,0.001118033988749871,5
117,1.0099999999999998,0.009185586535436904,5
118,1.004,0.005755432216610662,5
119,1.0074999999999998,0.011180339887498909,5
120,1.002,0.004472135954999583,5
121,1.0035,0.007826237921249295,5
122,1.0035,0.007826237921249295,5
123,1.0065,0.009287087810503355,5
124,1.0,0.0,5
125,1.0055,0.008732124598286501,5
126,1.0065,0.011937336386313361,5
127,1.0154999999999998,0.02079663434308541,5
128,1.004,0.008944271909999166,5
129,1.016,0.026492923583477924,5
130,1.0025,0.005590169943749454,5
131,1.002,0.004472135954999584,5
132,1.006,0.007202430145444002,5
133,1.004,0.004541475531146257,5
134,1.009,0.01244989959798871,5
135,1.015,0.016863421954040097,5
136,1.0085000000000002,0.010547511554864464,5
137,1.0035,0.004183300132670375,5
138,1.0005,0.001118033988749871,5
139,1.0059999999999998,0.007202430145443933,5
140,1.006,0.00977880360780396,5
141,1.0045,0.006224949798994355,5
142,1.003,0.006708203932499325,5
143,1.0035,0.007826237921249295,5
